Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total
NotApp :,871,*,*
AREA # 070202,Yaedashe,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,468,5487,5955
 Rural,12952,31620,44572
 Total,13420,37107,50527
NotApp :,460,*,*
AREA # 070203,Kyaukkyi,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,300,1958,2258
 Rural,8208,12417,20625
 Total,8508,14375,22883
NotApp :,203,*,*
AREA # 070204,Pyu,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,1377,12450,13827
 Rural,17433,23671,41104
 Total,18810,36121,54931
NotApp :,386,*,*
AREA # 070205,Oatwin,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,210,2999,3209
 Rural,11718,21943,33661
 Total,11928,24942,36870
NotApp :,276,*,*
AREA # 070206,Htantapin,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,481,1895,2376
 Rural,9474,14931,24405
 Total,9955,16826,26781
NotApp :,169,*,*
AREA # 070301,Pyay,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,327,28488,28815
 Rural,10462,19280,29742
 Total,10789,47768,58557
NotApp :,1014,*,*
AREA # 070302,Paukkhaung,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,158,3448,3606
 Rural,12559,16182,28741
 Total,12717,19630,32347
NotApp :,302,*,*
AREA # 070303,Padaung,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,266,4202,4468
 Rural,11124,23300,34424
 Total,11390,27502,38892
NotApp :,412,*,*
AREA # 070304,Paunde,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,271,6210,6481
 Rural,11510,18709,30219
 Total,11781,24919,36700
NotApp :,296,*,*
AREA # 070305,Thegon,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,339,3927,4266
 Rural,10604,21080,31684
 Total,10943,25007,35950
NotApp :,304,*,*
AREA # 070306,Shwedaung,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,77,4441,4518
 Rural,10558,18488,29046
 Total,10635,22929,33564
NotApp :,368,*,*
AREA # 070401,Tharyarwaddy,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,405,7759,8164
 Rural,11225,17237,28462
 Total,11630,24996,36626
NotApp :,285,*,*
AREA # 070402,Letpadan,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,227,5508,5735
 Rural,13264,24485,37749
 Total,13491,29993,43484
NotApp :,336,*,*
AREA # 070403,Minhla,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,99,2603,2702
 Rural,10922,17270,28192
 Total,11021,19873,30894
NotApp :,231,*,*
AREA # 070404,Okpo,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,169,2631,2800
 Rural,12240,16854,29094
 Total,12409,19485,31894
NotApp :,283,*,*
AREA # 070405,Zigon,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,155,3812,3967
 Rural,5208,9035,14243
 Total,5363,12847,18210
NotApp :,160,*,*
AREA # 070406,Nattalin,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,79,4563,4642
 Rural,15194,25933,41127
 Total,15273,30496,45769
NotApp :,317,*,*
AREA # 070407,Monyo,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,145,2235,2380
 Rural,11522,19385,30907
 Total,11667,21620,33287
NotApp :,232,*,*
AREA # 070408,Gyobingauk,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,132,5452,5584
 Rural,10370,14632,25002
 Total,10502,20084,30586
NotApp :,233,*,*
AREA # 080101,Magway,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,114,19756,19870
 Rural,21723,27084,48807
 Total,21837,46840,68677
NotApp :,1053,*,*
AREA # 080102,Yenangyoung,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,261,10415,10676
 Rural,9020,12804,21824
 Total,9281,23219,32500
NotApp :,490,*,*
AREA # 080103,Chauk,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,67,10334,10401
 Rural,13854,20363,34217
 Total,13921,30697,44618
NotApp :,539,*,*
AREA # 080104,Taungdwingyi,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,177,9878,10055
 Rural,28093,22115,50208
 Total,28270,31993,60263
NotApp :,426,*,*
AREA # 080105,Myothit,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,160,1586,1746
 Rural,20165,15037,35202
 Total,20325,16623,36948
NotApp :,339,*,*
AREA # 080106,Natmauk,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,438,2736,3174
 Rural,27927,17325,45252
 Total,28365,20061,48426
NotApp :,396,*,*
AREA # 080201,Minbu,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,627,8563,9190
 Rural,12703,21924,34627
 Total,13330,30487,43817
NotApp :,551,*,*
AREA # 080202,Pwint Phyu,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,37,1417,1454
 Rural,13731,24579,38310
 Total,13768,25996,39764
NotApp :,475,*,*
AREA # 080203,Ngape,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,181,798,979
 Rural,4780,6698,11478
 Total,4961,7496,12457
NotApp :,159,*,*
AREA # 080204,Salin,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,106,2680,2786
 Rural,24397,28422,52819
 Total,24503,31102,55605
NotApp :,631,*,*
AREA # 080205,Saytottara,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,202,1323,1525
 Rural,4418,4837,9255
 Total,4620,6160,10780
NotApp :,279,*,*
AREA # 080301,Thayet,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,186,4377,4563
 Rural,12428,8981,21409
 Total,12614,13358,25972
NotApp :,302,*,*
AREA # 080302,Minhla,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,147,2834,2981
 Rural,14702,13939,28641
 Total,14849,16773,31622
NotApp :,346,*,*
AREA # 080303,Mindon,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,132,1138,1270
 Rural,9059,6480,15539
 Total,9191,7618,16809
NotApp :,207,*,*
AREA # 080304,Kamma,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,176,1118,1294
 Rural,10094,7755,17849
 Total,10270,8873,19143
NotApp :,208,*,*
AREA # 080305,Aunglan,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,454,11171,11625
 Rural,24819,21165,45984
 Total,25273,32336,57609
NotApp :,479,*,*
AREA # 080306,Sinpaungwe`,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,191,1090,1281
 Rural,15584,11819,27403
 Total,15775,12909,28684
NotApp :,290,*,*
AREA # 080401,Pakokku,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,61,19008,19069
 Rural,11889,35382,47271
 Total,11950,54390,66340
NotApp :,723,*,*
AREA # 080402,Yesagyo,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,214,4685,4899
 Rural,17283,25150,42433
 Total,17497,29835,47332
NotApp :,485,*,*
AREA # 080403,Myaing,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,62,1739,1801
 Rural,21832,30008,51840
 Total,21894,31747,53641
NotApp :,502,*,*
AREA # 080404,Pauk,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,127,1574,1701
 Rural,17086,20178,37264
 Total,17213,21752,38965
NotApp :,326,*,*
AREA # 080405,Seikphyu,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,168,1961,2129
 Rural,10266,11032,21298
 Total,10434,12993,23427
NotApp :,208,*,*
AREA # 080501,Gangaw,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,344,2914,3258
 Rural,15180,11474,26654
 Total,15524,14388,29912
NotApp :,303,*,*
AREA # 080502,Htilin,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,96,1027,1123
 Rural,6853,2556,9409
 Total,6949,3583,10532
NotApp :,182,*,*
AREA # 080503,Saw,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,67,1194,1261
 Rural,3381,3683,7064
 Total,3448,4877,8325
NotApp :,212,*,*
AREA # 080551,Kyaukhtu(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,173,967,1140
 Rural,4029,2440,6469
 Total,4202,3407,7609
NotApp :,103,*,*
AREA # 090101,Aungmyetharzan,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,182,49549,49731
 Total,182,49549,49731
NotApp :,971,*,*
AREA # 090102,Chanayeharzan,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,47,33234,33281
 Total,47,33234,33281
NotApp :,1883,*,*
AREA # 090103,Mahaaungmye,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,51,41876,41927
 Total,51,41876,41927
NotApp :,754,*,*
AREA # 090104,Chanmyatharzi,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,324,52723,53047
 Total,324,52723,53047
NotApp :,901,*,*
AREA # 090105,Pyigyidagun,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,257,43618,43875
 Total,257,43618,43875
NotApp :,1032,*,*
AREA # 090106,Amarapura,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,88,16542,16630
 Rural,4120,28876,32996
 Total,4208,45418,49626
NotApp :,572,*,*
AREA # 090107,Patheingyi,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,31,2671,2702
 Rural,6550,43738,50288
 Total,6581,46409,52990
NotApp :,902,*,*
AREA # 090201,Pyin Oo Lwin,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,516,31425,31941
 Rural,5242,16199,21441
 Total,5758,47624,53382
NotApp :,962,*,*
AREA # 090202,Madaya,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,141,5170,5311
 Rural,17517,35817,53334
 Total,17658,40987,58645
NotApp :,508,*,*
AREA # 090203,Sinku,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,206,1526,1732
 Rural,12530,20271,32801
 Total,12736,21797,34533
NotApp :,281,*,*
AREA # 090204,Mogok,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,233,16453,16686
 Rural,1479,17082,18561
 Total,1712,33535,35247
NotApp :,586,*,*
AREA # 090205,Thabeikkyin,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,196,992,1188
 Rural,6374,18187,24561
 Total,6570,19179,25749
NotApp :,297,*,*
AREA # 090251,Tagaung,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,448,1345,1793
 Rural,3308,2291,5599
 Total,3756,3636,7392
NotApp :,96,*,*
AREA # 090301,Kyaukse,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,160,8331,8491
 Rural,15529,33745,49274
 Total,15689,42076,57765
NotApp :,526,*,*
AREA # 090302,Singaing,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,138,1642,1780
 Rural,10046,21753,31799
 Total,10184,23395,33579
NotApp :,464,*,*
AREA # 090303,Myitthar,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,263,4083,4346
 Rural,15342,26329,41671
 Total,15605,30412,46017
NotApp :,399,*,*
AREA # 090304,Tada U,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,217,2435,2652
 Rural,15902,14073,29975
 Total,16119,16508,32627
NotApp :,340,*,*
AREA # 090401,Myingyan,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,161,18736,18897
 Rural,18126,25317,43443
 Total,18287,44053,62340
NotApp :,622,*,*
AREA # 090402,Taungtha,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,146,3717,3863
 Rural,20554,25435,45989
 Total,20700,29152,49852
NotApp :,425,*,*
AREA # 090403,Natogyi,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,368,2474,2842
 Rural,20111,18012,38123
 Total,20479,20486,40965
NotApp :,349,*,*
AREA # 090404,Kyaukpadaung,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,197,8816,9013
 Rural,24533,28415,52948
 Total,24730,37231,61961
NotApp :,497,*,*
AREA # 090405,Ngazun,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,488,1169,1657
 Rural,14982,11199,26181
 Total,15470,12368,27838
NotApp :,295,*,*
AREA # 090501,Nyaung U,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,643,8872,9515
 Rural,15166,19981,35147
 Total,15809,28853,44662
NotApp :,603,*,*
AREA # 090551,Ngat,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,323,1116,1439
 Rural,4177,4195,8372
 Total,4500,5311,9811
NotApp :,69,*,*
AREA # 090601,Yame`thin,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,138,5189,5327
 Rural,26545,25387,51932
 Total,26683,30576,57259
NotApp :,559,*,*
AREA # 090602,Pyawbwe,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,137,6737,6874
 Rural,28400,23589,51989
 Total,28537,30326,58863
NotApp :,497,*,*
AREA # 090701,Meiktila,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,446,23517,23963
 Rural,19922,24554,44476
 Total,20368,48071,68439
NotApp :,998,*,*
AREA # 090702,MahlYaing,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,241,2870,3111
 Rural,15982,14234,30216
 Total,16223,17104,33327
NotApp :,382,*,*
AREA # 090703,Thazi,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,127,4593,4720
 Rural,17407,22765,40172
 Total,17534,27358,44892
NotApp :,484,*,*
AREA # 090704,Wundwin,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,331,6969,7300
 Rural,23061,23208,46269
 Total,23392,30177,53569
NotApp :,474,*,*
AREA # 100101,Mawlamyine,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,486,49248,49734
 Rural,553,7170,7723
 Total,1039,56418,57457
NotApp :,954,*,*
AREA # 100102,Kyaikemaraw,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,113,2063,2176
 Rural,6352,30360,36712
 Total,6465,32423,38888
NotApp :,478,*,*
AREA # 100103,Chaungzon,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,245,1499,1744
 Rural,4909,21291,26200
 Total,5154,22790,27944
NotApp :,292,*,*
AREA # 100104,Thanbyuzayat,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,47,11668,11715
 Rural,1135,23384,24519
 Total,1182,35052,36234
NotApp :,470,*,*
AREA # 100105,Mudon,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,320,10472,10792
 Rural,2873,25647,28520
 Total,3193,36119,39312
NotApp :,541,*,*
AREA # 100106,Ye,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,47,6066,6113
 Rural,751,23127,23878
 Total,798,29193,29991
NotApp :,508,*,*
AREA # 100151,Lamine,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,40,2927,2967
 Rural,1431,14241,15672
 Total,1471,17168,18639
NotApp :,149,*,*
AREA # 100152,Khawzar,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,13,765,778
 Rural,140,3900,4040
 Total,153,4665,4818
NotApp :,70,*,*
AREA # 100201,Thaton,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,284,10422,10706
 Rural,3637,33941,37578
 Total,3921,44363,48284
NotApp :,603,*,*
AREA # 100202,Paung,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,1160,4742,5902
 Rural,7134,30690,37824
 Total,8294,35432,43726
NotApp :,460,*,*
AREA # 100203,Kyaikto,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,182,7334,7516
 Rural,2998,27574,30572
 Total,3180,34908,38088
NotApp :,848,*,*
AREA # 100204,Bilin,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,205,3839,4044
 Rural,5112,30075,35187
 Total,5317,33914,39231
NotApp :,544,*,*
AREA # 110101,Sittway,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,125,18781,18906
 Rural,1246,8884,10130
 Total,1371,27665,29036
NotApp :,377,*,*
AREA # 110102,Ponnagyun,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,83,2383,2466
 Rural,2520,20349,22869
 Total,2603,22732,25335
NotApp :,246,*,*
AREA # 110103,Pauktaw,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,154,2316,2470
 Rural,3975,24099,28074
 Total,4129,26415,30544
NotApp :,349,*,*
AREA # 110104,Yethedaung,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,89,1421,1510
 Rural,4142,18689,22831
 Total,4231,20110,24341
NotApp :,255,*,*
AREA # 110201,Myauk U,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,366,6908,7274
 Rural,4925,29326,34251
 Total,5291,36234,41525
NotApp :,517,*,*
AREA # 110202,Kyauktaw,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,176,3663,3839
 Rural,7136,25520,32656
 Total,7312,29183,36495
NotApp :,327,*,*
AREA # 110203,Minbya,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,119,4496,4615
 Rural,3334,28679,32013
 Total,3453,33175,36628
NotApp :,359,*,*
AREA # 110204,Myebon,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,54,2564,2618
 Rural,2364,26357,28721
 Total,2418,28921,31339
NotApp :,244,*,*
AREA # 110301,Maungtaw,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,77,2237,2314
 Rural,440,4636,5076
 Total,517,6873,7390
NotApp :,142,*,*
AREA # 110302,Buthidaung,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,38,2024,2062
 Rural,961,8241,9202
 Total,999,10265,11264
NotApp :,178,*,*
AREA # 110351,Taungpyoletwe(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,-,158,158
 Rural,36,312,348
 Total,36,470,506
NotApp :,17,*,*
AREA # 110401,Kyaukpyu,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,26,4228,4254
 Rural,6791,26219,33010
 Total,6817,30447,37264
NotApp :,491,*,*
AREA # 110402,Mannaung,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,26,1280,1306
 Rural,3456,9973,13429
 Total,3482,11253,14735
NotApp :,186,*,*
AREA # 110403,Yanbye,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,177,2071,2248
 Rural,3853,16317,20170
 Total,4030,18388,22418
NotApp :,325,*,*
AREA # 110404,An,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,115,1763,1878
 Rural,5343,20138,25481
 Total,5458,21901,27359
NotApp :,324,*,*
AREA # 110501,Thandwe,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,84,3266,3350
 Rural,8360,19365,27725
 Total,8444,22631,31075
NotApp :,580,*,*
AREA # 110502,Toungup,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,247,5931,6178
 Rural,6432,12629,19061
 Total,6679,18560,25239
NotApp :,343,*,*
AREA # 110503,Gwa,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,107,2381,2488
 Rural,2201,6556,8757
 Total,2308,8937,11245
NotApp :,115,*,*
AREA # 110551,Maei(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,257,958,1215
 Rural,2428,6310,8738
 Total,2685,7268,9953
NotApp :,96,*,*
AREA # 110552,Kyeintali(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,241,1234,1475
 Rural,2059,2547,4606
 Total,2300,3781,6081
NotApp :,76,*,*
AREA # 120101,Insein,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,104,61572,61676
 Total,104,61572,61676
NotApp :,993,*,*
AREA # 120102,Mingaladon,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,195,41446,41641
 Rural,269,24393,24662
 Total,464,65839,66303
NotApp :,1749,*,*
AREA # 120103,Hmawby,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,162,5780,5942
 Rural,3679,46848,50527
 Total,3841,52628,56469
NotApp :,902,*,*
AREA # 120104,Hlegu,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,132,8617,8749
 Rural,7262,42012,49274
 Total,7394,50629,58023
NotApp :,1175,*,*
AREA # 120105,Taikkyi,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,863,19496,20359
 Rural,12815,33825,46640
 Total,13678,53321,66999
NotApp :,614,*,*
AREA # 120106,Htantabin,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,79,1977,2056
 Rural,4436,27719,32155
 Total,4515,29696,34211
NotApp :,229,*,*
AREA # 120107,Shwepyitha,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,248,58263,58511
 Rural,105,15159,15264
 Total,353,73422,73775
NotApp :,834,*,*
AREA # 120108,Hlinethaya,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,197,103610,103807
 Rural,186,44718,44904
 Total,383,148328,148711
NotApp :,1246,*,*
AREA # 120201,Thingangyun,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,51,43269,43320
 Total,51,43269,43320
NotApp :,265,*,*
AREA # 120202,Yankin,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,15,14622,14637
 Total,15,14622,14637
NotApp :,149,*,*
AREA # 120203,South Okkalapa,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,36,32689,32725
 Total,36,32689,32725
NotApp :,418,*,*
AREA # 120204,North Okkalapa,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,142,64614,64756
 Total,142,64614,64756
NotApp :,946,*,*
AREA # 120205,Thakayta,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,75,45381,45456
 Total,75,45381,45456
NotApp :,451,*,*
AREA # 120206,Dawbon,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,17,14392,14409
 Total,17,14392,14409
NotApp :,154,*,*
AREA # 120207,Tamway,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,40,35320,35360
 Total,40,35320,35360
NotApp :,633,*,*
AREA # 120208,Pazuntaung,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,10,10296,10306
 Total,10,10296,10306
NotApp :,215,*,*
AREA # 120209,Botahtaung,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,13,8384,8397
 Total,13,8384,8397
NotApp :,295,*,*
AREA # 120210,Dagon Myothit(South),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,787,76197,76984
 Total,787,76197,76984
NotApp :,751,*,*
AREA # 120211,Dagon Myothit(North),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,123,42581,42704
 Total,123,42581,42704
NotApp :,126,*,*
AREA # 120212,Dagon Myothit(East),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,233,31662,31895
 Rural,262,1756,2018
 Total,495,33418,33913
NotApp :,814,*,*
AREA # 120213,Dagon Myothit(Seik),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,251,33921,34172
 Rural,353,3380,3733
 Total,604,37301,37905
NotApp :,383,*,*
AREA # 120214,Mingala Taungnyunt,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,29,25889,25918
 Total,29,25889,25918
NotApp :,325,*,*
AREA # 120301,Thanlyin,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,99,18610,18709
 Rural,4801,38087,42888
 Total,4900,56697,61597
NotApp :,594,*,*
AREA # 120302,Kyauktan,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,432,9432,9864
 Rural,4841,18271,23112
 Total,5273,27703,32976
NotApp :,324,*,*
AREA # 120303,Thongwa,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,211,6545,6756
 Rural,8504,24827,33331
 Total,8715,31372,40087
NotApp :,287,*,*
AREA # 120304,Khayan,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,359,7519,7878
 Rural,8199,23237,31436
 Total,8558,30756,39314
NotApp :,203,*,*
AREA # 120305,Twantay,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,55,9142,9197
 Rural,3039,39366,42405
 Total,3094,48508,51602
NotApp :,365,*,*
AREA # 120306,Kawhmu,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,239,1992,2231
 Rural,4010,23551,27561
 Total,4249,25543,29792
NotApp :,220,*,*
AREA # 120307,Kungyangon,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,149,3809,3958
 Rural,4011,20383,24394
 Total,4160,24192,28352
NotApp :,207,*,*
AREA # 120308,Dala,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,141,25190,25331
 Rural,2208,10373,12581
 Total,2349,35563,37912
NotApp :,211,*,*
AREA # 120309,Seikkyi/Khanaungto,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,53,7676,7729
 Total,53,7676,7729
NotApp :,39,*,*
AREA # 120310,Cocogyun,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,3,348,351
 Total,3,348,351
NotApp :,8,*,*
AREA # 120351,Tada(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,341,2149,2490
 Rural,927,6076,7003
 Total,1268,8225,9493
NotApp :,57,*,*
AREA # 120401,Kyauktada,*,*
