Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total
NotApp :,24,*,*
AREA # 010353,Dotphoneyan(ST),*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,311,311
 Rural,36,1886,1922
 Total,36,2197,2233
NotApp :,65,*,*
AREA # 010401,Putao,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,2811,2811
 Rural,69,7863,7932
 Total,69,10674,10743
NotApp :,94,*,*
AREA # 010402,Sumprabum,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,172,172
 Rural,1,306,307
 Total,1,478,479
NotApp :,18,*,*
AREA # 010403,Machanbaw,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,408,408
 Rural,31,1280,1311
 Total,31,1688,1719
NotApp :,31,*,*
AREA # 010404,Khaunglanphoo,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,70,70
 Rural,11,1630,1641
 Total,11,1700,1711
NotApp :,2,*,*
AREA # 010405,Naungmoon,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,4,356,360
 Rural,6,577,583
 Total,10,933,943
NotApp :,4,*,*
AREA # 010451,Pannandin(ST),*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,24,24
 Rural,-,245,245
 Total,-,269,269
NotApp :,1,*,*
AREA # 020101,Loikaw,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,11,10411,10422
 Rural,130,15943,16073
 Total,141,26354,26495
NotApp :,304,*,*
AREA # 020102,Dimawso,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,35,1102,1137
 Rural,53,14157,14210
 Total,88,15259,15347
NotApp :,105,*,*
AREA # 020103,Phruso,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,853,853
 Rural,2,5055,5057
 Total,2,5908,5910
NotApp :,78,*,*
AREA # 020104,Shardaw,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,336,336
 Rural,1,1069,1070
 Total,1,1405,1406
NotApp :,28,*,*
AREA # 020201,Bawlakhe,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,2,837,839
 Rural,2,748,750
 Total,4,1585,1589
NotApp :,81,*,*
AREA # 020202,Parsaung,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,3,591,594
 Rural,50,4089,4139
 Total,53,4680,4733
NotApp :,302,*,*
AREA # 020203,Meisi,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,195,195
 Rural,-,1107,1107
 Total,-,1302,1302
NotApp :,55,*,*
AREA # 020251,Ywathit(ST),*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,4,288,292
 Rural,16,184,200
 Total,20,472,492
NotApp :,30,*,*
AREA # 030101,Hpa-an,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,339,14429,14768
 Rural,3596,70833,74429
 Total,3935,85262,89197
NotApp :,1176,*,*
AREA # 030102,Hlaingbwe,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,124,2155,2279
 Rural,453,28854,29307
 Total,577,31009,31586
NotApp :,379,*,*
AREA # 030103,Thandaunggyi,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,3062,3062
 Rural,-,2747,2747
 Total,-,5809,5809
NotApp :,36,*,*
AREA # 030151,Paingkyon(ST),*,*
Urban/Rural,Canoe/Boat,*,*
