Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total
 Urban,201,6655,6856
 Rural,1958,24320,26278
 Total,2159,30975,33134
NotApp :,1665,*,*
AREA # 010251,Hopin(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,3320,1221,4541
 Rural,2958,1933,4891
 Total,6278,3154,9432
NotApp :,114,*,*
AREA # 010252,Kamine(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,145,885,1030
 Rural,206,2262,2468
 Total,351,3147,3498
NotApp :,131,*,*
AREA # 010301,Bhamo,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,4803,4712,9515
 Rural,4431,10215,14646
 Total,9234,14927,24161
NotApp :,571,*,*
AREA # 010302,Shwegu,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1900,1502,3402
 Rural,3619,8807,12426
 Total,5519,10309,15828
NotApp :,336,*,*
AREA # 010303,Momauk,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1071,1019,2090
 Rural,1929,4615,6544
 Total,3000,5634,8634
NotApp :,144,*,*
AREA # 010304,Mansi,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,597,1021,1618
 Rural,2231,6705,8936
 Total,2828,7726,10554
NotApp :,82,*,*
AREA # 010351,Myohla(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,69,292,361
 Rural,53,379,432
 Total,122,671,793
NotApp :,11,*,*
AREA # 010352,Lwe`ge`(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,138,1087,1225
 Rural,32,246,278
 Total,170,1333,1503
NotApp :,24,*,*
AREA # 010353,Dotphoneyan(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,19,292,311
 Rural,131,1791,1922
 Total,150,2083,2233
NotApp :,65,*,*
AREA # 010401,Putao,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,646,2165,2811
