Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1504,872,2376
 Rural,11545,12860,24405
 Total,13049,13732,26781
NotApp :,169,*,*
AREA # 070301,Pyay,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,17529,11286,28815
 Rural,15064,14678,29742
 Total,32593,25964,58557
NotApp :,1014,*,*
AREA # 070302,Paukkhaung,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,2084,1522,3606
 Rural,5674,23067,28741
 Total,7758,24589,32347
NotApp :,302,*,*
AREA # 070303,Padaung,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,2949,1519,4468
 Rural,14968,19456,34424
 Total,17917,20975,38892
NotApp :,412,*,*
AREA # 070304,Paunde,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,4946,1535,6481
 Rural,15207,15012,30219
 Total,20153,16547,36700
NotApp :,296,*,*
AREA # 070305,Thegon,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,3112,1154,4266
 Rural,19802,11882,31684
 Total,22914,13036,35950
NotApp :,304,*,*
AREA # 070306,Shwedaung,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,3391,1127,4518
 Rural,14742,14304,29046
 Total,18133,15431,33564
NotApp :,368,*,*
AREA # 070401,Tharyarwaddy,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,5890,2274,8164
 Rural,14499,13963,28462
 Total,20389,16237,36626
NotApp :,285,*,*
AREA # 070402,Letpadan,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,4139,1596,5735
 Rural,18906,18843,37749
 Total,23045,20439,43484
NotApp :,336,*,*
AREA # 070403,Minhla,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1851,851,2702
 Rural,15483,12709,28192
 Total,17334,13560,30894
NotApp :,231,*,*
AREA # 070404,Okpo,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,2033,767,2800
 Rural,16239,12855,29094
 Total,18272,13622,31894
NotApp :,283,*,*
AREA # 070405,Zigon,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,2958,1009,3967
 Rural,9060,5183,14243
 Total,12018,6192,18210
NotApp :,160,*,*
AREA # 070406,Nattalin,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,3484,1158,4642
 Rural,23057,18070,41127
 Total,26541,19228,45769
NotApp :,317,*,*
AREA # 070407,Monyo,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1784,596,2380
 Rural,16338,14569,30907
 Total,18122,15165,33287
NotApp :,232,*,*
AREA # 070408,Gyobingauk,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,4326,1258,5584
 Rural,15564,9438,25002
 Total,19890,10696,30586
NotApp :,233,*,*
AREA # 080101,Magway,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,8761,11109,19870
 Rural,7152,41655,48807
 Total,15913,52764,68677
NotApp :,1053,*,*
AREA # 080102,Yenangyoung,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,942,9734,10676
 Rural,1346,20478,21824
 Total,2288,30212,32500
NotApp :,490,*,*
AREA # 080103,Chauk,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1307,9094,10401
 Rural,5053,29164,34217
 Total,6360,38258,44618
NotApp :,539,*,*
AREA # 080104,Taungdwingyi,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,6693,3362,10055
 Rural,13645,36563,50208
 Total,20338,39925,60263
NotApp :,426,*,*
AREA # 080105,Myothit,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1079,667,1746
 Rural,6824,28378,35202
 Total,7903,29045,36948
NotApp :,339,*,*
AREA # 080106,Natmauk,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1678,1496,3174
 Rural,6370,38882,45252
 Total,8048,40378,48426
NotApp :,396,*,*
AREA # 080201,Minbu,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,4522,4668,9190
 Rural,10515,24112,34627
 Total,15037,28780,43817
NotApp :,551,*,*
AREA # 080202,Pwint Phyu,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1008,446,1454
 Rural,21414,16896,38310
 Total,22422,17342,39764
NotApp :,475,*,*
AREA # 080203,Ngape,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,501,478,979
 Rural,3979,7499,11478
 Total,4480,7977,12457
NotApp :,159,*,*
AREA # 080204,Salin,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1998,788,2786
 Rural,24052,28767,52819
 Total,26050,29555,55605
NotApp :,631,*,*
AREA # 080205,Saytottara,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,461,1064,1525
 Rural,714,8541,9255
 Total,1175,9605,10780
NotApp :,279,*,*
AREA # 080301,Thayet,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,2928,1635,4563
 Rural,4107,17302,21409
 Total,7035,18937,25972
NotApp :,302,*,*
AREA # 080302,Minhla,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1285,1696,2981
 Rural,3508,25133,28641
 Total,4793,26829,31622
NotApp :,346,*,*
AREA # 080303,Mindon,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,415,855,1270
 Rural,2138,13401,15539
 Total,2553,14256,16809
NotApp :,207,*,*
AREA # 080304,Kamma,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,537,757,1294
 Rural,4948,12901,17849
 Total,5485,13658,19143
NotApp :,208,*,*
AREA # 080305,Aunglan,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,6399,5226,11625
 Rural,8373,37611,45984
 Total,14772,42837,57609
NotApp :,479,*,*
AREA # 080306,Sinpaungwe`,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,710,571,1281
 Rural,2700,24703,27403
 Total,3410,25274,28684
NotApp :,290,*,*
AREA # 080401,Pakokku,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,12642,6427,19069
 Rural,22951,24320,47271
 Total,35593,30747,66340
NotApp :,723,*,*
AREA # 080402,Yesagyo,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,4086,813,4899
 Rural,25017,17416,42433
 Total,29103,18229,47332
NotApp :,485,*,*
AREA # 080403,Myaing,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1088,713,1801
 Rural,25895,25945,51840
 Total,26983,26658,53641
NotApp :,502,*,*
AREA # 080404,Pauk,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,916,785,1701
 Rural,6788,30476,37264
 Total,7704,31261,38965
NotApp :,326,*,*
AREA # 080405,Seikphyu,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,843,1286,2129
 Rural,2667,18631,21298
 Total,3510,19917,23427
NotApp :,208,*,*
AREA # 080501,Gangaw,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1372,1886,3258
 Rural,7450,19204,26654
 Total,8822,21090,29912
NotApp :,303,*,*
AREA # 080502,Htilin,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,357,766,1123
 Rural,834,8575,9409
 Total,1191,9341,10532
NotApp :,182,*,*
AREA # 080503,Saw,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,231,1030,1261
 Rural,573,6491,7064
 Total,804,7521,8325
NotApp :,212,*,*
AREA # 080551,Kyaukhtu(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,154,986,1140
 Rural,722,5747,6469
 Total,876,6733,7609
NotApp :,103,*,*
AREA # 090101,Aungmyetharzan,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,27864,21867,49731
 Total,27864,21867,49731
NotApp :,971,*,*
AREA # 090102,Chanayeharzan,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,15008,18273,33281
 Total,15008,18273,33281
NotApp :,1883,*,*
AREA # 090103,Mahaaungmye,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,18189,23738,41927
 Total,18189,23738,41927
NotApp :,754,*,*
AREA # 090104,Chanmyatharzi,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,27566,25481,53047
 Total,27566,25481,53047
NotApp :,901,*,*
AREA # 090105,Pyigyidagun,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,21748,22127,43875
 Total,21748,22127,43875
NotApp :,1032,*,*
AREA # 090106,Amarapura,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,8542,8088,16630
 Rural,17264,15732,32996
 Total,25806,23820,49626
NotApp :,572,*,*
AREA # 090107,Patheingyi,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1874,828,2702
 Rural,24755,25533,50288
 Total,26629,26361,52990
NotApp :,902,*,*
AREA # 090201,Pyin Oo Lwin,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,13417,18524,31941
 Rural,3157,18284,21441
 Total,16574,36808,53382
NotApp :,962,*,*
AREA # 090202,Madaya,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,3396,1915,5311
 Rural,21186,32148,53334
 Total,24582,34063,58645
NotApp :,508,*,*
AREA # 090203,Sinku,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,999,733,1732
 Rural,7458,25343,32801
 Total,8457,26076,34533
NotApp :,281,*,*
AREA # 090204,Mogok,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,4099,12587,16686
 Rural,1716,16845,18561
 Total,5815,29432,35247
NotApp :,586,*,*
AREA # 090205,Thabeikkyin,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,75,1113,1188
 Rural,2211,22350,24561
 Total,2286,23463,25749
NotApp :,297,*,*
AREA # 090251,Tagaung,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,471,1322,1793
 Rural,842,4757,5599
 Total,1313,6079,7392
NotApp :,96,*,*
AREA # 090301,Kyaukse,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,4636,3855,8491
 Rural,22052,27222,49274
 Total,26688,31077,57765
NotApp :,526,*,*
AREA # 090302,Singaing,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1249,531,1780
 Rural,16518,15281,31799
 Total,17767,15812,33579
NotApp :,464,*,*
AREA # 090303,Myitthar,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,3278,1068,4346
 Rural,20049,21622,41671
 Total,23327,22690,46017
NotApp :,399,*,*
AREA # 090304,Tada U,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1825,827,2652
 Rural,12450,17525,29975
 Total,14275,18352,32627
NotApp :,340,*,*
AREA # 090401,Myingyan,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,11194,7703,18897
 Rural,21895,21548,43443
 Total,33089,29251,62340
NotApp :,622,*,*
AREA # 090402,Taungtha,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,2342,1521,3863
 Rural,14241,31748,45989
 Total,16583,33269,49852
NotApp :,425,*,*
AREA # 090403,Natogyi,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1546,1296,2842
 Rural,14478,23645,38123
 Total,16024,24941,40965
NotApp :,349,*,*
AREA # 090404,Kyaukpadaung,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,3835,5178,9013
 Rural,7190,45758,52948
 Total,11025,50936,61961
NotApp :,497,*,*
AREA # 090405,Ngazun,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1180,477,1657
 Rural,10103,16078,26181
 Total,11283,16555,27838
NotApp :,295,*,*
AREA # 090501,Nyaung U,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,5066,4449,9515
 Rural,5880,29267,35147
 Total,10946,33716,44662
NotApp :,603,*,*
AREA # 090551,Ngat,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,104,1335,1439
 Rural,526,7846,8372
 Total,630,9181,9811
NotApp :,69,*,*
AREA # 090601,Yame`thin,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,3356,1971,5327
 Rural,17503,34429,51932
 Total,20859,36400,57259
NotApp :,559,*,*
AREA # 090602,Pyawbwe,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,3472,3402,6874
 Rural,16670,35319,51989
 Total,20142,38721,58863
NotApp :,497,*,*
AREA # 090701,Meiktila,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,8290,15673,23963
 Rural,16152,28324,44476
 Total,24442,43997,68439
NotApp :,998,*,*
AREA # 090702,MahlYaing,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1676,1435,3111
 Rural,12160,18056,30216
 Total,13836,19491,33327
NotApp :,382,*,*
AREA # 090703,Thazi,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,2198,2522,4720
 Rural,13616,26556,40172
 Total,15814,29078,44892
NotApp :,484,*,*
AREA # 090704,Wundwin,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,4774,2526,7300
 Rural,20363,25906,46269
 Total,25137,28432,53569
NotApp :,474,*,*
AREA # 100101,Mawlamyine,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,16495,33239,49734
 Rural,4139,3584,7723
 Total,20634,36823,57457
NotApp :,954,*,*
AREA # 100102,Kyaikemaraw,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1227,949,2176
 Rural,15394,21318,36712
 Total,16621,22267,38888
NotApp :,478,*,*
AREA # 100103,Chaungzon,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1153,591,1744
 Rural,13659,12541,26200
 Total,14812,13132,27944
NotApp :,292,*,*
AREA # 100104,Thanbyuzayat,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,7534,4181,11715
 Rural,12527,11992,24519
 Total,20061,16173,36234
NotApp :,470,*,*
AREA # 100105,Mudon,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,8046,2746,10792
 Rural,19453,9067,28520
 Total,27499,11813,39312
NotApp :,541,*,*
AREA # 100106,Ye,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1648,4465,6113
 Rural,4470,19408,23878
 Total,6118,23873,29991
NotApp :,508,*,*
AREA # 100151,Lamine,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1824,1143,2967
 Rural,5659,10013,15672
 Total,7483,11156,18639
NotApp :,149,*,*
AREA # 100152,Khawzar,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,152,626,778
 Rural,435,3605,4040
 Total,587,4231,4818
NotApp :,70,*,*
AREA # 100201,Thaton,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,7076,3630,10706
 Rural,23990,13588,37578
 Total,31066,17218,48284
NotApp :,603,*,*
AREA # 100202,Paung,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,4053,1849,5902
 Rural,18306,19518,37824
 Total,22359,21367,43726
NotApp :,460,*,*
AREA # 100203,Kyaikto,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,5211,2305,7516
 Rural,13293,17279,30572
 Total,18504,19584,38088
NotApp :,848,*,*
AREA # 100204,Bilin,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,2801,1243,4044
 Rural,19301,15886,35187
 Total,22102,17129,39231
NotApp :,544,*,*
AREA # 110101,Sittway,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,9403,9503,18906
 Rural,1815,8315,10130
 Total,11218,17818,29036
NotApp :,377,*,*
AREA # 110102,Ponnagyun,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,735,1731,2466
 Rural,551,22318,22869
 Total,1286,24049,25335
NotApp :,246,*,*
AREA # 110103,Pauktaw,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,343,2127,2470
 Rural,162,27912,28074
 Total,505,30039,30544
NotApp :,349,*,*
AREA # 110104,Yethedaung,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,405,1105,1510
 Rural,910,21921,22831
 Total,1315,23026,24341
NotApp :,255,*,*
AREA # 110201,Myauk U,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,2475,4799,7274
 Rural,2932,31319,34251
 Total,5407,36118,41525
NotApp :,517,*,*
AREA # 110202,Kyauktaw,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1865,1974,3839
 Rural,3509,29147,32656
 Total,5374,31121,36495
NotApp :,327,*,*
AREA # 110203,Minbya,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1412,3203,4615
 Rural,1464,30549,32013
 Total,2876,33752,36628
NotApp :,359,*,*
AREA # 110204,Myebon,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,502,2116,2618
 Rural,1162,27559,28721
 Total,1664,29675,31339
NotApp :,244,*,*
AREA # 110301,Maungtaw,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,738,1576,2314
 Rural,667,4409,5076
 Total,1405,5985,7390
NotApp :,142,*,*
AREA # 110302,Buthidaung,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,735,1327,2062
 Rural,765,8437,9202
 Total,1500,9764,11264
NotApp :,178,*,*
AREA # 110351,Taungpyoletwe(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,15,143,158
 Rural,7,341,348
 Total,22,484,506
NotApp :,17,*,*
AREA # 110401,Kyaukpyu,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,2198,2056,4254
 Rural,2273,30737,33010
 Total,4471,32793,37264
NotApp :,491,*,*
AREA # 110402,Mannaung,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,429,877,1306
 Rural,1796,11633,13429
 Total,2225,12510,14735
NotApp :,186,*,*
AREA # 110403,Yanbye,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,778,1470,2248
 Rural,958,19212,20170
 Total,1736,20682,22418
NotApp :,325,*,*
AREA # 110404,An,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,206,1672,1878
 Rural,1175,24306,25481
 Total,1381,25978,27359
NotApp :,324,*,*
AREA # 110501,Thandwe,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,2159,1191,3350
 Rural,9333,18392,27725
 Total,11492,19583,31075
NotApp :,580,*,*
AREA # 110502,Toungup,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,3690,2488,6178
 Rural,3769,15292,19061
 Total,7459,17780,25239
NotApp :,343,*,*
AREA # 110503,Gwa,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1357,1131,2488
 Rural,2537,6220,8757
 Total,3894,7351,11245
NotApp :,115,*,*
AREA # 110551,Maei(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,282,933,1215
 Rural,773,7965,8738
 Total,1055,8898,9953
NotApp :,96,*,*
AREA # 110552,Kyeintali(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,703,772,1475
 Rural,1385,3221,4606
 Total,2088,3993,6081
NotApp :,76,*,*
AREA # 120101,Insein,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,31893,29783,61676
 Total,31893,29783,61676
NotApp :,993,*,*
AREA # 120102,Mingaladon,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,20799,20842,41641
 Rural,13030,11632,24662
 Total,33829,32474,66303
NotApp :,1749,*,*
AREA # 120103,Hmawby,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,3720,2222,5942
 Rural,27543,22984,50527
 Total,31263,25206,56469
NotApp :,902,*,*
AREA # 120104,Hlegu,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,6090,2659,8749
 Rural,24910,24364,49274
 Total,31000,27023,58023
NotApp :,1175,*,*
AREA # 120105,Taikkyi,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,13596,6763,20359
 Rural,23387,23253,46640
 Total,36983,30016,66999
NotApp :,614,*,*
AREA # 120106,Htantabin,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,904,1152,2056
 Rural,11182,20973,32155
 Total,12086,22125,34211
NotApp :,229,*,*
AREA # 120107,Shwepyitha,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,37792,20719,58511
 Rural,7286,7978,15264
 Total,45078,28697,73775
NotApp :,834,*,*
AREA # 120108,Hlinethaya,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,51686,52121,103807
 Rural,22120,22784,44904
 Total,73806,74905,148711
NotApp :,1246,*,*
AREA # 120201,Thingangyun,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,20959,22361,43320
 Total,20959,22361,43320
NotApp :,265,*,*
AREA # 120202,Yankin,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,4852,9785,14637
 Total,4852,9785,14637
NotApp :,149,*,*
AREA # 120203,South Okkalapa,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,22098,10627,32725
 Total,22098,10627,32725
NotApp :,418,*,*
AREA # 120204,North Okkalapa,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,42232,22524,64756
 Total,42232,22524,64756
NotApp :,946,*,*
AREA # 120205,Thakayta,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,28462,16994,45456
 Total,28462,16994,45456
NotApp :,451,*,*
AREA # 120206,Dawbon,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,6802,7607,14409
 Total,6802,7607,14409
NotApp :,154,*,*
AREA # 120207,Tamway,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,4301,31059,35360
 Total,4301,31059,35360
NotApp :,633,*,*
AREA # 120208,Pazuntaung,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,511,9795,10306
 Total,511,9795,10306
NotApp :,215,*,*
AREA # 120209,Botahtaung,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1288,7109,8397
 Total,1288,7109,8397
NotApp :,295,*,*
AREA # 120210,Dagon Myothit(South),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,50200,26784,76984
 Total,50200,26784,76984
NotApp :,751,*,*
AREA # 120211,Dagon Myothit(North),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,30575,12129,42704
 Total,30575,12129,42704
NotApp :,126,*,*
AREA # 120212,Dagon Myothit(East),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,21747,10148,31895
 Rural,808,1210,2018
 Total,22555,11358,33913
NotApp :,814,*,*
AREA # 120213,Dagon Myothit(Seik),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,17435,16737,34172
 Rural,1869,1864,3733
 Total,19304,18601,37905
NotApp :,383,*,*
AREA # 120214,Mingala Taungnyunt,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,2809,23109,25918
 Total,2809,23109,25918
NotApp :,325,*,*
AREA # 120301,Thanlyin,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,6286,12423,18709
 Rural,14725,28163,42888
 Total,21011,40586,61597
NotApp :,594,*,*
AREA # 120302,Kyauktan,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,4249,5615,9864
 Rural,7488,15624,23112
 Total,11737,21239,32976
NotApp :,324,*,*
AREA # 120303,Thongwa,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,4443,2313,6756
 Rural,17521,15810,33331
 Total,21964,18123,40087
NotApp :,287,*,*
AREA # 120304,Khayan,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,5306,2572,7878
 Rural,16974,14462,31436
 Total,22280,17034,39314
NotApp :,203,*,*
AREA # 120305,Twantay,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,4307,4890,9197
 Rural,12112,30293,42405
 Total,16419,35183,51602
NotApp :,365,*,*
AREA # 120306,Kawhmu,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1200,1031,2231
 Rural,7830,19731,27561
 Total,9030,20762,29792
NotApp :,220,*,*
AREA # 120307,Kungyangon,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,2191,1767,3958
 Rural,7446,16948,24394
 Total,9637,18715,28352
NotApp :,207,*,*
AREA # 120308,Dala,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,12114,13217,25331
 Rural,3960,8621,12581
 Total,16074,21838,37912
NotApp :,211,*,*
AREA # 120309,Seikkyi/Khanaungto,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,3530,4199,7729
 Total,3530,4199,7729
NotApp :,39,*,*
AREA # 120310,Cocogyun,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,182,169,351
 Total,182,169,351
NotApp :,8,*,*
AREA # 120351,Tada(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1276,1214,2490
 Rural,2998,4005,7003
 Total,4274,5219,9493
NotApp :,57,*,*
AREA # 120401,Kyauktada,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,96,6024,6120
 Total,96,6024,6120
NotApp :,412,*,*
AREA # 120402,Pabedan,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,67,6496,6563
 Total,67,6496,6563
NotApp :,145,*,*
AREA # 120403,Lanmadaw,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,397,8202,8599
 Total,397,8202,8599
NotApp :,607,*,*
AREA # 120404,Latha,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,90,4383,4473
 Total,90,4383,4473
NotApp :,510,*,*
AREA # 120405,Ahlon,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1784,9159,10943
 Total,1784,9159,10943
NotApp :,503,*,*
AREA # 120406,Kyimyindine,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,3622,19440,23062
 Total,3622,19440,23062
NotApp :,182,*,*
AREA # 120407,Sangyoung,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1872,18763,20635
 Total,1872,18763,20635
NotApp :,1228,*,*
AREA # 120408,Hline,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
