Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
 Hut 2 - 3 years,26,696,722
 Hut 1 year,5,190,195
 Other,15,190,205
 Total,2291,30333,32624
NotApp :,271,*,*
AREA # 050203,Wetlet,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,3,40,43
 Bungalow/Brick house,307,2379,2686
 Semi-pacca house,146,1749,1895
 Wooden house,230,13843,14073
 Bamboo,1607,25406,27013
 Hut 2 - 3 years,9,689,698
 Hut 1 year,4,162,166
 Other,-,138,138
 Total,2306,44406,46712
NotApp :,437,*,*
AREA # 050204,Kambalu,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,172,265,437
 Bungalow/Brick house,670,2259,2929
 Semi-pacca house,429,3144,3573
 Wooden house,1672,22599,24271
 Bamboo,2166,26555,28721
 Hut 2 - 3 years,27,994,1021
 Hut 1 year,1,180,181
 Other,46,147,193
 Total,5183,56143,61326
NotApp :,537,*,*
AREA # 050205,Kyunhlau,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,121,25,146
 Bungalow/Brick house,537,443,980
 Semi-pacca house,129,683,812
 Wooden house,1020,10421,11441
 Bamboo,651,5665,6316
 Hut 2 - 3 years,38,583,621
 Hut 1 year,3,363,366
 Other,-,181,181
 Total,2499,18364,20863
NotApp :,224,*,*
AREA # 050206,Ye U,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,100,12,112
 Bungalow/Brick house,462,511,973
 Semi-pacca house,376,953,1329
 Wooden house,928,13574,14502
 Bamboo,2076,6554,8630
 Hut 2 - 3 years,7,680,687
 Hut 1 year,10,62,72
 Other,6,62,68
 Total,3965,22408,26373
NotApp :,308,*,*
AREA # 050207,Depayin,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,2,35,37
 Bungalow/Brick house,100,1261,1361
 Semi-pacca house,69,1606,1675
 Wooden house,291,7824,8115
 Bamboo,485,16161,16646
 Hut 2 - 3 years,8,2060,2068
 Hut 1 year,-,247,247
 Other,-,196,196
 Total,955,29390,30345
NotApp :,367,*,*
AREA # 050208,Tasei,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,13,10,23
 Bungalow/Brick house,702,637,1339
 Semi-pacca house,237,908,1145
 Wooden house,1256,27162,28418
 Bamboo,756,3158,3914
 Hut 2 - 3 years,8,904,912
 Hut 1 year,-,133,133
 Other,-,53,53
 Total,2972,32965,35937
NotApp :,328,*,*
AREA # 050251,Kyaukmyaung(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,108,2,110
 Bungalow/Brick house,184,217,401
 Semi-pacca house,94,227,321
 Wooden house,857,1704,2561
 Bamboo,974,2328,3302
 Hut 2 - 3 years,53,214,267
 Hut 1 year,5,39,44
 Other,31,13,44
 Total,2306,4744,7050
NotApp :,65,*,*
AREA # 050301,Monywa,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,1441,1178,2619
 Bungalow/Brick house,5202,1842,7044
 Semi-pacca house,4200,2213,6413
 Wooden house,11395,9582,20977
 Bamboo,17770,20268,38038
 Hut 2 - 3 years,231,301,532
 Hut 1 year,99,69,168
 Other,68,103,171
 Total,40406,35556,75962
NotApp :,1167,*,*
AREA # 050302,Butalin,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,83,81,164
 Bungalow/Brick house,184,2396,2580
 Semi-pacca house,152,3076,3228
 Wooden house,134,4801,4935
 Bamboo,619,14473,15092
 Hut 2 - 3 years,6,1791,1797
 Hut 1 year,4,299,303
 Other,11,506,517
 Total,1193,27423,28616
NotApp :,389,*,*
AREA # 050303,Ayartaw,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,69,229,298
 Bungalow/Brick house,136,2143,2279
 Semi-pacca house,344,2083,2427
 Wooden house,87,4101,4188
 Bamboo,1458,20335,21793
 Hut 2 - 3 years,47,3805,3852
 Hut 1 year,12,216,228
 Other,2,524,526
 Total,2155,33436,35591
NotApp :,378,*,*
AREA # 050304,Chaung Oo,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,21,13,34
 Bungalow/Brick house,483,1313,1796
 Semi-pacca house,331,909,1240
 Wooden house,2969,8842,11811
 Bamboo,1225,6992,8217
 Hut 2 - 3 years,25,142,167
 Hut 1 year,19,34,53
 Other,8,50,58
 Total,5081,18295,23376
NotApp :,254,*,*
AREA # 050401,Katha,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,165,89,254
 Bungalow/Brick house,621,559,1180
 Semi-pacca house,533,617,1150
 Wooden house,3054,17706,20760
 Bamboo,843,6968,7811
 Hut 2 - 3 years,27,532,559
 Hut 1 year,5,183,188
 Other,15,44,59
 Total,5263,26698,31961
NotApp :,447,*,*
AREA # 050402,Indaw,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,19,20,39
 Bungalow/Brick house,196,835,1031
 Semi-pacca house,225,1467,1692
 Wooden house,668,12925,13593
 Bamboo,729,5943,6672
 Hut 2 - 3 years,5,113,118
 Hut 1 year,-,46,46
 Other,-,39,39
 Total,1842,21388,23230
NotApp :,320,*,*
AREA # 050403,Tigyaing,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,21,30,51
 Bungalow/Brick house,491,544,1035
 Semi-pacca house,210,647,857
 Wooden house,1378,13123,14501
 Bamboo,897,8431,9328
 Hut 2 - 3 years,64,344,408
 Hut 1 year,5,134,139
 Other,4,66,70
 Total,3070,23319,26389
NotApp :,279,*,*
AREA # 050404,Banmauk,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,22,1,23
 Bungalow/Brick house,159,101,260
 Semi-pacca house,107,309,416
 Wooden house,808,12467,13275
 Bamboo,112,4205,4317
 Hut 2 - 3 years,3,432,435
 Hut 1 year,-,130,130
 Other,1,11,12
 Total,1212,17656,18868
NotApp :,678,*,*
AREA # 050405,Kawlin,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,31,42,73
 Bungalow/Brick house,423,795,1218
 Semi-pacca house,423,876,1299
 Wooden house,1861,14434,16295
 Bamboo,1815,10105,11920
 Hut 2 - 3 years,1,380,381
 Hut 1 year,8,171,179
 Other,7,31,38
 Total,4569,26834,31403
NotApp :,408,*,*
AREA # 050406,Wuntho,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,22,181,203
 Bungalow/Brick house,248,275,523
 Semi-pacca house,340,452,792
 Wooden house,1174,7359,8533
 Bamboo,804,3104,3908
 Hut 2 - 3 years,-,210,210
 Hut 1 year,1,31,32
 Other,1,3,4
 Total,2590,11615,14205
NotApp :,321,*,*
AREA # 050407,Pinlebu,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,3,4,7
 Bungalow/Brick house,265,304,569
 Semi-pacca house,120,582,702
 Wooden house,313,15601,15914
 Bamboo,743,3799,4542
 Hut 2 - 3 years,10,94,104
 Hut 1 year,3,42,45
 Other,12,5,17
 Total,1469,20431,21900
NotApp :,382,*,*
AREA # 050501,Kalay,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,852,575,1427
 Bungalow/Brick house,2931,1370,4301
 Semi-pacca house,3427,2087,5514
 Wooden house,9636,26378,36014
 Bamboo,8646,15857,24503
 Hut 2 - 3 years,103,477,580
 Hut 1 year,77,255,332
 Other,49,49,98
 Total,25721,47048,72769
NotApp :,551,*,*
AREA # 050502,Kalewa,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,3,1,4
 Bungalow/Brick house,148,60,208
 Semi-pacca house,245,261,506
 Wooden house,1107,7969,9076
 Bamboo,413,1348,1761
 Hut 2 - 3 years,2,81,83
 Hut 1 year,3,54,57
 Other,32,8,40
 Total,1953,9782,11735
NotApp :,183,*,*
AREA # 050503,Mingin,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,8,10,18
 Bungalow/Brick house,58,149,207
 Semi-pacca house,88,703,791
 Wooden house,278,15670,15948
 Bamboo,385,4088,4473
 Hut 2 - 3 years,9,333,342
 Hut 1 year,9,147,156
 Other,1,122,123
 Total,836,21222,22058
NotApp :,359,*,*
AREA # 050601,Tamu,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,100,1,101
 Bungalow/Brick house,457,12,469
 Semi-pacca house,711,76,787
 Wooden house,3640,1396,5036
 Bamboo,4001,1461,5462
 Hut 2 - 3 years,50,15,65
 Hut 1 year,17,20,37
 Other,13,16,29
 Total,8989,2997,11986
NotApp :,97,*,*
AREA # 050651,Myothit(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,2,8,10
 Bungalow/Brick house,15,19,34
 Semi-pacca house,6,74,80
 Wooden house,131,1372,1503
 Bamboo,148,1264,1412
 Hut 2 - 3 years,-,35,35
 Hut 1 year,4,11,15
 Other,2,6,8
 Total,308,2789,3097
NotApp :,38,*,*
AREA # 050652,Khampat(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,19,1,20
 Bungalow/Brick house,75,62,137
 Semi-pacca house,107,124,231
 Wooden house,1167,1428,2595
 Bamboo,1461,3015,4476
 Hut 2 - 3 years,4,26,30
 Hut 1 year,5,7,12
 Other,-,7,7
 Total,2838,4670,7508
NotApp :,25,*,*
AREA # 050701,Mawlaik,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,230,-,230
 Bungalow/Brick house,112,123,235
 Semi-pacca house,96,253,349
 Wooden house,1096,6567,7663
 Bamboo,202,1340,1542
 Hut 2 - 3 years,49,137,186
 Hut 1 year,37,92,129
 Other,2,9,11
 Total,1824,8521,10345
NotApp :,173,*,*
AREA # 050702,Phaungpyin,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,152,2,154
 Bungalow/Brick house,36,331,367
 Semi-pacca house,160,758,918
 Wooden house,1329,14456,15785
 Bamboo,261,2450,2711
 Hut 2 - 3 years,4,139,143
 Hut 1 year,-,148,148
 Other,-,20,20
 Total,1942,18304,20246
NotApp :,277,*,*
AREA # 050801,Hkamti,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,183,4,187
 Bungalow/Brick house,116,5,121
 Semi-pacca house,294,36,330
 Wooden house,1063,2267,3330
 Bamboo,495,2298,2793
 Hut 2 - 3 years,7,190,197
 Hut 1 year,14,236,250
 Other,11,142,153
 Total,2183,5178,7361
NotApp :,521,*,*
AREA # 050802,Homalin,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,213,13,226
 Bungalow/Brick house,260,188,448
 Semi-pacca house,260,633,893
 Wooden house,2388,23976,26364
 Bamboo,392,6255,6647
 Hut 2 - 3 years,30,659,689
 Hut 1 year,27,318,345
 Other,5,126,131
 Total,3575,32168,35743
NotApp :,1266,*,*
AREA # 050803,Leshi,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,1,-,1
 Semi-pacca house,4,-,4
 Wooden house,116,707,823
 Bamboo,118,676,794
 Hut 2 - 3 years,14,19,33
 Other,-,1,1
 Total,253,1403,1656
NotApp :,53,*,*
AREA # 050804,Lahe,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,62,1,63
 Bungalow/Brick house,7,-,7
 Semi-pacca house,22,-,22
 Wooden house,129,141,270
 Bamboo,318,6193,6511
 Hut 2 - 3 years,-,93,93
 Other,-,11,11
 Total,538,6439,6977
NotApp :,37,*,*
AREA # 050805,Nanyun,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,53,1,54
 Bungalow/Brick house,3,-,3
 Semi-pacca house,7,2,9
 Wooden house,88,58,146
 Bamboo,224,1130,1354
 Hut 2 - 3 years,-,2,2
 Total,375,1193,1568
NotApp :,17,*,*
AREA # 050851,Mobaingluk(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,32,-,32
 Semi-pacca house,3,-,3
 Wooden house,82,64,146
 Bamboo,88,35,123
 Hut 2 - 3 years,5,1,6
 Total,210,100,310
NotApp :,2,*,*
AREA # 050852,Sonemara(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Semi-pacca house,-,1,1
 Wooden house,285,892,1177
 Bamboo,-,14,14
 Hut 2 - 3 years,1,-,1
 Other,-,1,1
 Total,286,908,1194
NotApp :,10,*,*
AREA # 050853,Htanparkway(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Wooden house,81,228,309
 Bamboo,37,404,441
 Hut 1 year,9,-,9
 Other,1,1,2
 Total,128,633,761
NotApp :,9,*,*
AREA # 050854,Pansaung(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,-,2,2
 Semi-pacca house,1,-,1
 Wooden house,57,50,107
 Bamboo,280,1956,2236
 Hut 2 - 3 years,-,1,1
 Hut 1 year,-,2,2
 Total,338,2011,2349
NotApp :,5,*,*
AREA # 050855,Donhee(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,-,1,1
 Wooden house,2,74,76
 Bamboo,167,3626,3793
 Hut 2 - 3 years,-,53,53
 Total,169,3754,3923
NotApp :,10,*,*
AREA # 050901,Yinmarpin,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,27,3,30
 Bungalow/Brick house,96,740,836
 Semi-pacca house,80,2101,2181
 Wooden house,298,10692,10990
 Bamboo,570,13723,14293
 Hut 2 - 3 years,4,1120,1124
 Hut 1 year,-,48,48
 Other,2,28,30
 Total,1077,28455,29532
NotApp :,265,*,*
AREA # 050902,Salingyi,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,5,26,31
 Bungalow/Brick house,72,451,523
 Semi-pacca house,48,1138,1186
 Wooden house,252,8374,8626
 Bamboo,838,14230,15068
 Hut 2 - 3 years,5,885,890
 Hut 1 year,-,82,82
 Other,2,59,61
 Total,1222,25245,26467
NotApp :,384,*,*
AREA # 050903,Palae,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,-,3,3
 Bungalow/Brick house,43,361,404
 Semi-pacca house,48,1054,1102
 Wooden house,488,12569,13057
 Bamboo,345,16959,17304
 Hut 2 - 3 years,6,383,389
 Hut 1 year,-,54,54
 Other,1,48,49
 Total,931,31431,32362
NotApp :,338,*,*
AREA # 050904,Kani,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,1,10,11
 Bungalow/Brick house,38,1708,1746
 Semi-pacca house,133,4651,4784
 Wooden house,656,12725,13381
 Bamboo,304,7306,7610
 Hut 2 - 3 years,3,1375,1378
 Hut 1 year,-,194,194
 Other,3,116,119
 Total,1138,28085,29223
NotApp :,351,*,*
AREA # 060101,Dawei,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,793,488,1281
 Bungalow/Brick house,2415,767,3182
 Semi-pacca house,2632,811,3443
 Wooden house,7402,5018,12420
 Bamboo,1925,2239,4164
 Hut 2 - 3 years,59,143,202
 Hut 1 year,12,42,54
 Other,144,53,197
 Total,15382,9561,24943
NotApp :,551,*,*
AREA # 060102,Lounglon,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,6,73,79
 Bungalow/Brick house,197,3292,3489
 Semi-pacca house,240,3203,3443
 Wooden house,658,13206,13864
 Bamboo,108,4043,4151
 Hut 2 - 3 years,10,440,450
 Hut 1 year,14,170,184
 Other,7,68,75
 Total,1240,24495,25735
NotApp :,291,*,*
AREA # 060103,Thayetchaung,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,235,36,271
 Bungalow/Brick house,251,1794,2045
 Semi-pacca house,269,2067,2336
 Wooden house,1263,11291,12554
 Bamboo,328,3908,4236
 Hut 2 - 3 years,29,1053,1082
 Hut 1 year,5,290,295
 Other,27,28,55
 Total,2407,20467,22874
NotApp :,255,*,*
AREA # 060104,Yebyu,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,8,649,657
 Bungalow/Brick house,153,1370,1523
 Semi-pacca house,152,2096,2248
 Wooden house,622,12328,12950
 Bamboo,102,3628,3730
 Hut 2 - 3 years,18,625,643
 Hut 1 year,19,230,249
 Other,3,70,73
 Total,1077,20996,22073
NotApp :,316,*,*
AREA # 060151,Myitta(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,16,10,26
 Bungalow/Brick house,13,82,95
 Semi-pacca house,32,140,172
 Wooden house,243,1666,1909
 Bamboo,189,1622,1811
 Hut 2 - 3 years,2,151,153
 Hut 1 year,1,14,15
 Other,-,9,9
 Total,496,3694,4190
NotApp :,72,*,*
AREA # 060152,Kaleinaung(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,62,239,301
 Bungalow/Brick house,40,50,90
 Semi-pacca house,68,136,204
 Wooden house,212,1648,1860
 Bamboo,204,1373,1577
 Hut 2 - 3 years,6,106,112
 Hut 1 year,5,70,75
 Other,27,31,58
 Total,624,3653,4277
NotApp :,141,*,*
AREA # 060201,Myeik,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,466,1634,2100
 Bungalow/Brick house,3387,1782,5169
 Semi-pacca house,2413,1641,4054
 Wooden house,10188,15073,25261
 Bamboo,4979,11179,16158
 Hut 2 - 3 years,47,1030,1077
 Hut 1 year,16,271,287
 Other,52,191,243
 Total,21548,32801,54349
NotApp :,763,*,*
AREA # 060202,Kyunsu,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,334,139,473
 Bungalow/Brick house,49,203,252
 Semi-pacca house,63,821,884
 Wooden house,301,16250,16551
 Bamboo,368,10749,11117
 Hut 2 - 3 years,19,2777,2796
 Hut 1 year,7,334,341
 Other,1,573,574
 Total,1142,31846,32988
NotApp :,330,*,*
AREA # 060203,Palaw,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,96,130,226
 Bungalow/Brick house,645,1488,2133
 Semi-pacca house,268,812,1080
 Wooden house,1478,5707,7185
 Bamboo,1030,6298,7328
 Hut 2 - 3 years,36,352,388
 Hut 1 year,6,75,81
 Other,12,92,104
 Total,3571,14954,18525
NotApp :,178,*,*
AREA # 060204,Tanintharyi,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,16,312,328
 Bungalow/Brick house,21,378,399
 Semi-pacca house,135,979,1114
 Wooden house,692,7963,8655
 Bamboo,242,7683,7925
 Hut 2 - 3 years,18,1088,1106
 Hut 1 year,1,321,322
 Other,1,79,80
 Total,1126,18803,19929
NotApp :,325,*,*
AREA # 060251,Palauk(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,56,101,157
 Bungalow/Brick house,121,664,785
 Semi-pacca house,88,305,393
 Wooden house,408,2454,2862
 Bamboo,514,2026,2540
 Hut 2 - 3 years,17,267,284
 Hut 1 year,4,69,73
 Other,3,31,34
 Total,1211,5917,7128
NotApp :,45,*,*
AREA # 060301,Kawthoung,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,2421,866,3287
 Bungalow/Brick house,3196,1998,5194
 Semi-pacca house,2563,1096,3659
 Wooden house,3783,6321,10104
 Bamboo,453,1882,2335
 Hut 2 - 3 years,79,419,498
 Hut 1 year,11,89,100
 Other,74,230,304
 Total,12580,12901,25481
NotApp :,367,*,*
AREA # 060302,Bokepyin,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,11,505,516
 Bungalow/Brick house,50,110,160
 Semi-pacca house,71,202,273
 Wooden house,588,4551,5139
 Bamboo,289,1824,2113
 Hut 2 - 3 years,4,399,403
 Hut 1 year,3,129,132
 Other,31,109,140
 Total,1047,7829,8876
NotApp :,187,*,*
AREA # 060351,Khamaukgyi,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,308,110,418
 Bungalow/Brick house,74,438,512
 Semi-pacca house,92,254,346
 Wooden house,1044,752,1796
 Bamboo,666,771,1437
 Hut 2 - 3 years,28,79,107
 Hut 1 year,33,44,77
 Other,110,62,172
 Total,2355,2510,4865
NotApp :,126,*,*
AREA # 060352,Pyigyimandaing,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,106,7,113
 Bungalow/Brick house,21,8,29
 Semi-pacca house,33,39,72
 Wooden house,318,908,1226
 Bamboo,85,1008,1093
 Hut 2 - 3 years,96,296,392
 Hut 1 year,45,76,121
 Other,11,47,58
 Total,715,2389,3104
NotApp :,91,*,*
AREA # 060353,Karathuri(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,67,633,700
 Bungalow/Brick house,19,20,39
 Semi-pacca house,42,39,81
 Wooden house,100,1608,1708
 Bamboo,56,765,821
 Hut 2 - 3 years,-,273,273
 Hut 1 year,-,73,73
 Other,2,65,67
 Total,286,3476,3762
NotApp :,102,*,*
AREA # 070101,Bago,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,1747,2122,3869
 Bungalow/Brick house,7071,1792,8863
 Semi-pacca house,7287,2605,9892
 Wooden house,28544,28310,56854
 Bamboo,9252,15155,24407
 Hut 2 - 3 years,451,1280,1731
 Hut 1 year,277,795,1072
 Other,263,181,444
 Total,54892,52240,107132
NotApp :,1161,*,*
AREA # 070102,Tanatpin,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,45,8,53
 Bungalow/Brick house,292,390,682
 Semi-pacca house,269,980,1249
 Wooden house,1723,12802,14525
 Bamboo,1246,13663,14909
 Hut 2 - 3 years,21,547,568
 Hut 1 year,21,450,471
 Other,12,58,70
 Total,3629,28898,32527
NotApp :,222,*,*
AREA # 070103,Kawa,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,12,39,51
 Bungalow/Brick house,234,434,668
 Semi-pacca house,409,1476,1885
 Wooden house,2024,15562,17586
 Bamboo,1458,22945,24403
 Hut 2 - 3 years,35,906,941
 Hut 1 year,28,361,389
 Other,54,98,152
 Total,4254,41821,46075
NotApp :,248,*,*
AREA # 070104,Waw,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,66,31,97
 Bungalow/Brick house,403,529,932
 Semi-pacca house,297,1210,1507
 Wooden house,2791,19509,22300
 Bamboo,1359,9566,10925
 Hut 2 - 3 years,70,699,769
 Hut 1 year,45,393,438
 Other,15,100,115
 Total,5046,32037,37083
NotApp :,296,*,*
AREA # 070105,Nyaunglebin,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,190,105,295
 Bungalow/Brick house,981,732,1713
 Semi-pacca house,1185,1309,2494
 Wooden house,7681,19145,26826
 Bamboo,2900,9503,12403
 Hut 2 - 3 years,49,518,567
 Hut 1 year,32,268,300
 Other,44,120,164
 Total,13062,31700,44762
NotApp :,311,*,*
AREA # 070106,Kyauktaga,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,92,213,305
 Bungalow/Brick house,590,1471,2061
 Semi-pacca house,853,3058,3911
 Wooden house,3990,25895,29885
 Bamboo,1167,12369,13536
 Hut 2 - 3 years,113,902,1015
 Hut 1 year,59,817,876
 Other,9,50,59
 Total,6873,44775,51648
NotApp :,363,*,*
AREA # 070107,Daik U,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,33,266,299
 Bungalow/Brick house,855,1157,2012
 Semi-pacca house,571,2014,2585
 Wooden house,5422,22046,27468
 Bamboo,1778,10458,12236
 Hut 2 - 3 years,34,557,591
 Hut 1 year,29,403,432
 Other,18,112,130
 Total,8740,37013,45753
NotApp :,339,*,*
AREA # 070108,Shwegyin,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,284,213,497
 Bungalow/Brick house,538,176,714
 Semi-pacca house,445,394,839
 Wooden house,3055,10080,13135
 Bamboo,474,4977,5451
 Hut 2 - 3 years,35,564,599
 Hut 1 year,16,401,417
 Other,18,112,130
 Total,4865,16917,21782
NotApp :,240,*,*
AREA # 070201,Toungoo,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,1349,1384,2733
 Bungalow/Brick house,3558,1486,5044
 Semi-pacca house,3306,2462,5768
 Wooden house,10662,17016,27678
 Bamboo,2609,11429,14038
 Hut 2 - 3 years,235,892,1127
 Hut 1 year,85,625,710
 Other,96,266,362
 Total,21900,35560,57460
NotApp :,871,*,*
AREA # 070202,Yaedashe,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,182,1466,1648
 Bungalow/Brick house,791,1422,2213
 Semi-pacca house,699,1992,2691
 Wooden house,2466,19567,22033
 Bamboo,1747,17383,19130
 Hut 2 - 3 years,38,1688,1726
 Hut 1 year,13,773,786
 Other,19,281,300
 Total,5955,44572,50527
NotApp :,460,*,*
AREA # 070203,Kyaukkyi,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,11,304,315
 Bungalow/Brick house,130,336,466
 Semi-pacca house,136,882,1018
 Wooden house,1507,12603,14110
 Bamboo,336,5103,5439
 Hut 2 - 3 years,107,812,919
 Hut 1 year,25,363,388
 Other,6,222,228
 Total,2258,20625,22883
NotApp :,203,*,*
AREA # 070204,Pyu,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,530,165,695
 Bungalow/Brick house,1749,1452,3201
 Semi-pacca house,1695,3327,5022
 Wooden house,6831,22083,28914
 Bamboo,2475,11468,13943
 Hut 2 - 3 years,220,1443,1663
 Hut 1 year,58,691,749
 Other,269,475,744
 Total,13827,41104,54931
NotApp :,386,*,*
AREA # 070205,Oatwin,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,42,520,562
 Bungalow/Brick house,294,1435,1729
 Semi-pacca house,277,2528,2805
 Wooden house,1555,18050,19605
 Bamboo,900,9873,10773
 Hut 2 - 3 years,14,765,779
 Hut 1 year,11,323,334
 Other,116,167,283
 Total,3209,33661,36870
NotApp :,276,*,*
AREA # 070206,Htantapin,*,*
Type residence,Urban/Rural,*,*
