Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
 Semi-pacca house,16,6,22
 Wooden house,464,236,700
 Bamboo,467,777,1244
 Hut 2 - 3 years,45,83,128
 Hut 1 year,10,1,11
 Other,5,-,5
 Total,1025,1105,2130
NotApp :,15,*,*
AREA # 010155,Panwa(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,23,54,77
 Bungalow/Brick house,3,26,29
 Semi-pacca house,15,24,39
 Wooden house,153,982,1135
 Bamboo,2,90,92
 Hut 2 - 3 years,-,2,2
 Other,-,1,1
 Total,196,1179,1375
NotApp :,41,*,*
AREA # 010201,Mohnyin,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,115,462,577
 Bungalow/Brick house,925,808,1733
 Semi-pacca house,771,1218,1989
 Wooden house,2488,12169,14657
 Bamboo,1914,8882,10796
 Hut 2 - 3 years,32,191,223
 Hut 1 year,3,50,53
 Other,105,57,162
 Total,6353,23837,30190
NotApp :,542,*,*
AREA # 010202,Mogaung,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,41,645,686
 Bungalow/Brick house,575,1100,1675
 Semi-pacca house,518,1225,1743
 Wooden house,2109,8199,10308
 Bamboo,1177,9057,10234
 Hut 2 - 3 years,12,95,107
 Hut 1 year,4,33,37
 Other,12,96,108
 Total,4448,20450,24898
NotApp :,208,*,*
AREA # 010203,Phakant,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,38,160,198
 Bungalow/Brick house,122,328,450
 Semi-pacca house,368,865,1233
 Wooden house,3775,14714,18489
 Bamboo,2469,9049,11518
 Hut 2 - 3 years,25,414,439
 Hut 1 year,15,121,136
 Other,44,627,671
 Total,6856,26278,33134
NotApp :,1665,*,*
AREA # 010251,Hopin(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,114,151,265
 Bungalow/Brick house,590,137,727
 Semi-pacca house,442,214,656
 Wooden house,1313,2173,3486
 Bamboo,1999,2183,4182
 Hut 2 - 3 years,56,20,76
 Hut 1 year,12,13,25
 Other,15,-,15
 Total,4541,4891,9432
NotApp :,114,*,*
AREA # 010252,Kamine(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,9,-,9
 Bungalow/Brick house,33,18,51
 Semi-pacca house,56,50,106
 Wooden house,336,661,997
 Bamboo,592,1707,2299
 Hut 2 - 3 years,1,21,22
 Hut 1 year,2,8,10
 Other,1,3,4
 Total,1030,2468,3498
NotApp :,131,*,*
AREA # 010301,Bhamo,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,479,427,906
 Bungalow/Brick house,1140,614,1754
 Semi-pacca house,1261,783,2044
 Wooden house,3571,6692,10263
 Bamboo,2899,5902,8801
 Hut 2 - 3 years,38,148,186
 Hut 1 year,17,42,59
 Other,110,38,148
 Total,9515,14646,24161
NotApp :,571,*,*
AREA # 010302,Shwegu,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,42,159,201
 Bungalow/Brick house,378,314,692
 Semi-pacca house,278,348,626
 Wooden house,1955,6871,8826
 Bamboo,675,4310,4985
 Hut 2 - 3 years,46,261,307
 Hut 1 year,5,66,71
 Other,23,97,120
 Total,3402,12426,15828
NotApp :,336,*,*
AREA # 010303,Momauk,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,1,392,393
 Bungalow/Brick house,76,380,456
 Semi-pacca house,55,384,439
 Wooden house,426,2052,2478
 Bamboo,1287,3175,4462
 Hut 2 - 3 years,41,107,148
 Hut 1 year,3,32,35
 Other,201,22,223
 Total,2090,6544,8634
NotApp :,144,*,*
AREA # 010304,Mansi,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,81,156,237
 Bungalow/Brick house,104,479,583
 Semi-pacca house,158,483,641
 Wooden house,620,3382,4002
 Bamboo,639,3676,4315
 Hut 2 - 3 years,7,80,87
 Hut 1 year,1,656,657
 Other,8,24,32
 Total,1618,8936,10554
NotApp :,82,*,*
AREA # 010351,Myohla(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,15,-,15
 Bungalow/Brick house,8,1,9
 Semi-pacca house,3,2,5
 Wooden house,223,220,443
 Bamboo,90,204,294
 Hut 2 - 3 years,16,-,16
 Hut 1 year,5,-,5
 Other,1,5,6
 Total,361,432,793
NotApp :,11,*,*
AREA # 010352,Lwe`ge`(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,241,1,242
 Bungalow/Brick house,500,29,529
 Semi-pacca house,215,103,318
 Wooden house,113,32,145
 Bamboo,129,111,240
 Hut 2 - 3 years,1,-,1
 Other,26,2,28
 Total,1225,278,1503
NotApp :,24,*,*
AREA # 010353,Dotphoneyan(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,19,76,95
 Bungalow/Brick house,9,71,80
 Semi-pacca house,7,105,112
 Wooden house,72,447,519
 Bamboo,189,1184,1373
 Hut 2 - 3 years,2,29,31
 Hut 1 year,4,7,11
 Other,9,3,12
 Total,311,1922,2233
NotApp :,65,*,*
AREA # 010401,Putao,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,60,151,211
 Bungalow/Brick house,95,2,97
 Semi-pacca house,78,9,87
 Wooden house,1618,2839,4457
 Bamboo,945,4849,5794
 Hut 2 - 3 years,12,71,83
 Hut 1 year,1,11,12
 Other,2,-,2
 Total,2811,7932,10743
NotApp :,94,*,*
AREA # 010402,Sumprabum,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,6,-,6
 Bungalow/Brick house,1,-,1
 Semi-pacca house,2,-,2
 Wooden house,41,20,61
 Bamboo,122,285,407
 Hut 1 year,-,1,1
 Other,-,1,1
 Total,172,307,479
NotApp :,18,*,*
AREA # 010403,Machanbaw,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,53,-,53
 Bungalow/Brick house,6,-,6
 Semi-pacca house,3,1,4
 Wooden house,176,399,575
 Bamboo,169,910,1079
 Hut 2 - 3 years,-,1,1
 Other,1,-,1
 Total,408,1311,1719
NotApp :,31,*,*
AREA # 010404,Khaunglanphoo,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Semi-pacca house,-,1,1
 Wooden house,41,243,284
 Bamboo,29,1395,1424
 Hut 2 - 3 years,-,2,2
 Total,70,1641,1711
NotApp :,2,*,*
AREA # 010405,Naungmoon,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Semi-pacca house,1,-,1
 Wooden house,120,69,189
 Bamboo,239,514,753
 Total,360,583,943
NotApp :,4,*,*
AREA # 010451,Pannandin(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Wooden house,2,111,113
 Bamboo,22,134,156
 Total,24,245,269
NotApp :,1,*,*
AREA # 020101,Loikaw,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,738,781,1519
 Bungalow/Brick house,2576,2174,4750
 Semi-pacca house,1306,1385,2691
 Wooden house,4127,7105,11232
 Bamboo,1587,4543,6130
 Hut 2 - 3 years,27,37,64
 Hut 1 year,26,23,49
 Other,35,25,60
 Total,10422,16073,26495
NotApp :,304,*,*
AREA # 020102,Dimawso,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,23,210,233
 Bungalow/Brick house,360,1697,2057
 Semi-pacca house,207,1654,1861
 Wooden house,405,7604,8009
 Bamboo,140,2984,3124
 Hut 2 - 3 years,-,40,40
 Hut 1 year,-,7,7
 Other,2,14,16
 Total,1137,14210,15347
