Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total
AREA # 070205,Oatwin,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1151,2058,3209
 Rural,7263,26398,33661
 Total,8414,28456,36870
NotApp :,276,*,*
AREA # 070206,Htantapin,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,799,1577,2376
 Rural,3427,20978,24405
 Total,4226,22555,26781
NotApp :,169,*,*
AREA # 070301,Pyay,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,16112,12703,28815
 Rural,8868,20874,29742
 Total,24980,33577,58557
NotApp :,1014,*,*
AREA # 070302,Paukkhaung,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1638,1968,3606
 Rural,3817,24924,28741
 Total,5455,26892,32347
NotApp :,302,*,*
AREA # 070303,Padaung,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1989,2479,4468
 Rural,7566,26858,34424
 Total,9555,29337,38892
NotApp :,412,*,*
AREA # 070304,Paunde,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,2618,3863,6481
 Rural,4627,25592,30219
 Total,7245,29455,36700
NotApp :,296,*,*
AREA # 070305,Thegon,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1668,2598,4266
 Rural,6670,25014,31684
 Total,8338,27612,35950
NotApp :,304,*,*
AREA # 070306,Shwedaung,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,2081,2437,4518
 Rural,5106,23940,29046
 Total,7187,26377,33564
NotApp :,368,*,*
AREA # 070401,Tharyarwaddy,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,3936,4228,8164
 Rural,4834,23628,28462
 Total,8770,27856,36626
NotApp :,285,*,*
AREA # 070402,Letpadan,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,2678,3057,5735
 Rural,6646,31103,37749
 Total,9324,34160,43484
NotApp :,336,*,*
AREA # 070403,Minhla,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1254,1448,2702
 Rural,4714,23478,28192
 Total,5968,24926,30894
NotApp :,231,*,*
AREA # 070404,Okpo,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1273,1527,2800
 Rural,5752,23342,29094
 Total,7025,24869,31894
NotApp :,283,*,*
AREA # 070405,Zigon,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1814,2153,3967
 Rural,3389,10854,14243
 Total,5203,13007,18210
NotApp :,160,*,*
AREA # 070406,Nattalin,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,2125,2517,4642
 Rural,7563,33564,41127
 Total,9688,36081,45769
NotApp :,317,*,*
AREA # 070407,Monyo,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,886,1494,2380
 Rural,3719,27188,30907
 Total,4605,28682,33287
NotApp :,232,*,*
AREA # 070408,Gyobingauk,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,2775,2809,5584
 Rural,5898,19104,25002
 Total,8673,21913,30586
NotApp :,233,*,*
AREA # 080101,Magway,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,13532,6338,19870
 Rural,10114,38693,48807
 Total,23646,45031,68677
NotApp :,1053,*,*
AREA # 080102,Yenangyoung,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,5387,5289,10676
 Rural,4127,17697,21824
 Total,9514,22986,32500
NotApp :,490,*,*
AREA # 080103,Chauk,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,5750,4651,10401
 Rural,5615,28602,34217
 Total,11365,33253,44618
NotApp :,539,*,*
AREA # 080104,Taungdwingyi,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,4663,5392,10055
 Rural,8580,41628,50208
 Total,13243,47020,60263
NotApp :,426,*,*
AREA # 080105,Myothit,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,841,905,1746
 Rural,3941,31261,35202
 Total,4782,32166,36948
NotApp :,339,*,*
AREA # 080106,Natmauk,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1464,1710,3174
 Rural,5108,40144,45252
 Total,6572,41854,48426
NotApp :,396,*,*
AREA # 080201,Minbu,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,4645,4545,9190
 Rural,7990,26637,34627
 Total,12635,31182,43817
NotApp :,551,*,*
AREA # 080202,Pwint Phyu,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,848,606,1454
 Rural,8417,29893,38310
 Total,9265,30499,39764
NotApp :,475,*,*
AREA # 080203,Ngape,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,494,485,979
 Rural,3052,8426,11478
 Total,3546,8911,12457
NotApp :,159,*,*
AREA # 080204,Salin,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1444,1342,2786
 Rural,6914,45905,52819
 Total,8358,47247,55605
NotApp :,631,*,*
AREA # 080205,Saytottara,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,710,815,1525
 Rural,425,8830,9255
 Total,1135,9645,10780
NotApp :,279,*,*
AREA # 080301,Thayet,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,2869,1694,4563
 Rural,4305,17104,21409
 Total,7174,18798,25972
NotApp :,302,*,*
AREA # 080302,Minhla,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1890,1091,2981
 Rural,8396,20245,28641
 Total,10286,21336,31622
NotApp :,346,*,*
AREA # 080303,Mindon,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,716,554,1270
 Rural,2153,13386,15539
 Total,2869,13940,16809
NotApp :,207,*,*
AREA # 080304,Kamma,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,512,782,1294
 Rural,1909,15940,17849
 Total,2421,16722,19143
NotApp :,208,*,*
AREA # 080305,Aunglan,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,5703,5922,11625
 Rural,9097,36887,45984
 Total,14800,42809,57609
NotApp :,479,*,*
AREA # 080306,Sinpaungwe`,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,537,744,1281
 Rural,3969,23434,27403
 Total,4506,24178,28684
NotApp :,290,*,*
AREA # 080401,Pakokku,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,10710,8359,19069
 Rural,13987,33284,47271
 Total,24697,41643,66340
NotApp :,723,*,*
AREA # 080402,Yesagyo,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,2256,2643,4899
 Rural,11164,31269,42433
 Total,13420,33912,47332
NotApp :,485,*,*
AREA # 080403,Myaing,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1091,710,1801
 Rural,9043,42797,51840
 Total,10134,43507,53641
NotApp :,502,*,*
AREA # 080404,Pauk,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,869,832,1701
 Rural,3892,33372,37264
 Total,4761,34204,38965
NotApp :,326,*,*
AREA # 080405,Seikphyu,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1202,927,2129
 Rural,3356,17942,21298
 Total,4558,18869,23427
NotApp :,208,*,*
AREA # 080501,Gangaw,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1873,1385,3258
 Rural,7015,19639,26654
 Total,8888,21024,29912
NotApp :,303,*,*
AREA # 080502,Htilin,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,589,534,1123
 Rural,1782,7627,9409
 Total,2371,8161,10532
NotApp :,182,*,*
AREA # 080503,Saw,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,617,644,1261
 Rural,1240,5824,7064
 Total,1857,6468,8325
NotApp :,212,*,*
AREA # 080551,Kyaukhtu(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,681,459,1140
 Rural,1966,4503,6469
 Total,2647,4962,7609
NotApp :,103,*,*
AREA # 090101,Aungmyetharzan,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,37880,11851,49731
 Total,37880,11851,49731
NotApp :,971,*,*
AREA # 090102,Chanayeharzan,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,28208,5073,33281
 Total,28208,5073,33281
NotApp :,1883,*,*
AREA # 090103,Mahaaungmye,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,33694,8233,41927
 Total,33694,8233,41927
NotApp :,754,*,*
AREA # 090104,Chanmyatharzi,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,39645,13402,53047
 Total,39645,13402,53047
NotApp :,901,*,*
AREA # 090105,Pyigyidagun,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,30646,13229,43875
 Total,30646,13229,43875
NotApp :,1032,*,*
AREA # 090106,Amarapura,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,10925,5705,16630
 Rural,18980,14016,32996
 Total,29905,19721,49626
NotApp :,572,*,*
AREA # 090107,Patheingyi,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,2231,471,2702
 Rural,27795,22493,50288
 Total,30026,22964,52990
NotApp :,902,*,*
AREA # 090201,Pyin Oo Lwin,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,23642,8299,31941
 Rural,12185,9256,21441
 Total,35827,17555,53382
NotApp :,962,*,*
AREA # 090202,Madaya,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,2805,2506,5311
 Rural,12529,40805,53334
 Total,15334,43311,58645
NotApp :,508,*,*
AREA # 090203,Sinku,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,987,745,1732
 Rural,7450,25351,32801
 Total,8437,26096,34533
NotApp :,281,*,*
AREA # 090204,Mogok,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,9416,7270,16686
 Rural,5472,13089,18561
 Total,14888,20359,35247
NotApp :,586,*,*
AREA # 090205,Thabeikkyin,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,195,993,1188
 Rural,2378,22183,24561
 Total,2573,23176,25749
NotApp :,297,*,*
AREA # 090251,Tagaung,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,385,1408,1793
 Rural,601,4998,5599
 Total,986,6406,7392
NotApp :,96,*,*
AREA # 090301,Kyaukse,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,5994,2497,8491
 Rural,17035,32239,49274
 Total,23029,34736,57765
NotApp :,526,*,*
AREA # 090302,Singaing,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1163,617,1780
 Rural,13028,18771,31799
 Total,14191,19388,33579
NotApp :,464,*,*
AREA # 090303,Myitthar,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,2685,1661,4346
 Rural,10394,31277,41671
 Total,13079,32938,46017
NotApp :,399,*,*
AREA # 090304,Tada U,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1624,1028,2652
 Rural,8534,21441,29975
 Total,10158,22469,32627
NotApp :,340,*,*
AREA # 090401,Myingyan,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,10246,8651,18897
 Rural,10419,33024,43443
 Total,20665,41675,62340
NotApp :,622,*,*
AREA # 090402,Taungtha,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,2168,1695,3863
 Rural,9475,36514,45989
 Total,11643,38209,49852
NotApp :,425,*,*
AREA # 090403,Natogyi,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1698,1144,2842
 Rural,8889,29234,38123
 Total,10587,30378,40965
NotApp :,349,*,*
AREA # 090404,Kyaukpadaung,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,6317,2696,9013
 Rural,13033,39915,52948
 Total,19350,42611,61961
NotApp :,497,*,*
AREA # 090405,Ngazun,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,818,839,1657
 Rural,4275,21906,26181
 Total,5093,22745,27838
NotApp :,295,*,*
AREA # 090501,Nyaung U,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,6441,3074,9515
 Rural,9422,25725,35147
 Total,15863,28799,44662
NotApp :,603,*,*
AREA # 090551,Ngat,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,438,1001,1439
 Rural,1758,6614,8372
 Total,2196,7615,9811
NotApp :,69,*,*
AREA # 090601,Yame`thin,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,3165,2162,5327
 Rural,9828,42104,51932
 Total,12993,44266,57259
NotApp :,559,*,*
AREA # 090602,Pyawbwe,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,3726,3148,6874
 Rural,11789,40200,51989
 Total,15515,43348,58863
NotApp :,497,*,*
AREA # 090701,Meiktila,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,14856,9107,23963
 Rural,12767,31709,44476
 Total,27623,40816,68439
NotApp :,998,*,*
AREA # 090702,MahlYaing,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1428,1683,3111
 Rural,3706,26510,30216
 Total,5134,28193,33327
NotApp :,382,*,*
AREA # 090703,Thazi,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,3023,1697,4720
 Rural,9519,30653,40172
 Total,12542,32350,44892
NotApp :,484,*,*
AREA # 090704,Wundwin,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,3383,3917,7300
 Rural,9692,36577,46269
 Total,13075,40494,53569
NotApp :,474,*,*
AREA # 100101,Mawlamyine,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,31088,18646,49734
 Rural,3639,4084,7723
 Total,34727,22730,57457
NotApp :,954,*,*
AREA # 100102,Kyaikemaraw,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,992,1184,2176
 Rural,7581,29131,36712
 Total,8573,30315,38888
NotApp :,478,*,*
AREA # 100103,Chaungzon,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,820,924,1744
 Rural,7924,18276,26200
 Total,8744,19200,27944
NotApp :,292,*,*
AREA # 100104,Thanbyuzayat,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,5752,5963,11715
 Rural,6417,18102,24519
 Total,12169,24065,36234
NotApp :,470,*,*
AREA # 100105,Mudon,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,6210,4582,10792
 Rural,10035,18485,28520
 Total,16245,23067,39312
NotApp :,541,*,*
AREA # 100106,Ye,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,3720,2393,6113
 Rural,5715,18163,23878
 Total,9435,20556,29991
NotApp :,508,*,*
AREA # 100151,Lamine,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1176,1791,2967
 Rural,3834,11838,15672
 Total,5010,13629,18639
NotApp :,149,*,*
AREA # 100152,Khawzar,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,125,653,778
 Rural,580,3460,4040
 Total,705,4113,4818
NotApp :,70,*,*
AREA # 100201,Thaton,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,5177,5529,10706
 Rural,9784,27794,37578
 Total,14961,33323,48284
NotApp :,603,*,*
AREA # 100202,Paung,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,2410,3492,5902
 Rural,10628,27196,37824
 Total,13038,30688,43726
NotApp :,460,*,*
AREA # 100203,Kyaikto,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,3730,3786,7516
 Rural,8285,22287,30572
 Total,12015,26073,38088
NotApp :,848,*,*
AREA # 100204,Bilin,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,2134,1910,4044
 Rural,6758,28429,35187
 Total,8892,30339,39231
NotApp :,544,*,*
AREA # 110101,Sittway,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,9905,9001,18906
 Rural,3000,7130,10130
 Total,12905,16131,29036
NotApp :,377,*,*
AREA # 110102,Ponnagyun,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1084,1382,2466
 Rural,1065,21804,22869
 Total,2149,23186,25335
NotApp :,246,*,*
AREA # 110103,Pauktaw,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,814,1656,2470
 Rural,1471,26603,28074
 Total,2285,28259,30544
NotApp :,349,*,*
AREA # 110104,Yethedaung,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,870,640,1510
 Rural,2809,20022,22831
 Total,3679,20662,24341
NotApp :,255,*,*
AREA # 110201,Myauk U,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1902,5372,7274
 Rural,2168,32083,34251
 Total,4070,37455,41525
NotApp :,517,*,*
AREA # 110202,Kyauktaw,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1915,1924,3839
 Rural,3062,29594,32656
 Total,4977,31518,36495
NotApp :,327,*,*
AREA # 110203,Minbya,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1632,2983,4615
 Rural,1639,30374,32013
 Total,3271,33357,36628
NotApp :,359,*,*
AREA # 110204,Myebon,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,807,1811,2618
 Rural,1689,27032,28721
 Total,2496,28843,31339
NotApp :,244,*,*
AREA # 110301,Maungtaw,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1391,923,2314
 Rural,1117,3959,5076
 Total,2508,4882,7390
NotApp :,142,*,*
AREA # 110302,Buthidaung,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1191,871,2062
 Rural,1387,7815,9202
 Total,2578,8686,11264
NotApp :,178,*,*
AREA # 110351,Taungpyoletwe(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,23,135,158
 Rural,6,342,348
 Total,29,477,506
NotApp :,17,*,*
AREA # 110401,Kyaukpyu,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,2718,1536,4254
 Rural,3219,29791,33010
 Total,5937,31327,37264
NotApp :,491,*,*
AREA # 110402,Mannaung,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,705,601,1306
 Rural,1700,11729,13429
 Total,2405,12330,14735
NotApp :,186,*,*
AREA # 110403,Yanbye,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,920,1328,2248
 Rural,1059,19111,20170
 Total,1979,20439,22418
NotApp :,325,*,*
AREA # 110404,An,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1099,779,1878
 Rural,2838,22643,25481
 Total,3937,23422,27359
NotApp :,324,*,*
AREA # 110501,Thandwe,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,2107,1243,3350
 Rural,6598,21127,27725
 Total,8705,22370,31075
NotApp :,580,*,*
AREA # 110502,Toungup,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,3428,2750,6178
 Rural,2340,16721,19061
 Total,5768,19471,25239
NotApp :,343,*,*
AREA # 110503,Gwa,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1076,1412,2488
 Rural,809,7948,8757
 Total,1885,9360,11245
NotApp :,115,*,*
AREA # 110551,Maei(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,98,1117,1215
 Rural,235,8503,8738
 Total,333,9620,9953
NotApp :,96,*,*
AREA # 110552,Kyeintali(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,439,1036,1475
 Rural,502,4104,4606
 Total,941,5140,6081
NotApp :,76,*,*
AREA # 120101,Insein,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,45976,15700,61676
 Total,45976,15700,61676
NotApp :,993,*,*
AREA # 120102,Mingaladon,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,30469,11172,41641
 Rural,14057,10605,24662
 Total,44526,21777,66303
NotApp :,1749,*,*
AREA # 120103,Hmawby,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,3756,2186,5942
 Rural,24104,26423,50527
 Total,27860,28609,56469
NotApp :,902,*,*
AREA # 120104,Hlegu,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,5789,2960,8749
 Rural,21981,27293,49274
 Total,27770,30253,58023
NotApp :,1175,*,*
AREA # 120105,Taikkyi,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,9120,11239,20359
 Rural,10723,35917,46640
 Total,19843,47156,66999
NotApp :,614,*,*
AREA # 120106,Htantabin,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,993,1063,2056
 Rural,11092,21063,32155
 Total,12085,22126,34211
NotApp :,229,*,*
AREA # 120107,Shwepyitha,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,34191,24320,58511
 Rural,7768,7496,15264
 Total,41959,31816,73775
NotApp :,834,*,*
AREA # 120108,Hlinethaya,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,54661,49146,103807
 Rural,16771,28133,44904
 Total,71432,77279,148711
NotApp :,1246,*,*
AREA # 120201,Thingangyun,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,35436,7884,43320
 Total,35436,7884,43320
NotApp :,265,*,*
AREA # 120202,Yankin,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,13270,1367,14637
 Total,13270,1367,14637
NotApp :,149,*,*
AREA # 120203,South Okkalapa,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,27068,5657,32725
 Total,27068,5657,32725
NotApp :,418,*,*
AREA # 120204,North Okkalapa,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,46986,17770,64756
 Total,46986,17770,64756
NotApp :,946,*,*
AREA # 120205,Thakayta,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,35359,10097,45456
 Total,35359,10097,45456
NotApp :,451,*,*
AREA # 120206,Dawbon,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,11236,3173,14409
 Total,11236,3173,14409
NotApp :,154,*,*
AREA # 120207,Tamway,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,33432,1928,35360
 Total,33432,1928,35360
NotApp :,633,*,*
AREA # 120208,Pazuntaung,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,9704,602,10306
 Total,9704,602,10306
NotApp :,215,*,*
AREA # 120209,Botahtaung,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,7823,574,8397
 Total,7823,574,8397
NotApp :,295,*,*
AREA # 120210,Dagon Myothit(South),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,47585,29399,76984
 Total,47585,29399,76984
NotApp :,751,*,*
AREA # 120211,Dagon Myothit(North),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,35386,7318,42704
 Total,35386,7318,42704
NotApp :,126,*,*
AREA # 120212,Dagon Myothit(East),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,22070,9825,31895
 Rural,868,1150,2018
 Total,22938,10975,33913
NotApp :,814,*,*
AREA # 120213,Dagon Myothit(Seik),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,19158,15014,34172
 Rural,1448,2285,3733
 Total,20606,17299,37905
NotApp :,383,*,*
AREA # 120214,Mingala Taungnyunt,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,23591,2327,25918
 Total,23591,2327,25918
NotApp :,325,*,*
AREA # 120301,Thanlyin,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,13197,5512,18709
 Rural,21024,21864,42888
 Total,34221,27376,61597
NotApp :,594,*,*
AREA # 120302,Kyauktan,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,5667,4197,9864
 Rural,9324,13788,23112
 Total,14991,17985,32976
NotApp :,324,*,*
AREA # 120303,Thongwa,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,3101,3655,6756
 Rural,9477,23854,33331
 Total,12578,27509,40087
NotApp :,287,*,*
AREA # 120304,Khayan,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,3433,4445,7878
 Rural,7680,23756,31436
 Total,11113,28201,39314
NotApp :,203,*,*
AREA # 120305,Twantay,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,4220,4977,9197
 Rural,12608,29797,42405
 Total,16828,34774,51602
NotApp :,365,*,*
AREA # 120306,Kawhmu,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1125,1106,2231
 Rural,7847,19714,27561
 Total,8972,20820,29792
NotApp :,220,*,*
AREA # 120307,Kungyangon,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,2019,1939,3958
 Rural,7482,16912,24394
 Total,9501,18851,28352
NotApp :,207,*,*
AREA # 120308,Dala,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,13152,12179,25331
 Rural,5056,7525,12581
 Total,18208,19704,37912
NotApp :,211,*,*
AREA # 120309,Seikkyi/Khanaungto,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,3835,3894,7729
 Total,3835,3894,7729
NotApp :,39,*,*
AREA # 120310,Cocogyun,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,93,258,351
 Total,93,258,351
NotApp :,8,*,*
AREA # 120351,Tada(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,788,1702,2490
 Rural,1611,5392,7003
 Total,2399,7094,9493
NotApp :,57,*,*
AREA # 120401,Kyauktada,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,5807,313,6120
 Total,5807,313,6120
NotApp :,412,*,*
AREA # 120402,Pabedan,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,6201,362,6563
 Total,6201,362,6563
NotApp :,145,*,*
AREA # 120403,Lanmadaw,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,8166,433,8599
 Total,8166,433,8599
NotApp :,607,*,*
AREA # 120404,Latha,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,4143,330,4473
 Total,4143,330,4473
NotApp :,510,*,*
AREA # 120405,Ahlon,*,*
Urban/Rural,Mobile phone,*,*
