Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total
AREA # 010404,Khaunglanphoo,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,3,67,70
 Rural,9,1632,1641
 Total,12,1699,1711
NotApp :,2,*,*
AREA # 010405,Naungmoon,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,40,320,360
 Rural,9,574,583
 Total,49,894,943
NotApp :,4,*,*
AREA # 010451,Pannandin(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1,23,24
 Rural,2,243,245
 Total,3,266,269
NotApp :,1,*,*
AREA # 020101,Loikaw,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,7515,2907,10422
 Rural,5131,10942,16073
 Total,12646,13849,26495
NotApp :,304,*,*
AREA # 020102,Dimawso,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,450,687,1137
 Rural,2423,11787,14210
 Total,2873,12474,15347
NotApp :,105,*,*
AREA # 020103,Phruso,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,217,636,853
 Rural,133,4924,5057
 Total,350,5560,5910
NotApp :,78,*,*
AREA # 020104,Shardaw,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,3,333,336
 Rural,7,1063,1070
 Total,10,1396,1406
NotApp :,28,*,*
AREA # 020201,Bawlakhe,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,12,827,839
 Rural,15,735,750
 Total,27,1562,1589
NotApp :,81,*,*
AREA # 020202,Parsaung,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,47,547,594
 Rural,80,4059,4139
 Total,127,4606,4733
NotApp :,302,*,*
AREA # 020203,Meisi,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,-,195,195
 Rural,11,1096,1107
 Total,11,1291,1302
NotApp :,55,*,*
AREA # 020251,Ywathit(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,-,292,292
 Rural,1,199,200
 Total,1,491,492
NotApp :,30,*,*
AREA # 030101,Hpa-an,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,9573,5195,14768
 Rural,17436,56993,74429
 Total,27009,62188,89197
NotApp :,1176,*,*
AREA # 030102,Hlaingbwe,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1071,1208,2279
 Rural,2842,26465,29307
 Total,3913,27673,31586
NotApp :,379,*,*
AREA # 030103,Thandaunggyi,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1612,1450,3062
 Rural,381,2366,2747
 Total,1993,3816,5809
NotApp :,36,*,*
AREA # 030151,Paingkyon(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,75,732,807
 Rural,673,16298,16971
 Total,748,17030,17778
NotApp :,210,*,*
AREA # 030152,Shan Ywathit(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,4,79,83
 Rural,277,3396,3673
 Total,281,3475,3756
NotApp :,29,*,*
AREA # 030153,Leiktho(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,154,453,607
 Rural,645,8674,9319
 Total,799,9127,9926
NotApp :,73,*,*
AREA # 030154,Bawgali(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,241,195,436
 Rural,550,2419,2969
 Total,791,2614,3405
NotApp :,7,*,*
AREA # 030201,Pharpon,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,177,456,633
 Rural,125,1786,1911
 Total,302,2242,2544
NotApp :,108,*,*
AREA # 030251,Kamamaung(ST},*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1061,1688,2749
 Rural,119,1090,1209
 Total,1180,2778,3958
NotApp :,52,*,*
AREA # 030301,Myawady,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,13601,10415,24016
 Rural,7478,9764,17242
 Total,21079,20179,41258
NotApp :,937,*,*
AREA # 030351,Sugali(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,29,46,75
 Rural,399,587,986
 Total,428,633,1061
NotApp :,24,*,*
AREA # 030352,Wawlaymyaing(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,430,147,577
 Rural,456,664,1120
 Total,886,811,1697
NotApp :,44,*,*
AREA # 030401,Kawkareik,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,3786,4696,8482
 Rural,5246,31770,37016
 Total,9032,36466,45498
NotApp :,393,*,*
AREA # 030402,Kyarinseikkyi,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1061,756,1817
 Rural,2205,18018,20223
 Total,3266,18774,22040
NotApp :,270,*,*
AREA # 030451,Payarthonezu(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,4821,1275,6096
 Rural,1417,10282,11699
 Total,6238,11557,17795
NotApp :,271,*,*
AREA # 030452,Kyaidon(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,72,608,680
 Rural,70,9983,10053
 Total,142,10591,10733
NotApp :,114,*,*
AREA # 040101,HaKa,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,4076,1145,5221
 Rural,813,3883,4696
 Total,4889,5028,9917
NotApp :,107,*,*
AREA # 040102,Thantlang,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,377,1130,1507
 Rural,579,7696,8275
 Total,956,8826,9782
NotApp :,38,*,*
AREA # 040201,Falam,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1630,372,2002
 Rural,1507,4919,6426
 Total,3137,5291,8428
NotApp :,60,*,*
AREA # 040202,Tedim,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1187,1063,2250
 Rural,1739,10694,12433
 Total,2926,11757,14683
NotApp :,65,*,*
AREA # 040203,Tonzaung,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,188,452,640
 Rural,164,2607,2771
 Total,352,3059,3411
NotApp :,37,*,*
AREA # 040251,Rihkhuadal(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,184,486,670
 Rural,226,302,528
 Total,410,788,1198
NotApp :,12,*,*
AREA # 040252,Cikha(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,3,212,215
 Rural,16,1299,1315
 Total,19,1511,1530
NotApp :,6,*,*
AREA # 040301,Mindat,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1399,944,2343
 Rural,685,5494,6179
 Total,2084,6438,8522
NotApp :,95,*,*
AREA # 040302,Matupi,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,51,1619,1670
 Rural,86,5880,5966
 Total,137,7499,7636
NotApp :,43,*,*
AREA # 040303,Kanpalet,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,219,588,807
 Rural,87,3083,3170
 Total,306,3671,3977
NotApp :,66,*,*
AREA # 040304,Paletwat,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,217,1133,1350
 Rural,43,11900,11943
 Total,260,13033,13293
NotApp :,86,*,*
AREA # 040351,Reazu(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,2,460,462
 Rural,63,1996,2059
 Total,65,2456,2521
NotApp :,14,*,*
AREA # 040352,Sami(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,3,630,633
 Rural,23,5567,5590
 Total,26,6197,6223
NotApp :,100,*,*
AREA # 050101,Sagaing,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,10613,5883,16496
 Rural,15611,33036,48647
 Total,26224,38919,65143
NotApp :,1842,*,*
AREA # 050102,Myinmu,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1858,1773,3631
 Rural,3797,17876,21673
 Total,5655,19649,25304
NotApp :,264,*,*
AREA # 050103,Myaung,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,562,1391,1953
 Rural,2716,19593,22309
 Total,3278,20984,24262
NotApp :,350,*,*
AREA # 050201,Shwebo,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,7625,5906,13531
 Rural,7690,29026,36716
 Total,15315,34932,50247
NotApp :,467,*,*
AREA # 050202,Khin U,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1189,1102,2291
 Rural,3500,26833,30333
 Total,4689,27935,32624
NotApp :,271,*,*
AREA # 050203,Wetlet,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1034,1272,2306
 Rural,6426,37980,44406
 Total,7460,39252,46712
NotApp :,437,*,*
AREA # 050204,Kambalu,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,2388,2795,5183
 Rural,6385,49758,56143
 Total,8773,52553,61326
NotApp :,537,*,*
AREA # 050205,Kyunhlau,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1412,1087,2499
 Rural,1964,16400,18364
 Total,3376,17487,20863
NotApp :,224,*,*
AREA # 050206,Ye U,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,2137,1828,3965
 Rural,3910,18498,22408
 Total,6047,20326,26373
NotApp :,308,*,*
AREA # 050207,Depayin,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,437,518,955
 Rural,3885,25505,29390
 Total,4322,26023,30345
NotApp :,367,*,*
AREA # 050208,Tasei,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1559,1413,2972
 Rural,4000,28965,32965
 Total,5559,30378,35937
NotApp :,328,*,*
AREA # 050251,Kyaukmyaung(ST),*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,713,1593,2306
 Rural,818,3926,4744
 Total,1531,5519,7050
NotApp :,65,*,*
AREA # 050301,Monywa,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,25401,15005,40406
 Rural,13177,22379,35556
 Total,38578,37384,75962
NotApp :,1167,*,*
AREA # 050302,Butalin,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,635,558,1193
 Rural,3438,23985,27423
 Total,4073,24543,28616
NotApp :,389,*,*
AREA # 050303,Ayartaw,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,979,1176,2155
 Rural,3820,29616,33436
 Total,4799,30792,35591
NotApp :,378,*,*
AREA # 050304,Chaung Oo,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,2011,3070,5081
 Rural,4794,13501,18295
 Total,6805,16571,23376
NotApp :,254,*,*
AREA # 050401,Katha,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,3118,2145,5263
 Rural,4816,21882,26698
 Total,7934,24027,31961
NotApp :,447,*,*
AREA # 050402,Indaw,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1182,660,1842
 Rural,4012,17376,21388
 Total,5194,18036,23230
NotApp :,320,*,*
AREA # 050403,Tigyaing,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1354,1716,3070
 Rural,3862,19457,23319
 Total,5216,21173,26389
NotApp :,279,*,*
AREA # 050404,Banmauk,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,302,910,1212
 Rural,443,17213,17656
 Total,745,18123,18868
NotApp :,678,*,*
AREA # 050405,Kawlin,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,2777,1792,4569
 Rural,3452,23382,26834
 Total,6229,25174,31403
NotApp :,408,*,*
AREA # 050406,Wuntho,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1385,1205,2590
 Rural,1959,9656,11615
 Total,3344,10861,14205
NotApp :,321,*,*
AREA # 050407,Pinlebu,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,768,701,1469
 Rural,712,19719,20431
 Total,1480,20420,21900
NotApp :,382,*,*
AREA # 050501,Kalay,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,15432,10289,25721
 Rural,11470,35578,47048
 Total,26902,45867,72769
NotApp :,551,*,*
AREA # 050502,Kalewa,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,1108,845,1953
 Rural,757,9025,9782
 Total,1865,9870,11735
NotApp :,183,*,*
AREA # 050503,Mingin,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,105,731,836
 Rural,249,20973,21222
 Total,354,21704,22058
NotApp :,359,*,*
AREA # 050601,Tamu,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,4885,4104,8989
 Rural,632,2365,2997
 Total,5517,6469,11986
NotApp :,97,*,*
AREA # 050651,Myothit(ST),*,*
Urban/Rural,Mobile phone,*,*
