Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,244,117,361
 Rural,303,129,432
 Total,547,246,793
NotApp :,11,*,*
AREA # 010352,Lwe`ge`(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,929,296,1225
 Rural,233,45,278
 Total,1162,341,1503
NotApp :,24,*,*
AREA # 010353,Dotphoneyan(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,207,104,311
 Rural,1185,737,1922
 Total,1392,841,2233
NotApp :,65,*,*
AREA # 010401,Putao,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1537,1274,2811
 Rural,2598,5334,7932
 Total,4135,6608,10743
NotApp :,94,*,*
AREA # 010402,Sumprabum,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,92,80,172
 Rural,123,184,307
 Total,215,264,479
NotApp :,18,*,*
AREA # 010403,Machanbaw,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,178,230,408
 Rural,327,984,1311
 Total,505,1214,1719
NotApp :,31,*,*
AREA # 010404,Khaunglanphoo,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,-,70,70
 Rural,12,1629,1641
 Total,12,1699,1711
NotApp :,2,*,*
AREA # 010405,Naungmoon,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,112,248,360
 Rural,105,478,583
 Total,217,726,943
NotApp :,4,*,*
AREA # 010451,Pannandin(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,4,20,24
 Rural,1,244,245
 Total,5,264,269
NotApp :,1,*,*
AREA # 020101,Loikaw,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,8165,2257,10422
 Rural,9891,6182,16073
 Total,18056,8439,26495
NotApp :,304,*,*
AREA # 020102,Dimawso,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,864,273,1137
 Rural,9284,4926,14210
 Total,10148,5199,15347
NotApp :,105,*,*
AREA # 020103,Phruso,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,531,322,853
 Rural,1543,3514,5057
 Total,2074,3836,5910
NotApp :,78,*,*
AREA # 020104,Shardaw,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,137,199,336
 Rural,163,907,1070
 Total,300,1106,1406
NotApp :,28,*,*
AREA # 020201,Bawlakhe,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,507,332,839
 Rural,373,377,750
 Total,880,709,1589
NotApp :,81,*,*
AREA # 020202,Parsaung,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,375,219,594
 Rural,1627,2512,4139
 Total,2002,2731,4733
NotApp :,302,*,*
AREA # 020203,Meisi,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,117,78,195
 Rural,604,503,1107
 Total,721,581,1302
NotApp :,55,*,*
AREA # 020251,Ywathit(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,170,122,292
 Rural,72,128,200
 Total,242,250,492
NotApp :,30,*,*
AREA # 030101,Hpa-an,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,8372,6396,14768
 Rural,31010,43419,74429
 Total,39382,49815,89197
NotApp :,1176,*,*
AREA # 030102,Hlaingbwe,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,958,1321,2279
 Rural,10952,18355,29307
 Total,11910,19676,31586
NotApp :,379,*,*
AREA # 030103,Thandaunggyi,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1519,1543,3062
 Rural,1030,1717,2747
 Total,2549,3260,5809
NotApp :,36,*,*
AREA # 030151,Paingkyon(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,413,394,807
 Rural,5550,11421,16971
 Total,5963,11815,17778
NotApp :,210,*,*
AREA # 030152,Shan Ywathit(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,28,55,83
 Rural,565,3108,3673
 Total,593,3163,3756
NotApp :,29,*,*
AREA # 030153,Leiktho(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,293,314,607
 Rural,3126,6193,9319
 Total,3419,6507,9926
NotApp :,73,*,*
AREA # 030154,Bawgali(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,234,202,436
 Rural,1184,1785,2969
 Total,1418,1987,3405
NotApp :,7,*,*
AREA # 030201,Pharpon,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,251,382,633
 Rural,340,1571,1911
 Total,591,1953,2544
NotApp :,108,*,*
AREA # 030251,Kamamaung(ST},*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,905,1844,2749
 Rural,281,928,1209
 Total,1186,2772,3958
NotApp :,52,*,*
AREA # 030301,Myawady,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,10548,13468,24016
 Rural,6011,11231,17242
 Total,16559,24699,41258
NotApp :,937,*,*
AREA # 030351,Sugali(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,24,51,75
 Rural,134,852,986
 Total,158,903,1061
NotApp :,24,*,*
AREA # 030352,Wawlaymyaing(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,124,453,577
 Rural,293,827,1120
 Total,417,1280,1697
NotApp :,44,*,*
AREA # 030401,Kawkareik,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,4013,4469,8482
 Rural,17201,19815,37016
 Total,21214,24284,45498
NotApp :,393,*,*
AREA # 030402,Kyarinseikkyi,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,963,854,1817
 Rural,11499,8724,20223
 Total,12462,9578,22040
NotApp :,270,*,*
AREA # 030451,Payarthonezu(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,3173,2923,6096
 Rural,4343,7356,11699
 Total,7516,10279,17795
NotApp :,271,*,*
AREA # 030452,Kyaidon(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,327,353,680
 Rural,2276,7777,10053
 Total,2603,8130,10733
NotApp :,114,*,*
AREA # 040101,HaKa,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,2901,2320,5221
 Rural,1558,3138,4696
 Total,4459,5458,9917
NotApp :,107,*,*
AREA # 040102,Thantlang,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,723,784,1507
 Rural,2125,6150,8275
 Total,2848,6934,9782
NotApp :,38,*,*
AREA # 040201,Falam,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1227,775,2002
 Rural,2934,3492,6426
 Total,4161,4267,8428
NotApp :,60,*,*
AREA # 040202,Tedim,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1232,1018,2250
 Rural,4074,8359,12433
 Total,5306,9377,14683
NotApp :,65,*,*
AREA # 040203,Tonzaung,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,325,315,640
 Rural,750,2021,2771
 Total,1075,2336,3411
NotApp :,37,*,*
AREA # 040251,Rihkhuadal(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,435,235,670
 Rural,299,229,528
 Total,734,464,1198
NotApp :,12,*,*
AREA # 040252,Cikha(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,98,117,215
 Rural,311,1004,1315
 Total,409,1121,1530
NotApp :,6,*,*
AREA # 040301,Mindat,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1020,1323,2343
 Rural,1364,4815,6179
 Total,2384,6138,8522
NotApp :,95,*,*
AREA # 040302,Matupi,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,825,845,1670
 Rural,1438,4528,5966
 Total,2263,5373,7636
NotApp :,43,*,*
AREA # 040303,Kanpalet,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,369,438,807
 Rural,663,2507,3170
 Total,1032,2945,3977
NotApp :,66,*,*
AREA # 040304,Paletwat,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,61,1289,1350
 Rural,25,11918,11943
 Total,86,13207,13293
NotApp :,86,*,*
AREA # 040351,Reazu(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,187,275,462
 Rural,580,1479,2059
 Total,767,1754,2521
NotApp :,14,*,*
AREA # 040352,Sami(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,9,624,633
 Rural,60,5530,5590
 Total,69,6154,6223
NotApp :,100,*,*
AREA # 050101,Sagaing,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,12061,4435,16496
 Rural,26878,21769,48647
 Total,38939,26204,65143
NotApp :,1842,*,*
AREA # 050102,Myinmu,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,2172,1459,3631
 Rural,10891,10782,21673
 Total,13063,12241,25304
NotApp :,264,*,*
AREA # 050103,Myaung,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1062,891,1953
 Rural,9991,12318,22309
 Total,11053,13209,24262
NotApp :,350,*,*
AREA # 050201,Shwebo,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,9484,4047,13531
 Rural,20891,15825,36716
 Total,30375,19872,50247
NotApp :,467,*,*
AREA # 050202,Khin U,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1582,709,2291
 Rural,14726,15607,30333
 Total,16308,16316,32624
NotApp :,271,*,*
AREA # 050203,Wetlet,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1480,826,2306
 Rural,21430,22976,44406
 Total,22910,23802,46712
NotApp :,437,*,*
AREA # 050204,Kambalu,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,3546,1637,5183
 Rural,27483,28660,56143
 Total,31029,30297,61326
NotApp :,537,*,*
AREA # 050205,Kyunhlau,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1913,586,2499
 Rural,10984,7380,18364
 Total,12897,7966,20863
NotApp :,224,*,*
AREA # 050206,Ye U,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,2866,1099,3965
 Rural,13806,8602,22408
 Total,16672,9701,26373
NotApp :,308,*,*
AREA # 050207,Depayin,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,616,339,955
 Rural,16115,13275,29390
 Total,16731,13614,30345
NotApp :,367,*,*
AREA # 050208,Tasei,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,2366,606,2972
 Rural,19826,13139,32965
 Total,22192,13745,35937
NotApp :,328,*,*
AREA # 050251,Kyaukmyaung(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1070,1236,2306
 Rural,1987,2757,4744
 Total,3057,3993,7050
NotApp :,65,*,*
AREA # 050301,Monywa,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,31334,9072,40406
 Rural,24298,11258,35556
 Total,55632,20330,75962
NotApp :,1167,*,*
AREA # 050302,Butalin,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,795,398,1193
 Rural,13746,13677,27423
 Total,14541,14075,28616
NotApp :,389,*,*
AREA # 050303,Ayartaw,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1438,717,2155
 Rural,20214,13222,33436
 Total,21652,13939,35591
NotApp :,378,*,*
AREA # 050304,Chaung Oo,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,3380,1701,5081
 Rural,11197,7098,18295
 Total,14577,8799,23376
NotApp :,254,*,*
AREA # 050401,Katha,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,3929,1334,5263
 Rural,16197,10501,26698
 Total,20126,11835,31961
NotApp :,447,*,*
AREA # 050402,Indaw,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1305,537,1842
 Rural,14333,7055,21388
 Total,15638,7592,23230
NotApp :,320,*,*
AREA # 050403,Tigyaing,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1809,1261,3070
 Rural,13999,9320,23319
 Total,15808,10581,26389
NotApp :,279,*,*
AREA # 050404,Banmauk,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,921,291,1212
 Rural,11096,6560,17656
 Total,12017,6851,18868
NotApp :,678,*,*
AREA # 050405,Kawlin,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,3492,1077,4569
 Rural,18522,8312,26834
 Total,22014,9389,31403
NotApp :,408,*,*
AREA # 050406,Wuntho,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1789,801,2590
 Rural,7985,3630,11615
 Total,9774,4431,14205
NotApp :,321,*,*
AREA # 050407,Pinlebu,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1041,428,1469
 Rural,10634,9797,20431
 Total,11675,10225,21900
NotApp :,382,*,*
AREA # 050501,Kalay,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,18740,6981,25721
 Rural,23916,23132,47048
 Total,42656,30113,72769
NotApp :,551,*,*
AREA # 050502,Kalewa,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1096,857,1953
 Rural,3284,6498,9782
 Total,4380,7355,11735
NotApp :,183,*,*
AREA # 050503,Mingin,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,384,452,836
 Rural,7050,14172,21222
 Total,7434,14624,22058
NotApp :,359,*,*
AREA # 050601,Tamu,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,6166,2823,8989
 Rural,1589,1408,2997
 Total,7755,4231,11986
NotApp :,97,*,*
AREA # 050651,Myothit(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,138,170,308
 Rural,1173,1616,2789
 Total,1311,1786,3097
NotApp :,38,*,*
AREA # 050652,Khampat(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1335,1503,2838
 Rural,2212,2458,4670
 Total,3547,3961,7508
NotApp :,25,*,*
AREA # 050701,Mawlaik,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,975,849,1824
 Rural,2985,5536,8521
 Total,3960,6385,10345
NotApp :,173,*,*
AREA # 050702,Phaungpyin,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1171,771,1942
 Rural,7375,10929,18304
 Total,8546,11700,20246
NotApp :,277,*,*
AREA # 050801,Hkamti,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1228,955,2183
 Rural,1222,3956,5178
 Total,2450,4911,7361
NotApp :,521,*,*
AREA # 050802,Homalin,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,2372,1203,3575
 Rural,17010,15158,32168
 Total,19382,16361,35743
NotApp :,1266,*,*
AREA # 050803,Leshi,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,87,166,253
 Rural,188,1215,1403
 Total,275,1381,1656
NotApp :,53,*,*
AREA # 050804,Lahe,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,238,300,538
 Rural,340,6099,6439
 Total,578,6399,6977
NotApp :,37,*,*
AREA # 050805,Nanyun,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,152,223,375
 Rural,40,1153,1193
 Total,192,1376,1568
NotApp :,17,*,*
AREA # 050851,Mobaingluk(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
