Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total
 Rural,9978,27035,37013
 Total,13058,32695,45753
NotApp :,339,*,*
AREA # 070108,Shwegyin,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,2720,2145,4865
 Rural,5478,11439,16917
 Total,8198,13584,21782
NotApp :,240,*,*
AREA # 070201,Toungoo,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,12440,9460,21900
 Rural,14322,21238,35560
 Total,26762,30698,57460
NotApp :,871,*,*
AREA # 070202,Yaedashe,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,2697,3258,5955
 Rural,14932,29640,44572
 Total,17629,32898,50527
NotApp :,460,*,*
AREA # 070203,Kyaukkyi,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,936,1322,2258
 Rural,6798,13827,20625
 Total,7734,15149,22883
NotApp :,203,*,*
AREA # 070204,Pyu,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,5356,8471,13827
 Rural,13174,27930,41104
 Total,18530,36401,54931
NotApp :,386,*,*
AREA # 070205,Oatwin,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1195,2014,3209
 Rural,11676,21985,33661
 Total,12871,23999,36870
NotApp :,276,*,*
AREA # 070206,Htantapin,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1092,1284,2376
 Rural,8410,15995,24405
 Total,9502,17279,26781
NotApp :,169,*,*
AREA # 070301,Pyay,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,14741,14074,28815
 Rural,11890,17852,29742
 Total,26631,31926,58557
NotApp :,1014,*,*
AREA # 070302,Paukkhaung,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1739,1867,3606
 Rural,8715,20026,28741
 Total,10454,21893,32347
NotApp :,302,*,*
AREA # 070303,Padaung,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,2065,2403,4468
 Rural,12664,21760,34424
 Total,14729,24163,38892
NotApp :,412,*,*
AREA # 070304,Paunde,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,2468,4013,6481
 Rural,10224,19995,30219
 Total,12692,24008,36700
NotApp :,296,*,*
AREA # 070305,Thegon,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1683,2583,4266
 Rural,12267,19417,31684
 Total,13950,22000,35950
NotApp :,304,*,*
AREA # 070306,Shwedaung,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1988,2530,4518
 Rural,9403,19643,29046
 Total,11391,22173,33564
NotApp :,368,*,*
AREA # 070401,Tharyarwaddy,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,2897,5267,8164
 Rural,7492,20970,28462
 Total,10389,26237,36626
NotApp :,285,*,*
AREA # 070402,Letpadan,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,2061,3674,5735
 Rural,9137,28612,37749
 Total,11198,32286,43484
NotApp :,336,*,*
AREA # 070403,Minhla,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1143,1559,2702
 Rural,9131,19061,28192
 Total,10274,20620,30894
NotApp :,231,*,*
AREA # 070404,Okpo,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1012,1788,2800
 Rural,9332,19762,29094
 Total,10344,21550,31894
NotApp :,283,*,*
AREA # 070405,Zigon,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1576,2391,3967
 Rural,5278,8965,14243
 Total,6854,11356,18210
NotApp :,160,*,*
AREA # 070406,Nattalin,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,2056,2586,4642
 Rural,15960,25167,41127
 Total,18016,27753,45769
NotApp :,317,*,*
AREA # 070407,Monyo,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,825,1555,2380
 Rural,7685,23222,30907
 Total,8510,24777,33287
NotApp :,232,*,*
AREA # 070408,Gyobingauk,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,2388,3196,5584
 Rural,9240,15762,25002
 Total,11628,18958,30586
NotApp :,233,*,*
AREA # 080101,Magway,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,14073,5797,19870
 Rural,15435,33372,48807
 Total,29508,39169,68677
NotApp :,1053,*,*
AREA # 080102,Yenangyoung,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,4053,6623,10676
 Rural,5454,16370,21824
 Total,9507,22993,32500
NotApp :,490,*,*
AREA # 080103,Chauk,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,4953,5448,10401
 Rural,10860,23357,34217
 Total,15813,28805,44618
NotApp :,539,*,*
AREA # 080104,Taungdwingyi,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,4588,5467,10055
 Rural,13658,36550,50208
 Total,18246,42017,60263
NotApp :,426,*,*
AREA # 080105,Myothit,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,791,955,1746
 Rural,7488,27714,35202
 Total,8279,28669,36948
NotApp :,339,*,*
AREA # 080106,Natmauk,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1546,1628,3174
 Rural,11669,33583,45252
 Total,13215,35211,48426
NotApp :,396,*,*
AREA # 080201,Minbu,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,5110,4080,9190
 Rural,14815,19812,34627
 Total,19925,23892,43817
NotApp :,551,*,*
AREA # 080202,Pwint Phyu,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,850,604,1454
 Rural,15182,23128,38310
 Total,16032,23732,39764
NotApp :,475,*,*
AREA # 080203,Ngape,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,582,397,979
 Rural,5477,6001,11478
 Total,6059,6398,12457
NotApp :,159,*,*
AREA # 080204,Salin,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1552,1234,2786
 Rural,17582,35237,52819
 Total,19134,36471,55605
NotApp :,631,*,*
AREA # 080205,Saytottara,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,686,839,1525
 Rural,1895,7360,9255
 Total,2581,8199,10780
NotApp :,279,*,*
AREA # 080301,Thayet,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,2398,2165,4563
 Rural,6349,15060,21409
 Total,8747,17225,25972
NotApp :,302,*,*
AREA # 080302,Minhla,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1775,1206,2981
 Rural,14128,14513,28641
 Total,15903,15719,31622
NotApp :,346,*,*
AREA # 080303,Mindon,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,673,597,1270
 Rural,4912,10627,15539
 Total,5585,11224,16809
NotApp :,207,*,*
AREA # 080304,Kamma,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,547,747,1294
 Rural,5707,12142,17849
 Total,6254,12889,19143
NotApp :,208,*,*
AREA # 080305,Aunglan,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,5184,6441,11625
 Rural,11763,34221,45984
 Total,16947,40662,57609
NotApp :,479,*,*
AREA # 080306,Sinpaungwe`,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,398,883,1281
 Rural,6308,21095,27403
 Total,6706,21978,28684
NotApp :,290,*,*
AREA # 080401,Pakokku,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,12450,6619,19069
 Rural,22397,24874,47271
 Total,34847,31493,66340
NotApp :,723,*,*
AREA # 080402,Yesagyo,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,2662,2237,4899
 Rural,20440,21993,42433
 Total,23102,24230,47332
NotApp :,485,*,*
AREA # 080403,Myaing,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1373,428,1801
 Rural,28163,23677,51840
 Total,29536,24105,53641
NotApp :,502,*,*
AREA # 080404,Pauk,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1019,682,1701
 Rural,14655,22609,37264
 Total,15674,23291,38965
NotApp :,326,*,*
AREA # 080405,Seikphyu,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1113,1016,2129
 Rural,6823,14475,21298
 Total,7936,15491,23427
NotApp :,208,*,*
AREA # 080501,Gangaw,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,2199,1059,3258
 Rural,13781,12873,26654
 Total,15980,13932,29912
NotApp :,303,*,*
AREA # 080502,Htilin,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,540,583,1123
 Rural,4221,5188,9409
 Total,4761,5771,10532
NotApp :,182,*,*
AREA # 080503,Saw,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,468,793,1261
 Rural,2631,4433,7064
 Total,3099,5226,8325
NotApp :,212,*,*
AREA # 080551,Kyaukhtu(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,580,560,1140
 Rural,3004,3465,6469
 Total,3584,4025,7609
NotApp :,103,*,*
AREA # 090101,Aungmyetharzan,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,38404,11327,49731
 Total,38404,11327,49731
NotApp :,971,*,*
AREA # 090102,Chanayeharzan,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,26954,6327,33281
 Total,26954,6327,33281
NotApp :,1883,*,*
AREA # 090103,Mahaaungmye,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,33346,8581,41927
 Total,33346,8581,41927
NotApp :,754,*,*
AREA # 090104,Chanmyatharzi,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,41942,11105,53047
 Total,41942,11105,53047
NotApp :,901,*,*
AREA # 090105,Pyigyidagun,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,33243,10632,43875
 Total,33243,10632,43875
NotApp :,1032,*,*
AREA # 090106,Amarapura,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,11261,5369,16630
 Rural,22684,10312,32996
 Total,33945,15681,49626
NotApp :,572,*,*
AREA # 090107,Patheingyi,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,2148,554,2702
 Rural,34174,16114,50288
 Total,36322,16668,52990
NotApp :,902,*,*
AREA # 090201,Pyin Oo Lwin,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,24588,7353,31941
 Rural,15653,5788,21441
 Total,40241,13141,53382
NotApp :,962,*,*
AREA # 090202,Madaya,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,3252,2059,5311
 Rural,25447,27887,53334
 Total,28699,29946,58645
NotApp :,508,*,*
AREA # 090203,Sinku,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,993,739,1732
 Rural,15472,17329,32801
 Total,16465,18068,34533
NotApp :,281,*,*
AREA # 090204,Mogok,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,11802,4884,16686
 Rural,12532,6029,18561
 Total,24334,10913,35247
NotApp :,586,*,*
AREA # 090205,Thabeikkyin,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,417,771,1188
 Rural,12187,12374,24561
 Total,12604,13145,25749
NotApp :,297,*,*
AREA # 090251,Tagaung,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,938,855,1793
 Rural,3088,2511,5599
 Total,4026,3366,7392
NotApp :,96,*,*
AREA # 090301,Kyaukse,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,6059,2432,8491
 Rural,27551,21723,49274
 Total,33610,24155,57765
NotApp :,526,*,*
AREA # 090302,Singaing,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1334,446,1780
 Rural,21237,10562,31799
 Total,22571,11008,33579
NotApp :,464,*,*
AREA # 090303,Myitthar,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,2754,1592,4346
 Rural,21097,20574,41671
 Total,23851,22166,46017
NotApp :,399,*,*
AREA # 090304,Tada U,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1910,742,2652
 Rural,18175,11800,29975
 Total,20085,12542,32627
NotApp :,340,*,*
AREA # 090401,Myingyan,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,11188,7709,18897
 Rural,23027,20416,43443
 Total,34215,28125,62340
NotApp :,622,*,*
AREA # 090402,Taungtha,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,2354,1509,3863
 Rural,19426,26563,45989
 Total,21780,28072,49852
NotApp :,425,*,*
AREA # 090403,Natogyi,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1874,968,2842
 Rural,20524,17599,38123
 Total,22398,18567,40965
NotApp :,349,*,*
AREA # 090404,Kyaukpadaung,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,6283,2730,9013
 Rural,18675,34273,52948
 Total,24958,37003,61961
NotApp :,497,*,*
AREA # 090405,Ngazun,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,955,702,1657
 Rural,14266,11915,26181
 Total,15221,12617,27838
NotApp :,295,*,*
AREA # 090501,Nyaung U,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,6952,2563,9515
 Rural,13832,21315,35147
 Total,20784,23878,44662
NotApp :,603,*,*
AREA # 090551,Ngat,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,591,848,1439
 Rural,3011,5361,8372
 Total,3602,6209,9811
NotApp :,69,*,*
AREA # 090601,Yame`thin,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,3044,2283,5327
 Rural,21939,29993,51932
 Total,24983,32276,57259
NotApp :,559,*,*
AREA # 090602,Pyawbwe,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,3634,3240,6874
 Rural,21376,30613,51989
 Total,25010,33853,58863
NotApp :,497,*,*
AREA # 090701,Meiktila,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,14805,9158,23963
 Rural,21350,23126,44476
 Total,36155,32284,68439
NotApp :,998,*,*
AREA # 090702,MahlYaing,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1767,1344,3111
 Rural,16203,14013,30216
 Total,17970,15357,33327
NotApp :,382,*,*
AREA # 090703,Thazi,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,2611,2109,4720
 Rural,19781,20391,40172
 Total,22392,22500,44892
NotApp :,484,*,*
AREA # 090704,Wundwin,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,4333,2967,7300
 Rural,25086,21183,46269
 Total,29419,24150,53569
NotApp :,474,*,*
AREA # 100101,Mawlamyine,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,24322,25412,49734
 Rural,3075,4648,7723
 Total,27397,30060,57457
NotApp :,954,*,*
AREA # 100102,Kyaikemaraw,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,904,1272,2176
 Rural,16141,20571,36712
 Total,17045,21843,38888
NotApp :,478,*,*
AREA # 100103,Chaungzon,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,762,982,1744
 Rural,10166,16034,26200
 Total,10928,17016,27944
NotApp :,292,*,*
AREA # 100104,Thanbyuzayat,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,6061,5654,11715
 Rural,13848,10671,24519
 Total,19909,16325,36234
NotApp :,470,*,*
AREA # 100105,Mudon,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,6140,4652,10792
 Rural,17045,11475,28520
 Total,23185,16127,39312
NotApp :,541,*,*
AREA # 100106,Ye,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,3744,2369,6113
 Rural,11438,12440,23878
 Total,15182,14809,29991
NotApp :,508,*,*
AREA # 100151,Lamine,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1823,1144,2967
 Rural,8336,7336,15672
 Total,10159,8480,18639
NotApp :,149,*,*
AREA # 100152,Khawzar,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,455,323,778
 Rural,2185,1855,4040
 Total,2640,2178,4818
NotApp :,70,*,*
AREA # 100201,Thaton,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,3829,6877,10706
 Rural,10573,27005,37578
 Total,14402,33882,48284
NotApp :,603,*,*
AREA # 100202,Paung,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1933,3969,5902
 Rural,10778,27046,37824
 Total,12711,31015,43726
NotApp :,460,*,*
AREA # 100203,Kyaikto,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,3172,4344,7516
 Rural,9865,20707,30572
 Total,13037,25051,38088
NotApp :,848,*,*
AREA # 100204,Bilin,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1744,2300,4044
 Rural,9010,26177,35187
 Total,10754,28477,39231
NotApp :,544,*,*
AREA # 110101,Sittway,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,6806,12100,18906
 Rural,1356,8774,10130
 Total,8162,20874,29036
NotApp :,377,*,*
AREA # 110102,Ponnagyun,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,411,2055,2466
 Rural,357,22512,22869
 Total,768,24567,25335
NotApp :,246,*,*
AREA # 110103,Pauktaw,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,246,2224,2470
 Rural,97,27977,28074
 Total,343,30201,30544
NotApp :,349,*,*
AREA # 110104,Yethedaung,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,214,1296,1510
 Rural,601,22230,22831
 Total,815,23526,24341
NotApp :,255,*,*
AREA # 110201,Myauk U,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1628,5646,7274
 Rural,1842,32409,34251
 Total,3470,38055,41525
NotApp :,517,*,*
AREA # 110202,Kyauktaw,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1135,2704,3839
 Rural,1988,30668,32656
 Total,3123,33372,36495
NotApp :,327,*,*
AREA # 110203,Minbya,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,928,3687,4615
 Rural,904,31109,32013
 Total,1832,34796,36628
NotApp :,359,*,*
AREA # 110204,Myebon,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,371,2247,2618
 Rural,932,27789,28721
 Total,1303,30036,31339
NotApp :,244,*,*
AREA # 110301,Maungtaw,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,779,1535,2314
 Rural,693,4383,5076
 Total,1472,5918,7390
NotApp :,142,*,*
AREA # 110302,Buthidaung,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,571,1491,2062
 Rural,518,8684,9202
 Total,1089,10175,11264
NotApp :,178,*,*
AREA # 110351,Taungpyoletwe(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,22,136,158
 Rural,13,335,348
 Total,35,471,506
NotApp :,17,*,*
AREA # 110401,Kyaukpyu,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1972,2282,4254
 Rural,2699,30311,33010
 Total,4671,32593,37264
NotApp :,491,*,*
AREA # 110402,Mannaung,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,510,796,1306
 Rural,2346,11083,13429
 Total,2856,11879,14735
NotApp :,186,*,*
AREA # 110403,Yanbye,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,622,1626,2248
 Rural,1458,18712,20170
 Total,2080,20338,22418
NotApp :,325,*,*
AREA # 110404,An,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,849,1029,1878
 Rural,3000,22481,25481
 Total,3849,23510,27359
NotApp :,324,*,*
AREA # 110501,Thandwe,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1412,1938,3350
 Rural,7110,20615,27725
 Total,8522,22553,31075
NotApp :,580,*,*
AREA # 110502,Toungup,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,2362,3816,6178
 Rural,2400,16661,19061
 Total,4762,20477,25239
NotApp :,343,*,*
AREA # 110503,Gwa,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,880,1608,2488
 Rural,1995,6762,8757
 Total,2875,8370,11245
NotApp :,115,*,*
AREA # 110551,Maei(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,259,956,1215
 Rural,767,7971,8738
 Total,1026,8927,9953
NotApp :,96,*,*
AREA # 110552,Kyeintali(ST),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,406,1069,1475
 Rural,1048,3558,4606
 Total,1454,4627,6081
NotApp :,76,*,*
AREA # 120101,Insein,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,2792,58884,61676
 Total,2792,58884,61676
NotApp :,993,*,*
AREA # 120102,Mingaladon,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,6229,35412,41641
 Rural,4850,19812,24662
 Total,11079,55224,66303
NotApp :,1749,*,*
AREA # 120103,Hmawby,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1656,4286,5942
 Rural,15060,35467,50527
 Total,16716,39753,56469
NotApp :,902,*,*
AREA # 120104,Hlegu,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,2559,6190,8749
 Rural,14992,34282,49274
 Total,17551,40472,58023
NotApp :,1175,*,*
AREA # 120105,Taikkyi,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,6452,13907,20359
 Rural,11995,34645,46640
 Total,18447,48552,66999
NotApp :,614,*,*
AREA # 120106,Htantabin,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,444,1612,2056
 Rural,5967,26188,32155
 Total,6411,27800,34211
NotApp :,229,*,*
AREA # 120107,Shwepyitha,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,7209,51302,58511
 Rural,1602,13662,15264
 Total,8811,64964,73775
NotApp :,834,*,*
AREA # 120108,Hlinethaya,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,9808,93999,103807
 Rural,4773,40131,44904
 Total,14581,134130,148711
NotApp :,1246,*,*
AREA # 120201,Thingangyun,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1145,42175,43320
 Total,1145,42175,43320
NotApp :,265,*,*
AREA # 120202,Yankin,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,273,14364,14637
 Total,273,14364,14637
NotApp :,149,*,*
AREA # 120203,South Okkalapa,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1258,31467,32725
 Total,1258,31467,32725
NotApp :,418,*,*
AREA # 120204,North Okkalapa,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,5500,59256,64756
 Total,5500,59256,64756
NotApp :,946,*,*
AREA # 120205,Thakayta,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,1932,43524,45456
 Total,1932,43524,45456
NotApp :,451,*,*
AREA # 120206,Dawbon,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,226,14183,14409
 Total,226,14183,14409
NotApp :,154,*,*
AREA # 120207,Tamway,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,329,35031,35360
 Total,329,35031,35360
NotApp :,633,*,*
AREA # 120208,Pazuntaung,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,47,10259,10306
 Total,47,10259,10306
NotApp :,215,*,*
AREA # 120209,Botahtaung,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,121,8276,8397
 Total,121,8276,8397
NotApp :,295,*,*
AREA # 120210,Dagon Myothit(South),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,7836,69148,76984
 Total,7836,69148,76984
NotApp :,751,*,*
AREA # 120211,Dagon Myothit(North),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,3242,39462,42704
 Total,3242,39462,42704
NotApp :,126,*,*
AREA # 120212,Dagon Myothit(East),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,3212,28683,31895
 Rural,340,1678,2018
 Total,3552,30361,33913
NotApp :,814,*,*
AREA # 120213,Dagon Myothit(Seik),*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,3766,30406,34172
 Rural,857,2876,3733
 Total,4623,33282,37905
NotApp :,383,*,*
AREA # 120214,Mingala Taungnyunt,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,204,25714,25918
 Total,204,25714,25918
NotApp :,325,*,*
AREA # 120301,Thanlyin,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,6082,12627,18709
 Rural,11925,30963,42888
 Total,18007,43590,61597
NotApp :,594,*,*
AREA # 120302,Kyauktan,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,3193,6671,9864
 Rural,6681,16431,23112
 Total,9874,23102,32976
NotApp :,324,*,*
AREA # 120303,Thongwa,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,2012,4744,6756
 Rural,10453,22878,33331
 Total,12465,27622,40087
NotApp :,287,*,*
AREA # 120304,Khayan,*,*
Urban/Rural,Motorcycle/Moped,*,*
*,Yes,No,Total
 Urban,2277,5601,7878
 Rural,10040,21396,31436
