Urban_Rural,Sex_Male,Sex_Female,Sex_Total
 Rural,62885,64423,127308
 Total,78795,81803,160598
AREA # 010202,Mogaung,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,11604,13408,25012
 Rural,51897,55699,107596
 Total,63501,69107,132608
AREA # 010203,Phakant,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,39992,20131,60123
 Rural,161041,91114,252155
 Total,201033,111245,312278
AREA # 010251,Hopin(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,10742,12610,23352
 Rural,12061,13281,25342
 Total,22803,25891,48694
AREA # 010252,Kamine(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2826,2908,5734
 Rural,6864,6832,13696
 Total,9690,9740,19430
AREA # 010301,Bhamo,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,28492,30204,58696
 Rural,38226,38955,77181
 Total,66718,69159,135877
AREA # 010302,Shwegu,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,9028,9866,18894
 Rural,36034,35763,71797
 Total,45062,45629,90691
AREA # 010303,Momauk,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5039,5702,10741
 Rural,15209,15612,30821
 Total,20248,21314,41562
AREA # 010304,Mansi,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4087,4059,8146
 Rural,22069,22730,44799
 Total,26156,26789,52945
AREA # 010351,Myohla(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,951,877,1828
 Rural,1161,1104,2265
 Total,2112,1981,4093
AREA # 010352,Lwe`ge`(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4112,4263,8375
 Rural,853,811,1664
 Total,4965,5074,10039
AREA # 010353,Dotphoneyan(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,981,900,1881
 Rural,4835,4597,9432
 Total,5816,5497,11313
AREA # 010401,Putao,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,7706,8272,15978
 Rural,22456,22641,45097
 Total,30162,30913,61075
AREA # 010402,Sumprabum,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,606,531,1137
 Rural,685,724,1409
 Total,1291,1255,2546
AREA # 010403,Machanbaw,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1181,1134,2315
 Rural,3274,3269,6543
 Total,4455,4403,8858
AREA # 010404,Khaunglanphoo,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,237,213,450
 Rural,5618,5587,11205
 Total,5855,5800,11655
AREA # 010405,Naungmoon,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1039,1072,2111
 Rural,1650,1604,3254
 Total,2689,2676,5365
AREA # 010451,Pannandin(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,67,58,125
 Rural,847,786,1633
 Total,914,844,1758
AREA # 020101,Loikaw,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,24732,26617,51349
 Rural,38377,38675,77052
 Total,63109,65292,128401
AREA # 020102,Dimawso,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2716,2905,5621
 Rural,36220,37360,73580
 Total,38936,40265,79201
AREA # 020103,Phruso,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2144,2096,4240
 Rural,12293,12841,25134
 Total,14437,14937,29374
AREA # 020104,Shardaw,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,786,787,1573
 Rural,2565,2604,5169
 Total,3351,3391,6742
AREA # 020201,Bawlakhe,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2318,1828,4146
 Rural,2333,2001,4334
 Total,4651,3829,8480
AREA # 020202,Parsaung,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1676,1472,3148
 Rural,12230,10216,22446
 Total,13906,11688,25594
AREA # 020203,Meisi,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,574,439,1013
 Rural,2828,2478,5306
 Total,3402,2917,6319
AREA # 020251,Ywathit(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,733,595,1328
 Rural,688,500,1188
 Total,1421,1095,2516
AREA # 030101,Hpa-an,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,36921,38220,75141
 Rural,166989,179445,346434
 Total,203910,217665,421575
AREA # 030102,Hlaingbwe,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5622,5889,11511
 Rural,70338,73695,144033
 Total,75960,79584,155544
AREA # 030103,Thandaunggyi,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,8148,7908,16056
 Rural,7149,7004,14153
 Total,15297,14912,30209
AREA # 030151,Paingkyon(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1935,2139,4074
 Rural,41042,43488,84530
 Total,42977,45627,88604
AREA # 030152,Shan Ywathit(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,290,241,531
 Rural,10673,10531,21204
 Total,10963,10772,21735
AREA # 030153,Leiktho(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1628,1465,3093
 Rural,23075,22438,45513
 Total,24703,23903,48606
AREA # 030154,Bawgali(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,989,1010,1999
 Rural,7528,7710,15238
 Total,8517,8720,17237
AREA # 030201,Pharpon,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1720,1608,3328
 Rural,5879,4983,10862
 Total,7599,6591,14190
AREA # 030251,Kamamaung(ST},*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,6752,7240,13992
 Rural,3632,3271,6903
 Total,10384,10511,20895
AREA # 030301,Myawady,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,57399,55756,113155
 Rural,42372,40097,82469
 Total,99771,95853,195624
AREA # 030351,Sugali(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
