Urban_Rural,Sex_Male,Sex_Female,Sex_Total
 Rural,70333,81098,151431
 Total,74039,85472,159511
AREA # 080106,Natmauk,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,6774,7963,14737
 Rural,86000,106259,192259
 Total,92774,114222,206996
AREA # 080201,Minbu,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,18140,21419,39559
 Rural,70122,78501,148623
 Total,88262,99920,188182
AREA # 080202,Pwint Phyu,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2910,3440,6350
 Rural,73830,83512,157342
 Total,76740,86952,163692
AREA # 080203,Ngape,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1884,2181,4065
 Rural,23191,24886,48077
 Total,25075,27067,52142
AREA # 080204,Salin,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5571,6587,12158
 Rural,103154,120721,223875
 Total,108725,127308,236033
AREA # 080205,Saytottara,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3222,3292,6514
 Rural,20116,20896,41012
 Total,23338,24188,47526
AREA # 080301,Thayet,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,9403,10848,20251
 Rural,39982,44114,84096
 Total,49385,54962,104347
AREA # 080302,Minhla,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5892,6618,12510
 Rural,67241,66331,133572
 Total,73133,72949,146082
AREA # 080303,Mindon,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2112,2482,4594
 Rural,25849,28914,54763
 Total,27961,31396,59357
AREA # 080304,Kamma,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2417,2785,5202
 Rural,33437,36556,69993
 Total,35854,39341,75195
AREA # 080305,Aunglan,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,24632,27855,52487
 Rural,87133,95602,182735
 Total,111765,123457,235222
AREA # 080306,Sinpaungwe`,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2354,2735,5089
 Rural,53435,59320,112755
 Total,55789,62055,117844
AREA # 080401,Pakokku,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,41225,49617,90842
 Rural,89516,109781,199297
 Total,130741,159398,290139
AREA # 080402,Yesagyo,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,10471,12858,23329
 Rural,83882,108141,192023
 Total,94353,120999,215352
AREA # 080403,Myaing,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3486,4220,7706
 Rural,97368,120697,218065
 Total,100854,124917,225771
AREA # 080404,Pauk,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3255,4031,7286
 Rural,75775,88453,164228
 Total,79030,92484,171514
AREA # 080405,Seikphyu,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4063,5018,9081
 Rural,42846,50842,93688
 Total,46909,55860,102769
AREA # 080501,Gangaw,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,6449,7490,13939
 Rural,56971,62385,119356
 Total,63420,69875,133295
AREA # 080502,Htilin,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2084,2438,4522
 Rural,20775,23569,44344
 Total,22859,26007,48866
AREA # 080503,Saw,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2226,2636,4862
 Rural,14983,15987,30970
 Total,17209,18623,35832
AREA # 080551,Kyaukhtu(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2164,2447,4611
 Rural,13173,15081,28254
 Total,15337,17528,32865
AREA # 090101,Aungmyetharzan,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,129959,135820,265779
 Total,129959,135820,265779
AREA # 090102,Chanayeharzan,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,93245,103930,197175
 Total,93245,103930,197175
AREA # 090103,Mahaaungmye,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,116903,124210,241113
 Total,116903,124210,241113
AREA # 090104,Chanmyatharzi,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,137528,146253,283781
 Total,137528,146253,283781
AREA # 090105,Pyigyidagun,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,120794,116904,237698
 Total,120794,116904,237698
AREA # 090106,Amarapura,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,38959,41865,80824
 Rural,75522,81272,156794
 Total,114481,123137,237618
AREA # 090107,Patheingyi,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,6125,6957,13082
 Rural,122879,127764,250643
 Total,129004,134721,263725
AREA # 090201,Pyin Oo Lwin,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,79153,79630,158783
 Rural,48874,47851,96725
 Total,128027,127481,255508
AREA # 090202,Madaya,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,11473,12761,24234
 Rural,111406,122361,233767
 Total,122879,135122,258001
AREA # 090203,Sinku,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3546,3847,7393
 Rural,73228,76964,150192
 Total,76774,80811,157585
AREA # 090204,Mogok,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,37664,39945,77609
 Rural,47228,42312,89540
 Total,84892,82257,167149
AREA # 090205,Thabeikkyin,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2801,2829,5630
 Rural,62818,59384,122202
 Total,65619,62213,127832
AREA # 090251,Tagaung,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3957,4178,8135
 Rural,13652,14083,27735
 Total,17609,18261,35870
AREA # 090301,Kyaukse,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,19775,21707,41482
 Rural,104764,111661,216425
 Total,124539,133368,257907
AREA # 090302,Singaing,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3774,4516,8290
 Rural,67387,73241,140628
 Total,71161,77757,148918
AREA # 090303,Myitthar,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,9081,10261,19342
 Rural,83591,92696,176287
 Total,92672,102957,195629
AREA # 090304,Tada U,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5800,6589,12389
 Rural,58954,67274,126228
 Total,64754,73863,138617
AREA # 090401,Myingyan,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,40016,47692,87708
 Rural,84084,104304,188388
 Total,124100,151996,276096
AREA # 090402,Taungtha,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,8107,9421,17528
 Rural,89054,110060,199114
 Total,97161,119481,216642
AREA # 090403,Natogyi,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5975,6843,12818
 Rural,74873,89387,164260
 Total,80848,96230,177078
AREA # 090404,Kyaukpadaung,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,19939,22878,42817
 Rural,96686,122405,219091
 Total,116625,145283,261908
AREA # 090405,Ngazun,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3248,3832,7080
 Rural,53421,63732,117153
 Total,56669,67564,124233
AREA # 090501,Nyaung U,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,23354,25174,48528
 Rural,68154,81503,149657
 Total,91508,106677,198185
AREA # 090551,Ngat,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2486,3329,5815
 Rural,15482,20465,35947
 Total,17968,23794,41762
AREA # 090601,Yame`thin,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,13689,14009,27698
 Rural,111679,118714,230393
 Total,125368,132723,258091
AREA # 090602,Pyawbwe,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,14741,17473,32214
 Rural,104494,123585,228079
 Total,119235,141058,260293
AREA # 090701,Meiktila,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,51067,60455,111522
 Rural,91720,106421,198141
 Total,142787,166876,309663
AREA # 090702,MahlYaing,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,6331,7519,13850
 Rural,57250,68327,125577
 Total,63581,75846,139427
AREA # 090703,Thazi,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,9287,11274,20561
 Rural,86176,95943,182119
 Total,95463,107217,202680
AREA # 090704,Wundwin,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,14656,17902,32558
 Rural,91558,105644,197202
 Total,106214,123546,229760
AREA # 100101,Mawlamyine,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,122052,131682,253734
 Rural,16974,18680,35654
 Total,139026,150362,289388
AREA # 100102,Kyaikemaraw,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4936,6085,11021
 Rural,87810,96979,184789
 Total,92746,103064,195810
AREA # 100103,Chaungzon,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3538,4189,7727
 Rural,52058,62341,114399
 Total,55596,66530,122126
AREA # 100104,Thanbyuzayat,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,27345,29863,57208
 Rural,54104,59224,113328
 Total,81449,89087,170536
AREA # 100105,Mudon,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,24801,27713,52514
 Rural,65175,73048,138223
 Total,89976,100761,190737
AREA # 100106,Ye,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,16619,17811,34430
 Rural,59470,58585,118055
 Total,76089,76396,152485
AREA # 100151,Lamine,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,6360,7254,13614
 Rural,35274,39588,74862
 Total,41634,46842,88476
AREA # 100152,Khawzar,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1924,1920,3844
 Rural,9236,9583,18819
 Total,11160,11503,22663
AREA # 100201,Thaton,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,26585,28462,55047
 Rural,89809,93250,183059
 Total,116394,121712,238106
AREA # 100202,Paung,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,13871,15563,29434
 Rural,91500,97525,189025
 Total,105371,113088,218459
AREA # 100203,Kyaikto,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,16622,18602,35224
 Rural,73409,75899,149308
 Total,90031,94501,184532
AREA # 100204,Bilin,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,8908,9484,18392
 Rural,79012,83671,162683
 Total,87920,93155,181075
AREA # 110101,Sittway,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,47880,52868,100748
 Rural,22590,24561,47151
 Total,70470,77429,147899
AREA # 110102,Ponnagyun,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5912,6779,12691
 Rural,54067,62995,117062
 Total,59979,69774,129753
AREA # 110103,Pauktaw,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5946,6768,12714
 Rural,62249,70994,133243
 Total,68195,77762,145957
AREA # 110104,Yethedaung,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3409,4102,7511
 Rural,46617,57846,104463
 Total,50026,61948,111974
AREA # 110201,Myauk U,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,16836,19303,36139
 Rural,70838,82653,153491
 Total,87674,101956,189630
AREA # 110202,Kyauktaw,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,8745,10747,19492
 Rural,69296,84312,153608
 Total,78041,95059,173100
AREA # 110203,Minbya,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,10656,12288,22944
 Rural,68219,78045,146264
 Total,78875,90333,169208
AREA # 110204,Myebon,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5387,6179,11566
 Rural,59972,65655,125627
 Total,65359,71834,137193
AREA # 110301,Maungtaw,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5847,5895,11742
 Rural,13931,12526,26457
 Total,19778,18421,38199
AREA # 110302,Buthidaung,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4345,5367,9712
 Rural,23373,22460,45833
 Total,27718,27827,55545
AREA # 110351,Taungpyoletwe(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,387,340,727
 Rural,933,926,1859
 Total,1320,1266,2586
AREA # 110401,Kyaukpyu,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,10145,10721,20866
 Rural,68617,75869,144486
 Total,78762,86590,165352
AREA # 110402,Mannaung,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2310,2936,5246
 Rural,22647,29073,51720
 Total,24957,32009,56966
AREA # 110403,Yanbye,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4493,5381,9874
 Rural,40273,47744,88017
 Total,44766,53125,97891
AREA # 110404,An,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4110,4404,8514
 Rural,54713,56487,111200
 Total,58823,60891,119714
AREA # 110501,Thandwe,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,6731,7596,14327
 Rural,58391,60766,119157
 Total,65122,68362,133484
AREA # 110502,Toungup,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,13562,15090,28652
 Rural,42111,43674,85785
 Total,55673,58764,114437
AREA # 110503,Gwa,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4680,4830,9510
 Rural,16478,16446,32924
 Total,21158,21276,42434
AREA # 110551,Maei(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2655,2780,5435
 Rural,18929,19540,38469
 Total,21584,22320,43904
AREA # 110552,Kyeintali(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2821,3057,5878
 Rural,8601,9102,17703
 Total,11422,12159,23581
AREA # 120101,Insein,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,146158,159125,305283
 Total,146158,159125,305283
AREA # 120102,Mingaladon,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,95814,102582,198396
 Rural,62445,70745,133190
 Total,158259,173327,331586
AREA # 120103,Hmawby,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,12285,13675,25960
 Rural,108646,110001,218647
 Total,120931,123676,244607
AREA # 120104,Hlegu,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,18906,21172,40078
 Rural,115181,115482,230663
 Total,134087,136654,270741
AREA # 120105,Taikkyi,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,42161,45839,88000
 Rural,92553,96715,189268
 Total,134714,142554,277268
AREA # 120106,Htantabin,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4318,4701,9019
 Rural,67489,69284,136773
 Total,71807,73985,145792
AREA # 120107,Shwepyitha,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,133915,145880,279795
 Rural,30349,33382,63731
 Total,164264,179262,343526
AREA # 120108,Hlinethaya,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,223568,258560,482128
 Rural,99294,106445,205739
 Total,322862,365005,687867
AREA # 120201,Thingangyun,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,98698,110788,209486
 Total,98698,110788,209486
AREA # 120202,Yankin,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,32724,38222,70946
 Total,32724,38222,70946
AREA # 120203,South Okkalapa,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,75547,85579,161126
 Total,75547,85579,161126
AREA # 120204,North Okkalapa,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,156340,176953,333293
 Total,156340,176953,333293
AREA # 120205,Thakayta,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,107290,113266,220556
 Total,107290,113266,220556
AREA # 120206,Dawbon,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,36745,38580,75325
 Total,36745,38580,75325
AREA # 120207,Tamway,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,74662,90651,165313
 Total,74662,90651,165313
AREA # 120208,Pazuntaung,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,22131,26324,48455
 Total,22131,26324,48455
AREA # 120209,Botahtaung,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,19416,21579,40995
 Total,19416,21579,40995
AREA # 120210,Dagon Myothit(South),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,181140,190506,371646
 Total,181140,190506,371646
AREA # 120211,Dagon Myothit(North),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,96388,107560,203948
 Total,96388,107560,203948
AREA # 120212,Dagon Myothit(East),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,76015,80229,156244
 Rural,4846,4538,9384
 Total,80861,84767,165628
AREA # 120213,Dagon Myothit(Seik),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,73906,76170,150076
 Rural,8791,8581,17372
 Total,82697,84751,167448
AREA # 120214,Mingala Taungnyunt,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,62530,69964,132494
 Total,62530,69964,132494
AREA # 120301,Thanlyin,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,41110,44955,86065
 Rural,89427,92571,181998
 Total,130537,137526,268063
AREA # 120302,Kyauktan,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,20541,22237,42778
 Rural,43837,46150,89987
 Total,64378,68387,132765
AREA # 120303,Thongwa,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,13194,14824,28018
 Rural,62298,67560,129858
 Total,75492,82384,157876
AREA # 120304,Khayan,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,15436,17541,32977
 Rural,60074,64968,125042
 Total,75510,82509,158019
AREA # 120305,Twantay,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,20752,22340,43092
 Rural,90499,93245,183744
 Total,111251,115585,226836
AREA # 120306,Kawhmu,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4119,4481,8600
 Rural,54180,56270,110450
 Total,58299,60751,119050
AREA # 120307,Kungyangon,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,7931,8696,16627
 Rural,46176,48829,95005
 Total,54107,57525,111632
AREA # 120308,Dala,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,58358,61008,119366
 Rural,26313,27178,53491
 Total,84671,88186,172857
AREA # 120309,Seikkyi/Khanaungto,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,17068,16935,34003
 Total,17068,16935,34003
AREA # 120310,Cocogyun,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1294,646,1940
 Total,1294,646,1940
AREA # 120351,Tada(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4302,4532,8834
 Rural,12776,13073,25849
 Total,17078,17605,34683
AREA # 120401,Kyauktada,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,13777,16076,29853
 Total,13777,16076,29853
AREA # 120402,Pabedan,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,15171,18165,33336
 Total,15171,18165,33336
AREA # 120403,Lanmadaw,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,20180,26980,47160
 Total,20180,26980,47160
AREA # 120404,Latha,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,10728,14329,25057
 Total,10728,14329,25057
AREA # 120405,Ahlon,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,25551,29931,55482
 Total,25551,29931,55482
AREA # 120406,Kyimyindine,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,52627,58887,111514
 Total,52627,58887,111514
AREA # 120407,Sangyoung,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,43993,55626,99619
 Total,43993,55626,99619
AREA # 120408,Hline,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,75029,85278,160307
 Total,75029,85278,160307
AREA # 120409,Kamayut,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,36958,47611,84569
 Total,36958,47611,84569
AREA # 120410,Mayangon,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,93392,104721,198113
 Total,93392,104721,198113
AREA # 120411,Dagon,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,11846,13236,25082
 Total,11846,13236,25082
AREA # 120412,Bahan,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,45518,51214,96732
 Total,45518,51214,96732
AREA # 120413,Seikkan,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1697,1129,2826
 Total,1697,1129,2826
AREA # 130101,Taunggyi,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,126928,137876,264804
 Rural,59026,57809,116835
 Total,185954,195685,381639
AREA # 130102,Nyaungshwe,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,8174,8034,16208
 Rural,86363,86836,173199
 Total,94537,94870,189407
AREA # 130103,Hopon,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,12106,10734,22840
 Rural,43429,46079,89508
 Total,55535,56813,112348
AREA # 130104,Hsihseng,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,6029,6044,12073
 Rural,68707,72252,140959
 Total,74736,78296,153032
AREA # 130105,Kalaw,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,28672,29125,57797
 Rural,64420,63866,128286
 Total,93092,92991,186083
AREA # 130106,Pindaya,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5161,5601,10762
 Rural,33307,35234,68541
 Total,38468,40835,79303
AREA # 130107,Ywarngan,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2220,2297,4517
 Rural,38829,39186,78015
 Total,41049,41483,82532
AREA # 130108,Yatsauk,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,16175,13358,29533
 Rural,48786,48248,97034
 Total,64961,61606,126567
AREA # 130109,Pinlaung,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,6531,6098,12629
 Rural,50880,51538,102418
 Total,57411,57636,115047
AREA # 130110,Phekon,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,8357,8189,16546
 Rural,43936,43108,87044
 Total,52293,51297,103590
AREA # 130151,Kyauktalongyi(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1454,1712,3166
 Rural,25792,27459,53251
 Total,27246,29171,56417
AREA # 130152,Indaw(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4171,4081,8252
 Rural,15194,14717,29911
 Total,19365,18798,38163
AREA # 130153,Naungtayar(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2425,2436,4861
 Rural,35522,36827,72349
 Total,37947,39263,77210
AREA # 130201,Loilem,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,6417,7043,13460
 Rural,18814,20097,38911
 Total,25231,27140,52371
AREA # 130202,Le`char,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3845,4156,8001
 Rural,19801,21029,40830
 Total,23646,25185,48831
AREA # 130203,Nanhsam(South),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,11946,11846,23792
 Rural,34596,33914,68510
 Total,46542,45760,92302
AREA # 130204,Kunhing,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3767,3814,7581
 Rural,7105,7137,14242
 Total,10872,10951,21823
AREA # 130205,Kehsi,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2105,2177,4282
 Rural,18800,21418,40218
 Total,20905,23595,44500
AREA # 130206,Mongkai,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5156,5464,10620
 Rural,29966,33708,63674
 Total,35122,39172,74294
AREA # 130207,Mineshu,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4839,4970,9809
 Rural,15524,17362,32886
 Total,20363,22332,42695
AREA # 130251,Panglong(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,13615,13500,27115
 Rural,21713,23358,45071
 Total,35328,36858,72186
AREA # 130252,Kholan(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4719,4751,9470
 Rural,8030,7159,15189
 Total,12749,11910,24659
AREA # 130253,Karli(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3870,3909,7779
 Rural,11881,11920,23801
 Total,15751,15829,31580
AREA # 130254,Minenaung(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1927,2121,4048
 Rural,12592,13224,25816
 Total,14519,15345,29864
AREA # 130255,Minesan(Monsan)(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1331,1144,2475
 Rural,14548,13034,27582
 Total,15879,14178,30057
AREA # 130301,Linkhe`,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3189,3295,6484
 Rural,13494,13503,26997
 Total,16683,16798,33481
AREA # 130302,Mone`,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4735,5032,9767
 Rural,9319,9554,18873
 Total,14054,14586,28640
AREA # 130303,Maukme`,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2686,2536,5222
 Rural,13860,14728,28588
 Total,16546,17264,33810
AREA # 130304,Minepan,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4712,4260,8972
 Rural,9117,7837,16954
 Total,13829,12097,25926
AREA # 130351,Homane(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1770,1676,3446
 Rural,1753,1631,3384
 Total,3523,3307,6830
AREA # 130352,Kengtaung(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5535,4456,9991
 Rural,402,403,805
 Total,5937,4859,10796
AREA # 130401,Lashio,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,84331,90004,174335
 Rural,74181,74889,149070
 Total,158512,164893,323405
AREA # 130402,Theinni,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4449,4703,9152
 Rural,24155,23355,47510
 Total,28604,28058,56662
AREA # 130403,Mineye`,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3594,3452,7046
 Rural,24797,27533,52330
 Total,28391,30985,59376
AREA # 130404,Tantyan,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,16305,17298,33603
 Rural,67718,71484,139202
 Total,84023,88782,172805
AREA # 130501,MuSe,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,38448,35865,74313
 Rural,22498,20696,43194
 Total,60946,56561,117507
AREA # 130502,Namkham,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,14171,16098,30269
 Rural,37144,39621,76765
 Total,51315,55719,107034
