Urban_Rural,Radio_Yes,Radio_No,Radio_Total
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,98,97,195
 Rural,395,712,1107
 Total,493,809,1302
NotApp :,55,*,*
AREA # 020251,Ywathit(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,158,134,292
 Rural,119,81,200
 Total,277,215,492
NotApp :,30,*,*
AREA # 030101,Hpa-an,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,3607,11161,14768
 Rural,19736,54693,74429
 Total,23343,65854,89197
NotApp :,1176,*,*
AREA # 030102,Hlaingbwe,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,392,1887,2279
 Rural,4823,24484,29307
 Total,5215,26371,31586
NotApp :,379,*,*
AREA # 030103,Thandaunggyi,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,987,2075,3062
 Rural,809,1938,2747
 Total,1796,4013,5809
NotApp :,36,*,*
AREA # 030151,Paingkyon(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,166,641,807
 Rural,2886,14085,16971
 Total,3052,14726,17778
NotApp :,210,*,*
AREA # 030152,Shan Ywathit(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,5,78,83
 Rural,279,3394,3673
 Total,284,3472,3756
NotApp :,29,*,*
AREA # 030153,Leiktho(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,240,367,607
 Rural,2497,6822,9319
 Total,2737,7189,9926
NotApp :,73,*,*
AREA # 030154,Bawgali(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,171,265,436
 Rural,1162,1807,2969
 Total,1333,2072,3405
NotApp :,7,*,*
AREA # 030201,Pharpon,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,218,415,633
 Rural,479,1432,1911
 Total,697,1847,2544
NotApp :,108,*,*
AREA # 030251,Kamamaung(ST},*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,757,1992,2749
 Rural,172,1037,1209
 Total,929,3029,3958
NotApp :,52,*,*
AREA # 030301,Myawady,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,3419,20597,24016
 Rural,3691,13551,17242
 Total,7110,34148,41258
NotApp :,937,*,*
AREA # 030351,Sugali(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,16,59,75
 Rural,55,931,986
 Total,71,990,1061
NotApp :,24,*,*
AREA # 030352,Wawlaymyaing(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,56,521,577
 Rural,146,974,1120
 Total,202,1495,1697
NotApp :,44,*,*
AREA # 030401,Kawkareik,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,2987,5495,8482
 Rural,9927,27089,37016
 Total,12914,32584,45498
NotApp :,393,*,*
AREA # 030402,Kyarinseikkyi,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,611,1206,1817
 Rural,6132,14091,20223
 Total,6743,15297,22040
NotApp :,270,*,*
AREA # 030451,Payarthonezu(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,286,5810,6096
 Rural,1752,9947,11699
 Total,2038,15757,17795
NotApp :,271,*,*
AREA # 030452,Kyaidon(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,176,504,680
 Rural,1047,9006,10053
 Total,1223,9510,10733
NotApp :,114,*,*
AREA # 040101,HaKa,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1205,4016,5221
 Rural,622,4074,4696
 Total,1827,8090,9917
NotApp :,107,*,*
AREA # 040102,Thantlang,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,379,1128,1507
 Rural,1399,6876,8275
 Total,1778,8004,9782
NotApp :,38,*,*
AREA # 040201,Falam,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,498,1504,2002
 Rural,1020,5406,6426
 Total,1518,6910,8428
NotApp :,60,*,*
AREA # 040202,Tedim,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,549,1701,2250
 Rural,2018,10415,12433
 Total,2567,12116,14683
NotApp :,65,*,*
AREA # 040203,Tonzaung,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,115,525,640
 Rural,331,2440,2771
 Total,446,2965,3411
NotApp :,37,*,*
AREA # 040251,Rihkhuadal(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,45,625,670
 Rural,98,430,528
 Total,143,1055,1198
NotApp :,12,*,*
AREA # 040252,Cikha(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,30,185,215
 Rural,120,1195,1315
 Total,150,1380,1530
NotApp :,6,*,*
AREA # 040301,Mindat,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1168,1175,2343
 Rural,1771,4408,6179
 Total,2939,5583,8522
NotApp :,95,*,*
AREA # 040302,Matupi,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,390,1280,1670
 Rural,712,5254,5966
 Total,1102,6534,7636
NotApp :,43,*,*
AREA # 040303,Kanpalet,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,437,370,807
 Rural,1013,2157,3170
 Total,1450,2527,3977
NotApp :,66,*,*
AREA # 040304,Paletwat,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,535,815,1350
 Rural,2514,9429,11943
 Total,3049,10244,13293
NotApp :,86,*,*
AREA # 040351,Reazu(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,118,344,462
 Rural,306,1753,2059
 Total,424,2097,2521
NotApp :,14,*,*
AREA # 040352,Sami(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,112,521,633
 Rural,1030,4560,5590
 Total,1142,5081,6223
NotApp :,100,*,*
AREA # 050101,Sagaing,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,4278,12218,16496
 Rural,20579,28068,48647
 Total,24857,40286,65143
NotApp :,1842,*,*
AREA # 050102,Myinmu,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1174,2457,3631
 Rural,11795,9878,21673
 Total,12969,12335,25304
NotApp :,264,*,*
AREA # 050103,Myaung,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,637,1316,1953
 Rural,14098,8211,22309
 Total,14735,9527,24262
NotApp :,350,*,*
AREA # 050201,Shwebo,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,3188,10343,13531
 Rural,14647,22069,36716
 Total,17835,32412,50247
NotApp :,467,*,*
AREA # 050202,Khin U,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
