Read_and_write,Sex_Male,Sex_Female,Sex_Total
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,13542,14434,27976
 Illiterate,1746,1831,3577
 Total,15288,16265,31553
NotApp :,5001,*,*
AREA # 060301,Kawthoung,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,46560,46585,93145
 Illiterate,3162,4321,7483
 Total,49722,50906,100628
NotApp :,16352,*,*
AREA # 060302,Bokepyin,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,17103,15999,33102
 Illiterate,2105,2509,4614
 Total,19208,18508,37716
NotApp :,9105,*,*
AREA # 060351,Khamaukgyi,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,8669,7689,16358
 Illiterate,903,1153,2056
 Total,9572,8842,18414
NotApp :,4626,*,*
AREA # 060352,Pyigyimandaing,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,6013,5489,11502
 Illiterate,826,1007,1833
 Total,6839,6496,13335
NotApp :,3269,*,*
AREA # 060353,Karathuri(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,7377,6654,14031
 Illiterate,473,601,1074
 Total,7850,7255,15105
NotApp :,3188,*,*
AREA # 070101,Bago,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,184170,206615,390785
 Illiterate,11805,22557,34362
 Total,195975,229172,425147
NotApp :,66287,*,*
AREA # 070102,Tanatpin,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,55743,60875,116618
 Illiterate,3658,7568,11226
 Total,59401,68443,127844
NotApp :,17443,*,*
AREA # 070103,Kawa,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,77813,86409,164222
 Illiterate,4172,7470,11642
 Total,81985,93879,175864
NotApp :,21499,*,*
AREA # 070104,Waw,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,66780,74276,141056
 Illiterate,3661,7981,11642
 Total,70441,82257,152698
NotApp :,23316,*,*
AREA # 070105,Nyaunglebin,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,78484,89154,167638
 Illiterate,3360,6077,9437
 Total,81844,95231,177075
NotApp :,22408,*,*
AREA # 070106,Kyauktaga,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,97105,103753,200858
 Illiterate,7638,14399,22037
 Total,104743,118152,222895
NotApp :,28317,*,*
AREA # 070107,Daik U,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,78761,86673,165434
 Illiterate,4228,9035,13263
 Total,82989,95708,178697
NotApp :,23833,*,*
AREA # 070108,Shwegyin,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,41412,43379,84791
 Illiterate,3051,4484,7535
 Total,44463,47863,92326
NotApp :,15136,*,*
AREA # 070201,Toungoo,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,98277,110445,208722
 Illiterate,5490,10522,16012
 Total,103767,120967,224734
NotApp :,37322,*,*
AREA # 070202,Yaedashe,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,83278,88398,171676
 Illiterate,4641,10238,14879
 Total,87919,98636,186555
NotApp :,27038,*,*
AREA # 070203,Kyaukkyi,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,41697,46508,88205
 Illiterate,4653,6162,10815
 Total,46350,52670,99020
NotApp :,14309,*,*
AREA # 070204,Pyu,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,98104,107767,205871
 Illiterate,6826,14795,21621
 Total,104930,122562,227492
NotApp :,29781,*,*
AREA # 070205,Oatwin,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,60886,67144,128030
 Illiterate,4226,9294,13520
 Total,65112,76438,141550
NotApp :,18278,*,*
AREA # 070206,Htantapin,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,44927,50346,95273
 Illiterate,3059,5498,8557
 Total,47986,55844,103830
NotApp :,13446,*,*
AREA # 070301,Pyay,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,97965,112513,210478
 Illiterate,3369,6476,9845
