Read_and_write,Sex_Male,Sex_Female,Sex_Total
 Total,101334,118989,220323
NotApp :,31320,*,*
AREA # 070302,Paukkhaung,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,52049,53226,105275
 Illiterate,2812,5640,8452
 Total,54861,58866,113727
NotApp :,11129,*,*
AREA # 070303,Padaung,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,58850,64222,123072
 Illiterate,2779,5104,7883
 Total,61629,69326,130955
NotApp :,13259,*,*
AREA # 070304,Paunde,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,56629,60926,117555
 Illiterate,2758,4931,7689
 Total,59387,65857,125244
NotApp :,12317,*,*
AREA # 070305,Thegon,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,54818,62604,117422
 Illiterate,1390,2459,3849
 Total,56208,65063,121271
NotApp :,9686,*,*
AREA # 070306,Shwedaung,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,48903,57728,106631
 Illiterate,1485,2768,4253
 Total,50388,60496,110884
NotApp :,10787,*,*
AREA # 070401,Tharyarwaddy,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,59816,66081,125897
 Illiterate,3169,5312,8481
 Total,62985,71393,134378
NotApp :,16726,*,*
AREA # 070402,Letpadan,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,70634,78404,149038
 Illiterate,3571,6378,9949
 Total,74205,84782,158987
NotApp :,18420,*,*
AREA # 070403,Minhla,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,50384,55862,106246
 Illiterate,1733,2741,4474
 Total,52117,58603,110720
NotApp :,11771,*,*
AREA # 070404,Okpo,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,51703,56861,108564
 Illiterate,2413,3695,6108
 Total,54116,60556,114672
NotApp :,11990,*,*
AREA # 070405,Zigon,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,28129,31265,59394
 Illiterate,966,1602,2568
 Total,29095,32867,61962
NotApp :,5561,*,*
AREA # 070406,Nattalin,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,72127,80151,152278
 Illiterate,2468,3701,6169
 Total,74595,83852,158447
NotApp :,13694,*,*
AREA # 070407,Monyo,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,52221,58336,110557
 Illiterate,1986,3297,5283
 Total,54207,61633,115840
NotApp :,11730,*,*
AREA # 070408,Gyobingauk,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,48967,55127,104094
 Illiterate,1457,2252,3709
 Total,50424,57379,107803
NotApp :,9630,*,*
AREA # 080101,Magway,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,108258,123246,231504
 Illiterate,5178,14123,19301
 Total,113436,137369,250805
NotApp :,38442,*,*
AREA # 080102,Yenangyoung,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,49369,59661,109030
 Illiterate,2464,7731,10195
 Total,51833,67392,119225
NotApp :,15002,*,*
AREA # 080103,Chauk,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,69342,84353,153695
 Illiterate,3128,10172,13300
 Total,72470,94525,166995
NotApp :,18194,*,*
AREA # 080104,Taungdwingyi,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,101939,112784,214723
 Illiterate,5125,12302,17427
 Total,107064,125086,232150
NotApp :,27710,*,*
AREA # 080105,Myothit,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,60437,64714,125151
 Illiterate,3871,12925,16796
 Total,64308,77639,141947
NotApp :,17564,*,*
AREA # 080106,Natmauk,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,76031,87431,163462
 Illiterate,3993,17130,21123
 Total,80024,104561,184585
NotApp :,22411,*,*
AREA # 080201,Minbu,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,69341,78169,147510
 Illiterate,3211,7860,11071
 Total,72552,86029,158581
NotApp :,29601,*,*
AREA # 080202,Pwint Phyu,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,63764,70889,134653
 Illiterate,3292,8256,11548
 Total,67056,79145,146201
NotApp :,17491,*,*
AREA # 080203,Ngape,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,19752,21590,41342
 Illiterate,1289,2519,3808
 Total,21041,24109,45150
NotApp :,6992,*,*
AREA # 080204,Salin,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,92421,109697,202118
 Illiterate,3297,7675,10972
 Total,95718,117372,213090
NotApp :,22943,*,*
AREA # 080205,Saytottara,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,18863,20151,39014
 Illiterate,661,1506,2167
 Total,19524,21657,41181
NotApp :,6345,*,*
AREA # 080301,Thayet,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,40563,45367,85930
 Illiterate,1714,4955,6669
 Total,42277,50322,92599
NotApp :,11748,*,*
AREA # 080302,Minhla,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,51371,53897,105268
 Illiterate,2376,5942,8318
 Total,53747,59839,113586
NotApp :,32496,*,*
AREA # 080303,Mindon,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,23645,25215,48860
 Illiterate,1430,3997,5427
 Total,25075,29212,54287
NotApp :,5070,*,*
AREA # 080304,Kamma,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,30495,33680,64175
 Illiterate,1578,2758,4336
 Total,32073,36438,68511
NotApp :,6684,*,*
AREA # 080305,Aunglan,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,93755,102763,196518
 Illiterate,4631,10761,15392
 Total,98386,113524,211910
NotApp :,23312,*,*
AREA # 080306,Sinpaungwe`,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,47043,52533,99576
 Illiterate,1689,3987,5676
 Total,48732,56520,105252
NotApp :,12592,*,*
AREA # 080401,Pakokku,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,105827,128593,234420
 Illiterate,6179,16573,22752
 Total,112006,145166,257172
NotApp :,32967,*,*
AREA # 080402,Yesagyo,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,78620,100908,179528
 Illiterate,3498,10151,13649
 Total,82118,111059,193177
NotApp :,22175,*,*
AREA # 080403,Myaing,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,82312,95995,178307
 Illiterate,5546,17939,23485
 Total,87858,113934,201792
NotApp :,23979,*,*
AREA # 080404,Pauk,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,63822,73240,137062
 Illiterate,4381,10317,14698
 Total,68203,83557,151760
NotApp :,19754,*,*
AREA # 080405,Seikphyu,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,37640,44119,81759
 Illiterate,2525,5513,8038
 Total,40165,49632,89797
NotApp :,12972,*,*
AREA # 080501,Gangaw,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,52659,59905,112564
 Illiterate,1960,3630,5590
 Total,54619,63535,118154
NotApp :,15141,*,*
AREA # 080502,Htilin,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,19773,22942,42715
 Illiterate,541,1143,1684
 Total,20314,24085,44399
NotApp :,4467,*,*
AREA # 080503,Saw,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,13999,15370,29369
 Illiterate,669,1516,2185
 Total,14668,16886,31554
NotApp :,4278,*,*
AREA # 080551,Kyaukhtu(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,13236,15217,28453
 Illiterate,482,1168,1650
 Total,13718,16385,30103
NotApp :,2762,*,*
AREA # 090101,Aungmyetharzan,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,101132,115053,216185
 Illiterate,2720,6074,8794
 Total,103852,121127,224979
NotApp :,40800,*,*
AREA # 090102,Chanayeharzan,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,65984,80528,146512
 Illiterate,1286,2973,4259
 Total,67270,83501,150771
NotApp :,46404,*,*
AREA # 090103,Mahaaungmye,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,91127,103471,194598
 Illiterate,2661,5540,8201
 Total,93788,109011,202799
NotApp :,38314,*,*
AREA # 090104,Chanmyatharzi,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,111736,123540,235276
 Illiterate,3593,7666,11259
 Total,115329,131206,246535
NotApp :,37246,*,*
AREA # 090105,Pyigyidagun,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,94617,96625,191242
 Illiterate,2958,5819,8777
 Total,97575,102444,200019
NotApp :,37679,*,*
AREA # 090106,Amarapura,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,91262,102773,194035
 Illiterate,3629,7470,11099
 Total,94891,110243,205134
NotApp :,32484,*,*
AREA # 090107,Patheingyi,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,100062,105739,205801
 Illiterate,5566,11758,17324
 Total,105628,117497,223125
NotApp :,40600,*,*
AREA # 090201,Pyin Oo Lwin,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,97576,101672,199248
 Illiterate,3549,7376,10925
 Total,101125,109048,210173
NotApp :,45335,*,*
AREA # 090202,Madaya,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,100939,111256,212195
 Illiterate,5047,11234,16281
 Total,105986,122490,228476
NotApp :,29525,*,*
AREA # 090203,Sinku,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,63593,69107,132700
 Illiterate,2390,3963,6353
 Total,65983,73070,139053
NotApp :,18532,*,*
AREA # 090204,Mogok,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,62831,64873,127704
 Illiterate,5928,9441,15369
 Total,68759,74314,143073
NotApp :,24076,*,*
AREA # 090205,Thabeikkyin,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,48572,48052,96624
 Illiterate,2710,5048,7758
 Total,51282,53100,104382
NotApp :,23450,*,*
AREA # 090251,Tagaung,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,13740,14089,27829
 Illiterate,754,1435,2189
 Total,14494,15524,30018
NotApp :,5852,*,*
AREA # 090301,Kyaukse,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,103252,114247,217499
 Illiterate,3337,5564,8901
 Total,106589,119811,226400
NotApp :,31507,*,*
AREA # 090302,Singaing,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,57702,65723,123425
 Illiterate,2140,4176,6316
 Total,59842,69899,129741
NotApp :,19177,*,*
AREA # 090303,Myitthar,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,77732,85134,162866
 Illiterate,3614,9165,12779
 Total,81346,94299,175645
NotApp :,19984,*,*
AREA # 090304,Tada U,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,53983,62565,116548
 Illiterate,1971,5330,7301
 Total,55954,67895,123849
NotApp :,14768,*,*
AREA # 090401,Myingyan,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,102502,126932,229434
 Illiterate,4969,13494,18463
 Total,107471,140426,247897
NotApp :,28199,*,*
AREA # 090402,Taungtha,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,82175,100304,182479
 Illiterate,3645,9954,13599
 Total,85820,110258,196078
NotApp :,20564,*,*
AREA # 090403,Natogyi,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,69121,82811,151932
 Illiterate,2385,6107,8492
 Total,71506,88918,160424
NotApp :,16654,*,*
AREA # 090404,Kyaukpadaung,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,96704,116314,213018
 Illiterate,4495,17023,21518
 Total,101199,133337,234536
NotApp :,27372,*,*
AREA # 090405,Ngazun,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,47409,57136,104545
 Illiterate,2175,5185,7360
 Total,49584,62321,111905
NotApp :,12328,*,*
AREA # 090501,Nyaung U,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,74604,84910,159514
 Illiterate,4323,12252,16575
 Total,78927,97162,176089
NotApp :,22096,*,*
AREA # 090551,Ngat,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,15038,18721,33759
 Illiterate,1009,3423,4432
 Total,16047,22144,38191
NotApp :,3571,*,*
AREA # 090601,Yame`thin,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,93968,99575,193543
 Illiterate,5553,18863,24416
 Total,99521,118438,217959
NotApp :,40132,*,*
AREA # 090602,Pyawbwe,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,98728,109911,208639
 Illiterate,4869,19229,24098
 Total,103597,129140,232737
NotApp :,27556,*,*
AREA # 090701,Meiktila,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,112033,131473,243506
 Illiterate,4853,18194,23047
 Total,116886,149667,266553
NotApp :,43110,*,*
AREA # 090702,MahlYaing,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,53566,64166,117732
 Illiterate,1754,5524,7278
 Total,55320,69690,125010
NotApp :,14417,*,*
AREA # 090703,Thazi,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,76560,85525,162085
 Illiterate,3769,10751,14520
 Total,80329,96276,176605
NotApp :,26075,*,*
AREA # 090704,Wundwin,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,88930,99469,188399
 Illiterate,5105,14460,19565
 Total,94035,113929,207964
NotApp :,21796,*,*
AREA # 100101,Mawlamyine,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,108535,126057,234592
 Illiterate,4687,8515,13202
 Total,113222,134572,247794
NotApp :,41594,*,*
AREA # 100102,Kyaikemaraw,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,60425,66382,126807
 Illiterate,14265,22350,36615
 Total,74690,88732,163422
NotApp :,32388,*,*
AREA # 100103,Chaungzon,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,43542,54305,97847
 Illiterate,4664,6766,11430
 Total,48206,61071,109277
NotApp :,12849,*,*
AREA # 100104,Thanbyuzayat,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,60147,66988,127135
 Illiterate,8265,12051,20316
 Total,68412,79039,147451
NotApp :,23085,*,*
AREA # 100105,Mudon,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,68528,80883,149411
 Illiterate,5975,8230,14205
 Total,74503,89113,163616
NotApp :,27121,*,*
AREA # 100106,Ye,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,55694,56220,111914
 Illiterate,7563,11860,19423
 Total,63257,68080,131337
NotApp :,21148,*,*
AREA # 100151,Lamine,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,27665,30832,58497
 Illiterate,7024,10956,17980
 Total,34689,41788,76477
NotApp :,11999,*,*
AREA # 100152,Khawzar,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,6798,6863,13661
 Illiterate,2309,3362,5671
 Total,9107,10225,19332
NotApp :,3331,*,*
AREA # 100201,Thaton,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,84570,90778,175348
 Illiterate,11870,17251,29121
 Total,96440,108029,204469
NotApp :,33637,*,*
AREA # 100202,Paung,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,76150,82526,158676
 Illiterate,12877,18906,31783
 Total,89027,101432,190459
NotApp :,28000,*,*
AREA # 100203,Kyaikto,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,65592,71327,136919
 Illiterate,4632,7903,12535
 Total,70224,79230,149454
NotApp :,35078,*,*
AREA # 100204,Bilin,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,64372,69631,134003
 Illiterate,8614,13279,21893
 Total,72986,82910,155896
NotApp :,25179,*,*
AREA # 110101,Sittway,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,53418,60263,113681
 Illiterate,4724,10640,15364
 Total,58142,70903,129045
NotApp :,18854,*,*
AREA # 110102,Ponnagyun,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,48094,51190,99284
 Illiterate,4350,12789,17139
 Total,52444,63979,116423
NotApp :,13330,*,*
AREA # 110103,Pauktaw,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,54456,56751,111207
 Illiterate,5430,14640,20070
 Total,59886,71391,131277
NotApp :,14680,*,*
AREA # 110104,Yethedaung,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,39638,45353,84991
 Illiterate,4160,11939,16099
 Total,43798,57292,101090
NotApp :,10884,*,*
AREA # 110201,Myauk U,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,69759,76614,146373
 Illiterate,7139,17051,24190
 Total,76898,93665,170563
NotApp :,19067,*,*
AREA # 110202,Kyauktaw,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,61944,70435,132379
 Illiterate,6354,16759,23113
 Total,68298,87194,155492
NotApp :,17608,*,*
AREA # 110203,Minbya,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,60205,63617,123822
 Illiterate,8117,18788,26905
 Total,68322,82405,150727
NotApp :,18481,*,*
AREA # 110204,Myebon,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,50835,46017,96852
 Illiterate,5994,18508,24502
 Total,56829,64525,121354
NotApp :,15839,*,*
AREA # 110301,Maungtaw,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,10858,10051,20909
 Illiterate,4171,6307,10478
 Total,15029,16358,31387
NotApp :,6812,*,*
AREA # 110302,Buthidaung,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,16327,16219,32546
 Illiterate,5052,8617,13669
 Total,21379,24836,46215
NotApp :,9330,*,*
AREA # 110351,Taungpyoletwe(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,619,463,1082
 Illiterate,457,602,1059
 Total,1076,1065,2141
NotApp :,445,*,*
AREA # 110401,Kyaukpyu,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,57726,54715,112441
 Illiterate,7017,22520,29537
 Total,64743,77235,141978
NotApp :,23374,*,*
AREA # 110402,Mannaung,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,21213,27557,48770
 Illiterate,1052,2492,3544
 Total,22265,30049,52314
NotApp :,4652,*,*
AREA # 110403,Yanbye,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,36051,41339,77390
 Illiterate,2889,7357,10246
 Total,38940,48696,87636
NotApp :,10255,*,*
AREA # 110404,An,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,42671,39824,82495
 Illiterate,6537,14088,20625
 Total,49208,53912,103120
NotApp :,16594,*,*
AREA # 110501,Thandwe,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,51817,55615,107432
 Illiterate,2911,5361,8272
 Total,54728,60976,115704
NotApp :,17780,*,*
AREA # 110502,Toungup,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,44534,47335,91869
 Illiterate,3077,6092,9169
 Total,47611,53427,101038
NotApp :,13399,*,*
AREA # 110503,Gwa,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,17910,18262,36172
 Illiterate,821,1342,2163
 Total,18731,19604,38335
NotApp :,4099,*,*
AREA # 110551,Maei(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,17366,16636,34002
 Illiterate,1553,3574,5127
 Total,18919,20210,39129
NotApp :,4775,*,*
AREA # 110552,Kyeintali(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,9887,10587,20474
 Illiterate,481,700,1181
 Total,10368,11287,21655
NotApp :,1926,*,*
AREA # 120101,Insein,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,116322,134998,251320
 Illiterate,3117,5517,8634
 Total,119439,140515,259954
NotApp :,45329,*,*
AREA # 120102,Mingaladon,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,121214,139712,260926
 Illiterate,3118,5504,8622
 Total,124332,145216,269548
NotApp :,62038,*,*
AREA # 120103,Hmawby,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,95766,102693,198459
 Illiterate,4475,7939,12414
 Total,100241,110632,210873
NotApp :,33734,*,*
AREA # 120104,Hlegu,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,101454,107817,209271
 Illiterate,5892,9962,15854
 Total,107346,117779,225125
NotApp :,45616,*,*
AREA # 120105,Taikkyi,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,111131,118141,229272
 Illiterate,6134,11286,17420
 Total,117265,129427,246692
NotApp :,30576,*,*
AREA # 120106,Htantabin,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,60113,62134,122247
 Illiterate,3001,4877,7878
 Total,63114,67011,130125
NotApp :,15667,*,*
AREA # 120107,Shwepyitha,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,137120,151806,288926
 Illiterate,4757,8335,13092
 Total,141877,160141,302018
NotApp :,41508,*,*
AREA # 120108,Hlinethaya,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,272767,308083,580850
 Illiterate,10330,17863,28193
 Total,283097,325946,609043
NotApp :,78824,*,*
AREA # 120201,Thingangyun,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,84445,97590,182035
 Illiterate,2456,4804,7260
 Total,86901,102394,189295
NotApp :,20191,*,*
AREA # 120202,Yankin,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,27274,34206,61480
 Illiterate,584,1283,1867
 Total,27858,35489,63347
NotApp :,7599,*,*
AREA # 120203,South Okkalapa,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,65049,77344,142393
 Illiterate,1054,2262,3316
 Total,66103,79606,145709
NotApp :,15417,*,*
AREA # 120204,North Okkalapa,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,133177,150800,283977
 Illiterate,3139,5817,8956
 Total,136316,156617,292933
NotApp :,40360,*,*
AREA # 120205,Thakayta,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,92063,100680,192743
 Illiterate,2211,4523,6734
 Total,94274,105203,199477
NotApp :,21079,*,*
AREA # 120206,Dawbon,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,30548,33244,63792
 Illiterate,1234,2239,3473
 Total,31782,35483,67265
NotApp :,8060,*,*
AREA # 120207,Tamway,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,63519,81107,144626
 Illiterate,1151,2273,3424
 Total,64670,83380,148050
NotApp :,17263,*,*
AREA # 120208,Pazuntaung,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,18447,23523,41970
 Illiterate,354,834,1188
 Total,18801,24357,43158
NotApp :,5297,*,*
AREA # 120209,Botahtaung,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,15286,18587,33873
 Illiterate,248,559,807
 Total,15534,19146,34680
NotApp :,6315,*,*
AREA # 120210,Dagon Myothit(South),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,150894,160001,310895
 Illiterate,6549,11889,18438
 Total,157443,171890,329333
NotApp :,42313,*,*
AREA # 120211,Dagon Myothit(North),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,86289,97407,183696
 Illiterate,1861,3100,4961
 Total,88150,100507,188657
NotApp :,15291,*,*
AREA # 120212,Dagon Myothit(East),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,65441,70044,135485
 Illiterate,2678,4569,7247
 Total,68119,74613,142732
NotApp :,22896,*,*
AREA # 120213,Dagon Myothit(Seik),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,66717,68456,135173
 Illiterate,3574,5878,9452
 Total,70291,74334,144625
NotApp :,22823,*,*
AREA # 120214,Mingala Taungnyunt,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,52875,61386,114261
 Illiterate,1273,2543,3816
 Total,54148,63929,118077
NotApp :,14417,*,*
AREA # 120301,Thanlyin,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,106922,116759,223681
 Illiterate,3577,5418,8995
 Total,110499,122177,232676
NotApp :,35387,*,*
AREA # 120302,Kyauktan,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,53574,57858,111432
 Illiterate,2561,4133,6694
 Total,56135,61991,118126
NotApp :,14639,*,*
AREA # 120303,Thongwa,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,62385,68403,130788
 Illiterate,4639,7211,11850
 Total,67024,75614,142638
NotApp :,15238,*,*
AREA # 120304,Khayan,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,64346,71445,135791
 Illiterate,2568,4223,6791
 Total,66914,75668,142582
NotApp :,15437,*,*
AREA # 120305,Twantay,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,91722,96275,187997
 Illiterate,5221,7804,13025
 Total,96943,104079,201022
NotApp :,25814,*,*
AREA # 120306,Kawhmu,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,48216,51662,99878
 Illiterate,2639,3886,6525
 Total,50855,55548,106403
NotApp :,12647,*,*
AREA # 120307,Kungyangon,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,46724,51158,97882
 Illiterate,1006,1391,2397
 Total,47730,52549,100279
NotApp :,11353,*,*
AREA # 120308,Dala,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,69551,72166,141717
 Illiterate,4885,7999,12884
 Total,74436,80165,154601
NotApp :,18256,*,*
AREA # 120309,Seikkyi/Khanaungto,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,14204,14532,28736
 Illiterate,513,812,1325
 Total,14717,15344,30061
NotApp :,3942,*,*
AREA # 120310,Cocogyun,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,508,442,950
 Illiterate,38,48,86
 Total,546,490,1036
NotApp :,904,*,*
AREA # 120351,Tada(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,14289,15048,29337
 Illiterate,812,1257,2069
 Total,15101,16305,31406
NotApp :,3277,*,*
AREA # 120401,Kyauktada,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,10463,13507,23970
 Illiterate,179,470,649
 Total,10642,13977,24619
NotApp :,5234,*,*
AREA # 120402,Pabedan,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,12907,15772,28679
 Illiterate,301,675,976
 Total,13208,16447,29655
NotApp :,3681,*,*
AREA # 120403,Lanmadaw,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,14373,20090,34463
 Illiterate,182,411,593
 Total,14555,20501,35056
NotApp :,12104,*,*
AREA # 120404,Latha,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,7251,9853,17104
 Illiterate,104,356,460
 Total,7355,10209,17564
NotApp :,7493,*,*
AREA # 120405,Ahlon,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,19778,25429,45207
 Illiterate,345,702,1047
 Total,20123,26131,46254
NotApp :,9228,*,*
AREA # 120406,Kyimyindine,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,43769,50561,94330
 Illiterate,1641,3150,4791
 Total,45410,53711,99121
NotApp :,12393,*,*
AREA # 120407,Sangyoung,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,34560,47364,81924
 Illiterate,482,984,1466
 Total,35042,48348,83390
NotApp :,16229,*,*
AREA # 120408,Hline,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,62004,74018,136022
 Illiterate,1133,2309,3442
