Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
 Grade 5,586,33565,34151
 Grade 6,250,7115,7365
 Grade 7,182,5532,5714
 Grade 8,197,5162,5359
 Grade 9,279,5161,5440
 Grade 10,297,3558,3855
 Grade 11,507,4624,5131
 College,201,1829,2030
 Vocational training,4,170,174
 Undergraduate diploma,13,378,391
 Graduate,665,3341,4006
 Postgraduate diploma,7,89,96
 Master degree,11,66,77
 PhD,1,1,2
 Other,4,969,973
 Total,3846,127850,131696
NotApp :,12310,*,*
AREA # 050904,Kani,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,330,12623,12953
 Grade 1,156,4204,4360
 Grade 2,170,5372,5542
 Grade 3,244,8284,8528
 Grade 4,512,14958,15470
 Grade 5,405,32974,33379
 Grade 6,267,7301,7568
 Grade 7,269,6278,6547
 Grade 8,278,6522,6800
 Grade 9,423,5437,5860
 Grade 10,304,6922,7226
 Grade 11,260,1865,2125
 College,186,1780,1966
 Vocational training,20,90,110
 Undergraduate diploma,20,128,148
 Graduate,697,3028,3725
 Postgraduate diploma,6,63,69
 Master degree,8,57,65
 PhD,1,2,3
 Other,1,709,710
 Total,4557,118597,123154
NotApp :,11387,*,*
AREA # 060101,Dawei,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,3777,4355,8132
 Grade 1,2066,1845,3911
 Grade 2,2756,2604,5360
 Grade 3,4123,3406,7529
 Grade 4,6223,4682,10905
 Grade 5,11730,9736,21466
 Grade 6,4998,2791,7789
 Grade 7,4210,2144,6354
 Grade 8,4539,2161,6700
 Grade 9,5389,1892,7281
 Grade 10,4402,1317,5719
 Grade 11,7732,1725,9457
 College,2851,578,3429
 Vocational training,168,30,198
 Undergraduate diploma,271,80,351
 Graduate,8412,1264,9676
 Postgraduate diploma,286,72,358
 Master degree,211,38,249
 PhD,47,7,54
 Other,211,283,494
 Total,74402,41010,115412
NotApp :,10193,*,*
AREA # 060102,Lounglon,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,411,10678,11089
 Grade 1,180,6287,6467
 Grade 2,322,8662,8984
 Grade 3,428,11035,11463
 Grade 4,506,13711,14217
 Grade 5,767,21476,22243
 Grade 6,316,6462,6778
 Grade 7,268,4884,5152
 Grade 8,257,4756,5013
 Grade 9,287,4240,4527
 Grade 10,157,2769,2926
 Grade 11,377,2528,2905
 College,141,1151,1292
 Vocational training,2,40,42
 Undergraduate diploma,7,134,141
 Graduate,468,2368,2836
 Postgraduate diploma,11,86,97
 Master degree,4,80,84
 PhD,-,54,54
 Other,10,387,397
 Total,4919,101788,106707
NotApp :,11610,*,*
AREA # 060103,Thayetchaung,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,426,5960,6386
 Grade 1,354,5446,5800
 Grade 2,507,6367,6874
 Grade 3,683,8578,9261
 Grade 4,988,11233,12221
 Grade 5,2199,19026,21225
 Grade 6,741,5852,6593
 Grade 7,688,4478,5166
 Grade 8,770,4444,5214
 Grade 9,768,4524,5292
 Grade 10,413,2410,2823
 Grade 11,855,3312,4167
 College,170,904,1074
 Vocational training,16,44,60
 Undergraduate diploma,38,119,157
 Graduate,744,1906,2650
 Postgraduate diploma,31,114,145
 Master degree,23,18,41
 PhD,1,1,2
 Other,4,148,152
 Total,10419,84884,95303
NotApp :,10359,*,*
AREA # 060104,Yebyu,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,310,15881,16191
 Grade 1,146,4027,4173
 Grade 2,213,6045,6258
 Grade 3,339,8129,8468
 Grade 4,443,9477,9920
 Grade 5,821,15550,16371
 Grade 6,294,5544,5838
 Grade 7,238,4070,4308
 Grade 8,260,3819,4079
 Grade 9,231,3459,3690
 Grade 10,208,2372,2580
 Grade 11,310,3014,3324
 College,121,1011,1132
 Vocational training,14,96,110
 Undergraduate diploma,7,150,157
 Graduate,337,2101,2438
 Postgraduate diploma,5,40,45
 Master degree,2,42,44
 PhD,1,4,5
 Other,56,1162,1218
 Total,4356,85993,90349
NotApp :,10419,*,*
AREA # 060151,Myitta(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,214,2224,2438
 Grade 1,233,1096,1329
 Grade 2,245,1128,1373
 Grade 3,291,1739,2030
 Grade 4,322,1688,2010
 Grade 5,475,2906,3381
 Grade 6,243,1110,1353
 Grade 7,184,783,967
 Grade 8,146,697,843
 Grade 9,154,705,859
 Grade 10,103,456,559
 Grade 11,172,687,859
 College,28,145,173
 Vocational training,3,11,14
 Undergraduate diploma,12,7,19
 Graduate,71,249,320
 Postgraduate diploma,1,8,9
 Master degree,2,6,8
 Other,4,39,43
 Total,2903,15684,18587
NotApp :,2772,*,*
AREA # 060152,Kaleinaung(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,259,3250,3509
 Grade 1,87,1080,1167
 Grade 2,150,1370,1520
 Grade 3,232,1873,2105
 Grade 4,279,2082,2361
 Grade 5,483,2604,3087
 Grade 6,202,962,1164
 Grade 7,161,752,913
 Grade 8,188,730,918
 Grade 9,152,639,791
 Grade 10,153,455,608
 Grade 11,211,416,627
 College,60,144,204
 Vocational training,9,4,13
 Undergraduate diploma,3,10,13
 Graduate,155,259,414
 Postgraduate diploma,1,3,4
 Master degree,7,7,14
 PhD,-,1,1
 Other,54,58,112
 Total,2846,16699,19545
NotApp :,2320,*,*
AREA # 060201,Myeik,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,5547,11054,16601
 Grade 1,2959,6644,9603
 Grade 2,4043,8711,12754
 Grade 3,6000,12967,18967
 Grade 4,8856,16917,25773
 Grade 5,14773,29112,43885
 Grade 6,8492,12340,20832
 Grade 7,6946,9709,16655
 Grade 8,7423,9372,16795
 Grade 9,8678,9838,18516
 Grade 10,8461,7525,15986
 Grade 11,9680,7888,17568
 College,3170,2549,5719
 Vocational training,195,102,297
 Undergraduate diploma,240,259,499
 Graduate,9702,5145,14847
 Postgraduate diploma,224,120,344
 Master degree,116,191,307
 PhD,22,71,93
 Other,169,849,1018
 Total,105696,151363,257059
NotApp :,27430,*,*
AREA # 060202,Kyunsu,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,210,19331,19541
 Grade 1,161,9502,9663
 Grade 2,207,11172,11379
 Grade 3,333,15412,15745
 Grade 4,434,19678,20112
 Grade 5,554,25586,26140
 Grade 6,364,9973,10337
 Grade 7,289,7367,7656
 Grade 8,363,7061,7424
 Grade 9,437,6975,7412
 Grade 10,577,4449,5026
 Grade 11,478,3676,4154
 College,183,978,1161
 Vocational training,1,26,27
 Undergraduate diploma,8,100,108
 Graduate,420,1696,2116
 Postgraduate diploma,3,32,35
 Master degree,4,18,22
 PhD,1,1,2
 Other,26,2135,2161
 Total,5053,145168,150221
NotApp :,21532,*,*
AREA # 060203,Palaw,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1019,5876,6895
 Grade 1,687,3363,4050
 Grade 2,809,3999,4808
 Grade 3,1433,5528,6961
 Grade 4,2058,8505,10563
 Grade 5,2446,12632,15078
 Grade 6,1379,5302,6681
 Grade 7,1158,3963,5121
 Grade 8,1188,3868,5056
 Grade 9,1069,3592,4661
 Grade 10,1245,2595,3840
 Grade 11,1072,2895,3967
 College,379,719,1098
 Vocational training,18,457,475
 Undergraduate diploma,34,152,186
 Graduate,1225,1615,2840
 Postgraduate diploma,35,95,130
 Master degree,11,18,29
 PhD,1,-,1
 Other,50,1147,1197
 Total,17316,66321,83637
NotApp :,9801,*,*
AREA # 060204,Tanintharyi,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,215,10791,11006
 Grade 1,181,5170,5351
 Grade 2,223,6704,6927
 Grade 3,354,9090,9444
 Grade 4,527,11264,11791
 Grade 5,605,13723,14328
 Grade 6,416,6693,7109
 Grade 7,297,4937,5234
 Grade 8,396,4881,5277
 Grade 9,380,4427,4807
 Grade 10,438,3811,4249
 Grade 11,392,3581,3973
 College,159,907,1066
 Vocational training,1,31,32
 Undergraduate diploma,71,114,185
 Graduate,405,1445,1850
 Postgraduate diploma,9,53,62
 Master degree,1,25,26
 PhD,-,1,1
 Other,44,1466,1510
 Total,5114,89114,94228
NotApp :,12625,*,*
AREA # 060251,Palauk(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,551,3357,3908
 Grade 1,439,1904,2343
 Grade 2,415,2299,2714
 Grade 3,503,2866,3369
 Grade 4,624,3334,3958
 Grade 5,832,5110,5942
 Grade 6,398,1860,2258
 Grade 7,288,1314,1602
 Grade 8,266,1201,1467
 Grade 9,325,1197,1522
 Grade 10,243,754,997
 Grade 11,360,749,1109
 College,93,245,338
 Vocational training,-,7,7
 Undergraduate diploma,12,25,37
 Graduate,168,416,584
 Postgraduate diploma,7,39,46
 Master degree,1,21,22
 PhD,-,1,1
 Other,-,28,28
 Total,5525,26727,32252
NotApp :,4302,*,*
AREA # 060301,Kawthoung,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2913,7225,10138
 Grade 1,1883,2770,4653
 Grade 2,2542,3920,6462
 Grade 3,3755,5800,9555
 Grade 4,5773,6241,12014
 Grade 5,7499,9074,16573
 Grade 6,4340,4263,8603
 Grade 7,3545,2840,6385
 Grade 8,3971,2620,6591
 Grade 9,4099,2563,6662
 Grade 10,3209,1645,4854
 Grade 11,4655,1958,6613
 College,1136,454,1590
 Vocational training,41,16,57
 Undergraduate diploma,155,56,211
 Graduate,2851,767,3618
 Postgraduate diploma,72,18,90
 Master degree,27,33,60
 PhD,4,8,12
 Other,69,360,429
 Total,52539,52631,105170
NotApp :,11810,*,*
AREA # 060302,Bokepyin,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,352,5231,5583
 Grade 1,183,1922,2105
 Grade 2,213,2768,2981
 Grade 3,362,3628,3990
 Grade 4,399,4109,4508
 Grade 5,683,5898,6581
 Grade 6,414,2969,3383
 Grade 7,313,1960,2273
 Grade 8,305,1819,2124
 Grade 9,375,1904,2279
 Grade 10,212,1145,1357
 Grade 11,569,1465,2034
 College,151,375,526
 Vocational training,4,10,14
 Undergraduate diploma,29,45,74
 Graduate,305,539,844
 Postgraduate diploma,12,21,33
 Master degree,2,17,19
 PhD,2,-,2
 Other,6,422,428
 Total,4891,36247,41138
NotApp :,5683,*,*
AREA # 060351,Khamaukgyi,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1390,1324,2714
 Grade 1,392,685,1077
 Grade 2,541,700,1241
 Grade 3,991,1195,2186
 Grade 4,905,1377,2282
 Grade 5,1722,2226,3948
 Grade 6,819,832,1651
 Grade 7,482,598,1080
 Grade 8,448,476,924
 Grade 9,515,532,1047
 Grade 10,291,284,575
 Grade 11,452,378,830
 College,124,61,185
 Vocational training,6,6,12
 Undergraduate diploma,25,22,47
 Graduate,302,157,459
 Postgraduate diploma,3,7,10
 Master degree,9,3,12
 Other,5,12,17
 Total,9422,10875,20297
NotApp :,2743,*,*
AREA # 060352,Pyigyimandaing,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,277,1803,2080
 Grade 1,138,647,785
 Grade 2,300,743,1043
 Grade 3,301,1212,1513
 Grade 4,351,1301,1652
 Grade 5,446,2053,2499
 Grade 6,240,715,955
 Grade 7,204,562,766
 Grade 8,194,447,641
 Grade 9,208,618,826
 Grade 10,220,351,571
 Grade 11,194,462,656
 College,52,133,185
 Vocational training,2,8,10
 Undergraduate diploma,2,18,20
 Graduate,122,134,256
 Postgraduate diploma,3,9,12
 Master degree,5,2,7
 Other,2,12,14
 Total,3261,11230,14491
NotApp :,2113,*,*
AREA # 060353,Karathuri(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,67,1311,1378
 Grade 1,49,772,821
 Grade 2,95,1034,1129
 Grade 3,115,1549,1664
 Grade 4,123,2148,2271
 Grade 5,219,2878,3097
 Grade 6,100,1379,1479
 Grade 7,82,922,1004
 Grade 8,63,788,851
 Grade 9,79,749,828
 Grade 10,42,493,535
 Grade 11,106,423,529
 College,35,134,169
 Vocational training,-,1,1
 Undergraduate diploma,6,26,32
 Graduate,83,209,292
 Postgraduate diploma,2,7,9
 Master degree,7,4,11
 Other,-,87,87
 Total,1273,14914,16187
NotApp :,2106,*,*
AREA # 070101,Bago,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,21321,30926,52247
 Grade 1,6404,8327,14731
 Grade 2,9843,13470,23313
 Grade 3,14400,20373,34773
 Grade 4,22050,24540,46590
 Grade 5,32238,44719,76957
 Grade 6,15832,13502,29334
 Grade 7,13520,10128,23648
 Grade 8,15066,10112,25178
 Grade 9,16709,10162,26871
 Grade 10,18523,7919,26442
 Grade 11,17790,9525,27315
 College,7102,2867,9969
 Vocational training,229,124,353
 Undergraduate diploma,1138,384,1522
 Graduate,21745,5914,27659
 Postgraduate diploma,531,124,655
 Master degree,430,130,560
 PhD,95,12,107
 Other,211,260,471
 Total,235177,213518,448695
NotApp :,42739,*,*
AREA # 070102,Tanatpin,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1198,13354,14552
 Grade 1,556,6025,6581
 Grade 2,869,8474,9343
 Grade 3,1094,12514,13608
 Grade 4,1381,13908,15289
 Grade 5,2338,25240,27578
 Grade 6,945,6313,7258
 Grade 7,754,4818,5572
 Grade 8,772,4391,5163
 Grade 9,757,4323,5080
 Grade 10,807,2512,3319
 Grade 11,895,3187,4082
 College,407,945,1352
 Vocational training,6,55,61
 Undergraduate diploma,25,141,166
 Graduate,1134,1794,2928
 Postgraduate diploma,34,39,73
 Master degree,13,14,27
 PhD,3,2,5
 Other,382,7647,8029
 Total,14370,115696,130066
NotApp :,15221,*,*
AREA # 070103,Kawa,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1248,19554,20802
 Grade 1,457,6322,6779
 Grade 2,689,9002,9691
 Grade 3,1139,14387,15526
 Grade 4,1423,18001,19424
 Grade 5,3076,43119,46195
 Grade 6,1211,10514,11725
 Grade 7,833,8163,8996
 Grade 8,917,7356,8273
 Grade 9,883,7355,8238
 Grade 10,749,4533,5282
 Grade 11,1267,6730,7997
 College,451,1692,2143
 Vocational training,12,68,80
 Undergraduate diploma,44,162,206
 Graduate,1217,3092,4309
 Postgraduate diploma,13,29,42
 Master degree,6,23,29
 PhD,1,-,1
 Other,336,1959,2295
 Total,15972,162061,178033
NotApp :,19330,*,*
AREA # 070104,Waw,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2185,10378,12563
 Grade 1,752,6221,6973
 Grade 2,1159,9036,10195
 Grade 3,1737,14701,16438
 Grade 4,1945,16697,18642
 Grade 5,3601,30602,34203
 Grade 6,1325,9110,10435
 Grade 7,1062,7070,8132
 Grade 8,1012,6284,7296
 Grade 9,1147,6103,7250
 Grade 10,960,3497,4457
 Grade 11,1663,5059,6722
 College,529,1430,1959
 Vocational training,39,44,83
 Undergraduate diploma,95,123,218
 Graduate,1558,2422,3980
 Postgraduate diploma,28,59,87
 Master degree,24,22,46
 PhD,2,7,9
 Other,110,7646,7756
 Total,20933,136511,157444
NotApp :,18570,*,*
AREA # 070105,Nyaunglebin,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,3317,10902,14219
 Grade 1,1735,5284,7019
 Grade 2,2602,7603,10205
 Grade 3,3811,12381,16192
 Grade 4,4771,15885,20656
 Grade 5,9192,30096,39288
 Grade 6,3324,8225,11549
 Grade 7,2895,6970,9865
 Grade 8,3197,6667,9864
 Grade 9,3632,6233,9865
 Grade 10,3640,4380,8020
 Grade 11,5202,6227,11429
 College,1470,1545,3015
 Vocational training,98,62,160
 Undergraduate diploma,165,247,412
 Graduate,4551,2850,7401
 Postgraduate diploma,116,86,202
 Master degree,35,29,64
 PhD,5,1,6
 Other,335,1106,1441
 Total,54093,126779,180872
NotApp :,18611,*,*
AREA # 070106,Kyauktaga,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2950,30676,33626
 Grade 1,803,9749,10552
 Grade 2,1174,13049,14223
 Grade 3,1744,19329,21073
 Grade 4,2139,21092,23231
 Grade 5,4278,35894,40172
 Grade 6,1972,13546,15518
 Grade 7,1586,10733,12319
 Grade 8,1882,10111,11993
 Grade 9,2189,9542,11731
 Grade 10,1618,6780,8398
 Grade 11,3142,8842,11984
 College,888,1764,2652
 Vocational training,27,65,92
 Undergraduate diploma,75,264,339
 Graduate,2268,3656,5924
 Postgraduate diploma,66,62,128
 Master degree,14,22,36
 PhD,3,4,7
 Other,116,1632,1748
 Total,28934,196812,225746
NotApp :,25466,*,*
AREA # 070107,Daik U,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,3277,17781,21058
 Grade 1,1059,6191,7250
 Grade 2,1273,8880,10153
 Grade 3,2334,14554,16888
 Grade 4,2839,17359,20198
 Grade 5,5096,30269,35365
 Grade 6,2295,10148,12443
 Grade 7,1987,8270,10257
 Grade 8,2068,7367,9435
 Grade 9,2357,7274,9631
 Grade 10,2001,4693,6694
 Grade 11,3094,6493,9587
 College,905,1671,2576
 Vocational training,111,328,439
 Undergraduate diploma,129,276,405
 Graduate,2564,3134,5698
 Postgraduate diploma,31,42,73
 Master degree,22,26,48
 PhD,5,3,8
 Other,1681,2813,4494
 Total,35128,147572,182700
NotApp :,19830,*,*
AREA # 070108,Shwegyin,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1425,8885,10310
 Grade 1,926,3989,4915
 Grade 2,1180,5598,6778
 Grade 3,1770,8608,10378
 Grade 4,2223,9403,11626
 Grade 5,3043,13977,17020
 Grade 6,1550,4829,6379
 Grade 7,1242,3527,4769
 Grade 8,1360,3238,4598
 Grade 9,1474,3063,4537
 Grade 10,1347,2327,3674
 Grade 11,2272,3081,5353
 College,708,703,1411
 Vocational training,26,41,67
 Undergraduate diploma,92,99,191
 Graduate,1456,1055,2511
 Postgraduate diploma,26,6,32
 Master degree,30,12,42
 PhD,13,18,31
 Other,36,580,616
 Total,22199,73039,95238
NotApp :,12224,*,*
AREA # 070201,Toungoo,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,5341,17412,22753
 Grade 1,2089,5643,7732
 Grade 2,3120,8238,11358
 Grade 3,4531,13220,17751
 Grade 4,6647,16181,22828
 Grade 5,12352,31032,43384
 Grade 6,6491,8519,15010
 Grade 7,5775,6650,12425
 Grade 8,7022,6395,13417
 Grade 9,7928,6549,14477
 Grade 10,8629,5335,13964
 Grade 11,11787,5987,17774
 College,6147,2251,8398
 Vocational training,517,134,651
 Undergraduate diploma,634,214,848
 Graduate,11258,3657,14915
 Postgraduate diploma,255,97,352
 Master degree,280,170,450
 PhD,56,28,84
 Other,121,304,425
 Total,100980,138016,238996
NotApp :,23060,*,*
AREA # 070202,Yaedashe,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1497,23374,24871
 Grade 1,491,6903,7394
 Grade 2,853,9856,10709
 Grade 3,1149,15100,16249
 Grade 4,1951,21992,23943
 Grade 5,2844,32726,35570
 Grade 6,1562,11244,12806
 Grade 7,1400,9142,10542
 Grade 8,1498,8668,10166
 Grade 9,1715,8078,9793
 Grade 10,2259,7800,10059
 Grade 11,1982,6646,8628
 College,892,2319,3211
 Vocational training,47,244,291
 Undergraduate diploma,78,433,511
 Graduate,2161,5026,7187
 Postgraduate diploma,52,100,152
 Master degree,27,56,83
 PhD,2,7,9
 Other,104,492,596
 Total,22564,170206,192770
NotApp :,20823,*,*
AREA # 070203,Kyaukkyi,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,709,13873,14582
 Grade 1,397,4970,5367
 Grade 2,490,7224,7714
 Grade 3,828,9893,10721
 Grade 4,874,10922,11796
 Grade 5,1678,16719,18397
 Grade 6,673,6160,6833
 Grade 7,577,4476,5053
 Grade 8,618,4121,4739
 Grade 9,564,3713,4277
 Grade 10,628,2856,3484
 Grade 11,732,3075,3807
 College,246,829,1075
 Vocational training,2,22,24
 Undergraduate diploma,25,127,152
 Graduate,548,1432,1980
 Postgraduate diploma,6,27,33
 Master degree,4,25,29
 PhD,-,2,2
 Other,237,586,823
 Total,9836,91052,100888
NotApp :,12441,*,*
AREA # 070204,Pyu,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,4780,26831,31611
 Grade 1,1416,7176,8592
 Grade 2,2372,9713,12085
 Grade 3,3334,14199,17533
 Grade 4,5010,19461,24471
 Grade 5,7698,32870,40568
 Grade 6,4037,12145,16182
 Grade 7,3537,10269,13806
 Grade 8,3824,9788,13612
 Grade 9,4504,9851,14355
 Grade 10,4718,7038,11756
 Grade 11,5816,6730,12546
 College,1815,1822,3637
 Vocational training,125,96,221
 Undergraduate diploma,258,283,541
 Graduate,4660,3312,7972
 Postgraduate diploma,67,41,108
 Master degree,42,25,67
 PhD,3,1,4
 Other,478,1892,2370
 Total,58494,173543,232037
NotApp :,25236,*,*
AREA # 070205,Oatwin,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1043,15961,17004
 Grade 1,411,6350,6761
 Grade 2,713,9256,9969
 Grade 3,942,13570,14512
 Grade 4,1463,17633,19096
 Grade 5,1869,26223,28092
 Grade 6,823,7520,8343
 Grade 7,694,6446,7140
 Grade 8,781,6175,6956
 Grade 9,846,5473,6319
 Grade 10,712,4724,5436
 Grade 11,1179,5345,6524
 College,447,1743,2190
 Vocational training,12,95,107
 Undergraduate diploma,35,226,261
 Graduate,849,3306,4155
 Postgraduate diploma,36,107,143
 Master degree,15,69,84
 PhD,1,4,5
 Other,10,979,989
 Total,12881,131205,144086
NotApp :,15742,*,*
AREA # 070206,Htantapin,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,658,11500,12158
 Grade 1,259,4494,4753
 Grade 2,369,6589,6958
 Grade 3,671,9992,10663
 Grade 4,878,12404,13282
 Grade 5,1599,19593,21192
 Grade 6,672,6612,7284
 Grade 7,533,5373,5906
 Grade 8,592,4816,5408
 Grade 9,475,4555,5030
 Grade 10,503,3169,3672
 Grade 11,741,3766,4507
 College,305,942,1247
 Vocational training,8,32,40
 Undergraduate diploma,24,163,187
 Graduate,778,1742,2520
 Postgraduate diploma,7,41,48
 Master degree,7,25,32
 PhD,2,2,4
 Other,4,441,445
 Total,9085,96251,105336
NotApp :,11940,*,*
AREA # 070301,Pyay,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,7120,9301,16421
 Grade 1,3734,2554,6288
 Grade 2,5331,4901,10232
 Grade 3,6973,7243,14216
 Grade 4,16685,18674,35359
 Grade 5,12931,28813,41744
 Grade 6,6569,5785,12354
 Grade 7,7620,5396,13016
 Grade 8,9518,5682,15200
 Grade 9,9377,5238,14615
 Grade 10,14303,6965,21268
 Grade 11,3836,1468,5304
 College,4901,2684,7585
 Vocational training,588,104,692
 Undergraduate diploma,779,170,949
 Graduate,14893,4224,19117
 Postgraduate diploma,332,128,460
 Master degree,515,85,600
 PhD,136,11,147
 Other,166,167,333
 Total,126307,109593,235900
NotApp :,15743,*,*
AREA # 070302,Paukkhaung,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,452,8741,9193
 Grade 1,321,3733,4054
 Grade 2,381,6784,7165
 Grade 3,690,10503,11193
 Grade 4,1187,15223,16410
 Grade 5,2933,33974,36907
 Grade 6,770,5219,5989
 Grade 7,819,4303,5122
 Grade 8,821,3622,4443
 Grade 9,886,3449,4335
 Grade 10,1503,3023,4526
 Grade 11,368,1114,1482
 College,462,792,1254
 Vocational training,44,74,118
 Undergraduate diploma,54,108,162
 Graduate,1391,1620,3011
 Postgraduate diploma,16,26,42
 Master degree,15,11,26
 PhD,2,1,3
 Other,2,102,104
 Total,13117,102422,115539
NotApp :,9317,*,*
AREA # 070303,Padaung,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,933,10560,11493
 Grade 1,587,3752,4339
 Grade 2,900,6987,7887
 Grade 3,1000,10115,11115
 Grade 4,3130,21534,24664
 Grade 5,1450,18955,20405
 Grade 6,839,5993,6832
 Grade 7,987,5734,6721
 Grade 8,1285,6767,8052
 Grade 9,1047,7134,8181
 Grade 10,1807,10335,12142
 Grade 11,455,2328,2783
 College,455,1495,1950
 Vocational training,20,146,166
 Undergraduate diploma,63,286,349
 Graduate,1418,4399,5817
 Postgraduate diploma,23,70,93
 Master degree,11,69,80
 PhD,4,6,10
 Other,51,1260,1311
 Total,16465,117925,134390
NotApp :,9824,*,*
AREA # 070304,Paunde,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1528,14197,15725
 Grade 1,536,3830,4366
 Grade 2,1020,6546,7566
 Grade 3,1283,9399,10682
 Grade 4,4409,24361,28770
 Grade 5,2647,21490,24137
 Grade 6,1128,4652,5780
 Grade 7,1477,4530,6007
 Grade 8,1738,4461,6199
 Grade 9,2012,3469,5481
 Grade 10,2558,3677,6235
 Grade 11,596,719,1315
 College,549,852,1401
 Vocational training,59,55,114
 Undergraduate diploma,80,87,167
 Graduate,2269,1927,4196
 Postgraduate diploma,41,24,65
 Master degree,17,9,26
 PhD,-,1,1
 Other,8,168,176
 Total,23955,104454,128409
NotApp :,9152,*,*
AREA # 070305,Thegon,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,577,5843,6420
 Grade 1,413,2940,3353
 Grade 2,599,5128,5727
 Grade 3,824,8365,9189
 Grade 4,2505,20065,22570
 Grade 5,2279,32642,34921
 Grade 6,834,5564,6398
 Grade 7,898,5154,6052
 Grade 8,1045,5438,6483
 Grade 9,1140,4392,5532
 Grade 10,1358,5148,6506
 Grade 11,350,1535,1885
 College,404,1082,1486
 Vocational training,73,105,178
 Undergraduate diploma,69,242,311
 Graduate,1438,3102,4540
 Postgraduate diploma,15,82,97
 Master degree,7,32,39
 PhD,2,4,6
 Other,19,1522,1541
 Total,14849,108385,123234
NotApp :,7723,*,*
AREA # 070306,Shwedaung,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,494,7339,7833
 Grade 1,465,3090,3555
 Grade 2,676,5789,6465
 Grade 3,825,8741,9566
 Grade 4,2296,19448,21744
 Grade 5,2331,21929,24260
 Grade 6,873,4961,5834
 Grade 7,899,4553,5452
 Grade 8,1384,5028,6412
 Grade 9,1392,4363,5755
 Grade 10,2212,5318,7530
 Grade 11,266,1022,1288
 College,472,1114,1586
 Vocational training,32,78,110
 Undergraduate diploma,94,141,235
 Graduate,1814,2983,4797
 Postgraduate diploma,41,55,96
 Master degree,36,34,70
 PhD,8,27,35
 Other,9,1054,1063
 Total,16619,97067,113686
NotApp :,7985,*,*
AREA # 070401,Tharyarwaddy,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2282,11707,13989
 Grade 1,1250,5251,6501
 Grade 2,1752,8963,10715
 Grade 3,2078,10396,12474
 Grade 4,5681,23680,29361
 Grade 5,2646,18981,21627
 Grade 6,1877,5146,7023
 Grade 7,2099,4756,6855
 Grade 8,2586,4593,7179
 Grade 9,2645,3618,6263
 Grade 10,3153,3655,6808
 Grade 11,770,1050,1820
 College,909,870,1779
 Vocational training,62,36,98
 Undergraduate diploma,97,128,225
 Graduate,3200,1606,4806
 Postgraduate diploma,47,32,79
 Master degree,34,11,45
 PhD,4,3,7
 Other,93,278,371
 Total,33265,104760,138025
NotApp :,13079,*,*
AREA # 070402,Letpadan,*,*
