Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,3606,3606
 Rural,158,28583,28741
 Total,158,32189,32347
NotApp :,302,*,*
AREA # 070303,Padaung,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,19,4449,4468
 Rural,277,34147,34424
 Total,296,38596,38892
NotApp :,412,*,*
AREA # 070304,Paunde,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,2,6479,6481
 Rural,133,30086,30219
 Total,135,36565,36700
NotApp :,296,*,*
AREA # 070305,Thegon,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,4,4262,4266
 Rural,60,31624,31684
 Total,64,35886,35950
NotApp :,304,*,*
AREA # 070306,Shwedaung,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,20,4498,4518
 Rural,189,28857,29046
 Total,209,33355,33564
NotApp :,368,*,*
AREA # 070401,Tharyarwaddy,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,7,8157,8164
 Rural,387,28075,28462
 Total,394,36232,36626
NotApp :,285,*,*
AREA # 070402,Letpadan,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,5734,5735
 Rural,400,37349,37749
 Total,401,43083,43484
NotApp :,336,*,*
AREA # 070403,Minhla,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,2,2700,2702
 Rural,47,28145,28192
 Total,49,30845,30894
NotApp :,231,*,*
AREA # 070404,Okpo,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,2800,2800
 Rural,60,29034,29094
 Total,60,31834,31894
NotApp :,283,*,*
AREA # 070405,Zigon,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,3,3964,3967
 Rural,10,14233,14243
 Total,13,18197,18210
NotApp :,160,*,*
AREA # 070406,Nattalin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,4641,4642
 Rural,172,40955,41127
 Total,173,45596,45769
NotApp :,317,*,*
AREA # 070407,Monyo,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,3,2377,2380
 Rural,493,30414,30907
 Total,496,32791,33287
NotApp :,232,*,*
AREA # 070408,Gyobingauk,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,5584,5584
 Rural,48,24954,25002
 Total,48,30538,30586
NotApp :,233,*,*
AREA # 080101,Magway,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,32,19838,19870
 Rural,212,48595,48807
 Total,244,68433,68677
NotApp :,1053,*,*
AREA # 080102,Yenangyoung,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,22,10654,10676
 Rural,239,21585,21824
 Total,261,32239,32500
NotApp :,490,*,*
AREA # 080103,Chauk,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,27,10374,10401
 Rural,304,33913,34217
 Total,331,44287,44618
NotApp :,539,*,*
AREA # 080104,Taungdwingyi,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,5,10050,10055
 Rural,11,50197,50208
 Total,16,60247,60263
NotApp :,426,*,*
AREA # 080105,Myothit,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,1745,1746
 Rural,9,35193,35202
 Total,10,36938,36948
NotApp :,339,*,*
AREA # 080106,Natmauk,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,3173,3174
 Rural,16,45236,45252
 Total,17,48409,48426
NotApp :,396,*,*
AREA # 080201,Minbu,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,42,9148,9190
 Rural,116,34511,34627
 Total,158,43659,43817
NotApp :,551,*,*
AREA # 080202,Pwint Phyu,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,3,1451,1454
 Rural,182,38128,38310
 Total,185,39579,39764
NotApp :,475,*,*
AREA # 080203,Ngape,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,979,979
 Rural,21,11457,11478
 Total,21,12436,12457
NotApp :,159,*,*
AREA # 080204,Salin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,2786,2786
 Rural,228,52591,52819
 Total,228,55377,55605
NotApp :,631,*,*
AREA # 080205,Saytottara,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,9,1516,1525
 Rural,164,9091,9255
 Total,173,10607,10780
NotApp :,279,*,*
AREA # 080301,Thayet,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,23,4540,4563
 Rural,200,21209,21409
 Total,223,25749,25972
NotApp :,302,*,*
AREA # 080302,Minhla,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,11,2970,2981
 Rural,67,28574,28641
 Total,78,31544,31622
NotApp :,346,*,*
AREA # 080303,Mindon,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,8,1262,1270
 Rural,45,15494,15539
 Total,53,16756,16809
NotApp :,207,*,*
AREA # 080304,Kamma,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,21,1273,1294
 Rural,109,17740,17849
 Total,130,19013,19143
NotApp :,208,*,*
AREA # 080305,Aunglan,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,25,11600,11625
 Rural,228,45756,45984
 Total,253,57356,57609
NotApp :,479,*,*
AREA # 080306,Sinpaungwe`,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,15,1266,1281
 Rural,244,27159,27403
 Total,259,28425,28684
NotApp :,290,*,*
AREA # 080401,Pakokku,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,29,19040,19069
 Rural,589,46682,47271
 Total,618,65722,66340
NotApp :,723,*,*
AREA # 080402,Yesagyo,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,45,4854,4899
 Rural,678,41755,42433
 Total,723,46609,47332
NotApp :,485,*,*
AREA # 080403,Myaing,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,1801,1801
 Rural,17,51823,51840
 Total,17,53624,53641
NotApp :,502,*,*
AREA # 080404,Pauk,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,1701,1701
 Rural,39,37225,37264
 Total,39,38926,38965
NotApp :,326,*,*
AREA # 080405,Seikphyu,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,26,2103,2129
 Rural,37,21261,21298
 Total,63,23364,23427
NotApp :,208,*,*
AREA # 080501,Gangaw,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,2,3256,3258
 Rural,78,26576,26654
 Total,80,29832,29912
NotApp :,303,*,*
AREA # 080502,Htilin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,1123,1123
 Rural,2,9407,9409
 Total,2,10530,10532
NotApp :,182,*,*
AREA # 080503,Saw,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,2,1259,1261
 Rural,11,7053,7064
 Total,13,8312,8325
NotApp :,212,*,*
AREA # 080551,Kyaukhtu(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,1140,1140
 Rural,1,6468,6469
 Total,1,7608,7609
NotApp :,103,*,*
AREA # 090101,Aungmyetharzan,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,54,49677,49731
 Total,54,49677,49731
NotApp :,971,*,*
AREA # 090102,Chanayeharzan,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,27,33254,33281
 Total,27,33254,33281
NotApp :,1883,*,*
AREA # 090103,Mahaaungmye,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,43,41884,41927
 Total,43,41884,41927
NotApp :,754,*,*
AREA # 090104,Chanmyatharzi,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,60,52987,53047
 Total,60,52987,53047
NotApp :,901,*,*
AREA # 090105,Pyigyidagun,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,20,43855,43875
 Total,20,43855,43875
NotApp :,1032,*,*
AREA # 090106,Amarapura,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,12,16618,16630
 Rural,99,32897,32996
 Total,111,49515,49626
NotApp :,572,*,*
AREA # 090107,Patheingyi,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,3,2699,2702
 Rural,697,49591,50288
 Total,700,52290,52990
NotApp :,902,*,*
AREA # 090201,Pyin Oo Lwin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,7,31934,31941
 Rural,18,21423,21441
 Total,25,53357,53382
NotApp :,962,*,*
AREA # 090202,Madaya,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,8,5303,5311
 Rural,1580,51754,53334
 Total,1588,57057,58645
NotApp :,508,*,*
AREA # 090203,Sinku,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,35,1697,1732
 Rural,1493,31308,32801
 Total,1528,33005,34533
NotApp :,281,*,*
AREA # 090204,Mogok,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,2,16684,16686
 Rural,1,18560,18561
 Total,3,35244,35247
NotApp :,586,*,*
AREA # 090205,Thabeikkyin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,144,1044,1188
 Rural,464,24097,24561
 Total,608,25141,25749
NotApp :,297,*,*
AREA # 090251,Tagaung,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,147,1646,1793
 Rural,371,5228,5599
 Total,518,6874,7392
NotApp :,96,*,*
AREA # 090301,Kyaukse,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,5,8486,8491
 Rural,62,49212,49274
 Total,67,57698,57765
NotApp :,526,*,*
AREA # 090302,Singaing,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,1780,1780
 Rural,48,31751,31799
 Total,48,33531,33579
NotApp :,464,*,*
AREA # 090303,Myitthar,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,4346,4346
 Rural,31,41640,41671
 Total,31,45986,46017
NotApp :,399,*,*
AREA # 090304,Tada U,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,2651,2652
 Rural,116,29859,29975
 Total,117,32510,32627
NotApp :,340,*,*
AREA # 090401,Myingyan,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,9,18888,18897
 Rural,457,42986,43443
 Total,466,61874,62340
NotApp :,622,*,*
AREA # 090402,Taungtha,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,3863,3863
 Rural,158,45831,45989
 Total,158,49694,49852
NotApp :,425,*,*
AREA # 090403,Natogyi,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,2842,2842
 Rural,15,38108,38123
 Total,15,40950,40965
NotApp :,349,*,*
AREA # 090404,Kyaukpadaung,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,9013,9013
 Rural,16,52932,52948
 Total,16,61945,61961
NotApp :,497,*,*
AREA # 090405,Ngazun,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,60,1597,1657
 Rural,219,25962,26181
 Total,279,27559,27838
NotApp :,295,*,*
AREA # 090501,Nyaung U,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,49,9466,9515
 Rural,234,34913,35147
 Total,283,44379,44662
NotApp :,603,*,*
AREA # 090551,Ngat,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,1439,1439
 Rural,7,8365,8372
 Total,7,9804,9811
NotApp :,69,*,*
AREA # 090601,Yame`thin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,2,5325,5327
 Rural,18,51914,51932
 Total,20,57239,57259
NotApp :,559,*,*
AREA # 090602,Pyawbwe,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,6874,6874
 Rural,17,51972,51989
 Total,17,58846,58863
NotApp :,497,*,*
AREA # 090701,Meiktila,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,12,23951,23963
 Rural,18,44458,44476
 Total,30,68409,68439
NotApp :,998,*,*
AREA # 090702,MahlYaing,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,2,3109,3111
 Rural,141,30075,30216
 Total,143,33184,33327
NotApp :,382,*,*
AREA # 090703,Thazi,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,4720,4720
 Rural,102,40070,40172
 Total,102,44790,44892
NotApp :,484,*,*
AREA # 090704,Wundwin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,7300,7300
 Rural,13,46256,46269
 Total,13,53556,53569
NotApp :,474,*,*
AREA # 100101,Mawlamyine,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,201,49533,49734
 Rural,689,7034,7723
 Total,890,56567,57457
NotApp :,954,*,*
AREA # 100102,Kyaikemaraw,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,53,2123,2176
 Rural,1513,35199,36712
 Total,1566,37322,38888
NotApp :,478,*,*
AREA # 100103,Chaungzon,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,1743,1744
 Rural,736,25464,26200
 Total,737,27207,27944
NotApp :,292,*,*
AREA # 100104,Thanbyuzayat,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,142,11573,11715
 Rural,243,24276,24519
 Total,385,35849,36234
NotApp :,470,*,*
AREA # 100105,Mudon,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,23,10769,10792
 Rural,494,28026,28520
 Total,517,38795,39312
NotApp :,541,*,*
AREA # 100106,Ye,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,24,6089,6113
 Rural,749,23129,23878
 Total,773,29218,29991
NotApp :,508,*,*
AREA # 100151,Lamine,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,7,2960,2967
 Rural,203,15469,15672
 Total,210,18429,18639
NotApp :,149,*,*
AREA # 100152,Khawzar,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,6,772,778
 Rural,98,3942,4040
 Total,104,4714,4818
NotApp :,70,*,*
AREA # 100201,Thaton,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,51,10655,10706
 Rural,794,36784,37578
 Total,845,47439,48284
NotApp :,603,*,*
AREA # 100202,Paung,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,21,5881,5902
 Rural,1208,36616,37824
 Total,1229,42497,43726
NotApp :,460,*,*
AREA # 100203,Kyaikto,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,152,7364,7516
 Rural,588,29984,30572
 Total,740,37348,38088
NotApp :,848,*,*
AREA # 100204,Bilin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,27,4017,4044
 Rural,343,34844,35187
 Total,370,38861,39231
NotApp :,544,*,*
AREA # 110101,Sittway,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,109,18797,18906
 Rural,291,9839,10130
 Total,400,28636,29036
NotApp :,377,*,*
AREA # 110102,Ponnagyun,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,63,2403,2466
 Rural,656,22213,22869
 Total,719,24616,25335
NotApp :,246,*,*
AREA # 110103,Pauktaw,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,71,2399,2470
 Rural,2309,25765,28074
 Total,2380,28164,30544
NotApp :,349,*,*
AREA # 110104,Yethedaung,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,61,1449,1510
 Rural,635,22196,22831
 Total,696,23645,24341
NotApp :,255,*,*
AREA # 110201,Myauk U,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,202,7072,7274
 Rural,2548,31703,34251
 Total,2750,38775,41525
NotApp :,517,*,*
AREA # 110202,Kyauktaw,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,59,3780,3839
 Rural,655,32001,32656
 Total,714,35781,36495
NotApp :,327,*,*
AREA # 110203,Minbya,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,132,4483,4615
 Rural,1507,30506,32013
 Total,1639,34989,36628
NotApp :,359,*,*
AREA # 110204,Myebon,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,108,2510,2618
 Rural,4382,24339,28721
 Total,4490,26849,31339
NotApp :,244,*,*
AREA # 110301,Maungtaw,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,4,2310,2314
 Rural,13,5063,5076
 Total,17,7373,7390
NotApp :,142,*,*
AREA # 110302,Buthidaung,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,14,2048,2062
 Rural,114,9088,9202
 Total,128,11136,11264
NotApp :,178,*,*
AREA # 110351,Taungpyoletwe(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,158,158
 Rural,-,348,348
 Total,-,506,506
NotApp :,17,*,*
AREA # 110401,Kyaukpyu,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,111,4143,4254
 Rural,2282,30728,33010
 Total,2393,34871,37264
NotApp :,491,*,*
AREA # 110402,Mannaung,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,13,1293,1306
 Rural,449,12980,13429
 Total,462,14273,14735
NotApp :,186,*,*
AREA # 110403,Yanbye,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,39,2209,2248
 Rural,1112,19058,20170
 Total,1151,21267,22418
NotApp :,325,*,*
AREA # 110404,An,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,15,1863,1878
 Rural,1666,23815,25481
 Total,1681,25678,27359
NotApp :,324,*,*
AREA # 110501,Thandwe,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,18,3332,3350
 Rural,1397,26328,27725
 Total,1415,29660,31075
NotApp :,580,*,*
AREA # 110502,Toungup,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,150,6028,6178
 Rural,1956,17105,19061
 Total,2106,23133,25239
NotApp :,343,*,*
AREA # 110503,Gwa,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,115,2373,2488
 Rural,600,8157,8757
 Total,715,10530,11245
NotApp :,115,*,*
AREA # 110551,Maei(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,109,1106,1215
 Rural,890,7848,8738
 Total,999,8954,9953
NotApp :,96,*,*
AREA # 110552,Kyeintali(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,72,1403,1475
 Rural,156,4450,4606
 Total,228,5853,6081
NotApp :,76,*,*
AREA # 120101,Insein,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,75,61601,61676
 Total,75,61601,61676
NotApp :,993,*,*
AREA # 120102,Mingaladon,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,57,41584,41641
 Rural,36,24626,24662
 Total,93,66210,66303
NotApp :,1749,*,*
AREA # 120103,Hmawby,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,2,5940,5942
 Rural,383,50144,50527
 Total,385,56084,56469
NotApp :,902,*,*
AREA # 120104,Hlegu,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,27,8722,8749
 Rural,632,48642,49274
 Total,659,57364,58023
NotApp :,1175,*,*
AREA # 120105,Taikkyi,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,101,20258,20359
 Rural,728,45912,46640
 Total,829,66170,66999
NotApp :,614,*,*
AREA # 120106,Htantabin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,24,2032,2056
 Rural,1659,30496,32155
 Total,1683,32528,34211
NotApp :,229,*,*
AREA # 120107,Shwepyitha,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,156,58355,58511
 Rural,2,15262,15264
 Total,158,73617,73775
NotApp :,834,*,*
AREA # 120108,Hlinethaya,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,68,103739,103807
 Rural,82,44822,44904
 Total,150,148561,148711
NotApp :,1246,*,*
AREA # 120201,Thingangyun,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,10,43310,43320
 Total,10,43310,43320
NotApp :,265,*,*
AREA # 120202,Yankin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,14636,14637
 Total,1,14636,14637
NotApp :,149,*,*
AREA # 120203,South Okkalapa,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,10,32715,32725
 Total,10,32715,32725
NotApp :,418,*,*
AREA # 120204,North Okkalapa,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,37,64719,64756
 Total,37,64719,64756
NotApp :,946,*,*
AREA # 120205,Thakayta,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,29,45427,45456
 Total,29,45427,45456
NotApp :,451,*,*
AREA # 120206,Dawbon,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,73,14336,14409
 Total,73,14336,14409
NotApp :,154,*,*
AREA # 120207,Tamway,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,46,35314,35360
 Total,46,35314,35360
NotApp :,633,*,*
AREA # 120208,Pazuntaung,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,11,10295,10306
 Total,11,10295,10306
NotApp :,215,*,*
AREA # 120209,Botahtaung,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,19,8378,8397
 Total,19,8378,8397
NotApp :,295,*,*
AREA # 120210,Dagon Myothit(South),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,252,76732,76984
 Total,252,76732,76984
NotApp :,751,*,*
AREA # 120211,Dagon Myothit(North),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,37,42667,42704
 Total,37,42667,42704
NotApp :,126,*,*
AREA # 120212,Dagon Myothit(East),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,7,31888,31895
 Rural,54,1964,2018
 Total,61,33852,33913
NotApp :,814,*,*
AREA # 120213,Dagon Myothit(Seik),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,57,34115,34172
 Rural,36,3697,3733
 Total,93,37812,37905
NotApp :,383,*,*
AREA # 120214,Mingala Taungnyunt,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,18,25900,25918
 Total,18,25900,25918
NotApp :,325,*,*
AREA # 120301,Thanlyin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,55,18654,18709
 Rural,403,42485,42888
 Total,458,61139,61597
NotApp :,594,*,*
AREA # 120302,Kyauktan,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,139,9725,9864
 Rural,950,22162,23112
 Total,1089,31887,32976
NotApp :,324,*,*
AREA # 120303,Thongwa,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,27,6729,6756
 Rural,796,32535,33331
 Total,823,39264,40087
NotApp :,287,*,*
AREA # 120304,Khayan,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,35,7843,7878
 Rural,792,30644,31436
 Total,827,38487,39314
NotApp :,203,*,*
AREA # 120305,Twantay,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,230,8967,9197
 Rural,3188,39217,42405
 Total,3418,48184,51602
NotApp :,365,*,*
AREA # 120306,Kawhmu,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,24,2207,2231
 Rural,1400,26161,27561
 Total,1424,28368,29792
NotApp :,220,*,*
AREA # 120307,Kungyangon,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,157,3801,3958
 Rural,1353,23041,24394
 Total,1510,26842,28352
NotApp :,207,*,*
AREA # 120308,Dala,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,68,25263,25331
 Rural,587,11994,12581
 Total,655,37257,37912
NotApp :,211,*,*
AREA # 120309,Seikkyi/Khanaungto,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,36,7693,7729
 Total,36,7693,7729
NotApp :,39,*,*
AREA # 120310,Cocogyun,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,10,341,351
 Total,10,341,351
NotApp :,8,*,*
AREA # 120351,Tada(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,66,2424,2490
 Rural,357,6646,7003
 Total,423,9070,9493
NotApp :,57,*,*
AREA # 120401,Kyauktada,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,4,6116,6120
 Total,4,6116,6120
NotApp :,412,*,*
AREA # 120402,Pabedan,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,9,6554,6563
 Total,9,6554,6563
NotApp :,145,*,*
AREA # 120403,Lanmadaw,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,35,8564,8599
 Total,35,8564,8599
NotApp :,607,*,*
AREA # 120404,Latha,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,7,4466,4473
 Total,7,4466,4473
NotApp :,510,*,*
AREA # 120405,Ahlon,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,22,10921,10943
 Total,22,10921,10943
NotApp :,503,*,*
AREA # 120406,Kyimyindine,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,115,22947,23062
 Total,115,22947,23062
NotApp :,182,*,*
AREA # 120407,Sangyoung,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,20,20615,20635
 Total,20,20615,20635
NotApp :,1228,*,*
AREA # 120408,Hline,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,102,32735,32837
 Total,102,32735,32837
NotApp :,851,*,*
AREA # 120409,Kamayut,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,23,16276,16299
 Total,23,16276,16299
NotApp :,1002,*,*
AREA # 120410,Mayangon,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,30,38777,38807
 Total,30,38777,38807
NotApp :,891,*,*
AREA # 120411,Dagon,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,9,4599,4608
 Total,9,4599,4608
NotApp :,176,*,*
AREA # 120412,Bahan,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,12,17414,17426
 Total,12,17414,17426
NotApp :,1076,*,*
AREA # 120413,Seikkan,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,410,410
 Total,-,410,410
NotApp :,67,*,*
AREA # 130101,Taunggyi,*,*
