Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total
 Rural,1,1069,1070
 Total,1,1405,1406
NotApp :,28,*,*
AREA # 020201,Bawlakhe,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,839,839
 Rural,1,749,750
 Total,1,1588,1589
NotApp :,81,*,*
AREA # 020202,Parsaung,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,22,572,594
 Rural,48,4091,4139
 Total,70,4663,4733
NotApp :,302,*,*
AREA # 020203,Meisi,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,195,195
 Rural,-,1107,1107
 Total,-,1302,1302
NotApp :,55,*,*
AREA # 020251,Ywathit(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,4,288,292
 Rural,7,193,200
 Total,11,481,492
NotApp :,30,*,*
AREA # 030101,Hpa-an,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,53,14715,14768
 Rural,2913,71516,74429
 Total,2966,86231,89197
NotApp :,1176,*,*
AREA # 030102,Hlaingbwe,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,20,2259,2279
 Rural,524,28783,29307
 Total,544,31042,31586
NotApp :,379,*,*
AREA # 030103,Thandaunggyi,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,3062,3062
 Rural,1,2746,2747
 Total,1,5808,5809
NotApp :,36,*,*
AREA # 030151,Paingkyon(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,2,805,807
 Rural,670,16301,16971
 Total,672,17106,17778
NotApp :,210,*,*
AREA # 030152,Shan Ywathit(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,4,79,83
 Rural,88,3585,3673
 Total,92,3664,3756
NotApp :,29,*,*
AREA # 030153,Leiktho(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,607,607
 Rural,-,9319,9319
