Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total
*,Yes,No,Total
 Urban,61,1164,1225
 Rural,47,231,278
 Total,108,1395,1503
NotApp :,24,*,*
AREA # 010353,Dotphoneyan(ST),*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,31,280,311
 Rural,733,1189,1922
 Total,764,1469,2233
NotApp :,65,*,*
AREA # 010401,Putao,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,23,2788,2811
 Rural,18,7914,7932
 Total,41,10702,10743
NotApp :,94,*,*
AREA # 010402,Sumprabum,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,5,167,172
 Rural,10,297,307
 Total,15,464,479
NotApp :,18,*,*
AREA # 010403,Machanbaw,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,2,406,408
 Rural,4,1307,1311
 Total,6,1713,1719
NotApp :,31,*,*
AREA # 010404,Khaunglanphoo,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,-,70,70
 Rural,11,1630,1641
 Total,11,1700,1711
NotApp :,2,*,*
AREA # 010405,Naungmoon,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,-,360,360
 Rural,1,582,583
 Total,1,942,943
NotApp :,4,*,*
AREA # 010451,Pannandin(ST),*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,-,24,24
 Rural,-,245,245
 Total,-,269,269
NotApp :,1,*,*
AREA # 020101,Loikaw,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,494,9928,10422
 Rural,1964,14109,16073
 Total,2458,24037,26495
NotApp :,304,*,*
AREA # 020102,Dimawso,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,125,1012,1137
 Rural,1951,12259,14210
 Total,2076,13271,15347
NotApp :,105,*,*
AREA # 020103,Phruso,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,57,796,853
 Rural,414,4643,5057
 Total,471,5439,5910
NotApp :,78,*,*
AREA # 020104,Shardaw,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,12,324,336
 Rural,7,1063,1070
 Total,19,1387,1406
NotApp :,28,*,*
AREA # 020201,Bawlakhe,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,25,814,839
 Rural,30,720,750
 Total,55,1534,1589
NotApp :,81,*,*
AREA # 020202,Parsaung,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,20,574,594
 Rural,28,4111,4139
 Total,48,4685,4733
NotApp :,302,*,*
AREA # 020203,Meisi,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,14,181,195
 Rural,73,1034,1107
 Total,87,1215,1302
NotApp :,55,*,*
AREA # 020251,Ywathit(ST),*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,11,281,292
 Rural,4,196,200
 Total,15,477,492
NotApp :,30,*,*
AREA # 030101,Hpa-an,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,198,14570,14768
 Rural,4133,70296,74429
 Total,4331,84866,89197
NotApp :,1176,*,*
AREA # 030102,Hlaingbwe,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,44,2235,2279
 Rural,1409,27898,29307
 Total,1453,30133,31586
NotApp :,379,*,*
AREA # 030103,Thandaunggyi,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,10,3052,3062
 Rural,3,2744,2747
 Total,13,5796,5809
NotApp :,36,*,*
AREA # 030151,Paingkyon(ST),*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,74,733,807
 Rural,1583,15388,16971
 Total,1657,16121,17778
NotApp :,210,*,*
AREA # 030152,Shan Ywathit(ST),*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,3,80,83
 Rural,15,3658,3673
 Total,18,3738,3756
NotApp :,29,*,*
AREA # 030153,Leiktho(ST),*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,5,602,607
 Rural,19,9300,9319
 Total,24,9902,9926
NotApp :,73,*,*
AREA # 030154,Bawgali(ST),*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,-,436,436
 Rural,1,2968,2969
 Total,1,3404,3405
NotApp :,7,*,*
AREA # 030201,Pharpon,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,7,626,633
 Rural,5,1906,1911
 Total,12,2532,2544
NotApp :,108,*,*
AREA # 030251,Kamamaung(ST},*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,19,2730,2749
 Rural,13,1196,1209
 Total,32,3926,3958
NotApp :,52,*,*
AREA # 030301,Myawady,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,187,23829,24016
 Rural,2133,15109,17242
 Total,2320,38938,41258
NotApp :,937,*,*
AREA # 030351,Sugali(ST),*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,23,52,75
 Rural,194,792,986
 Total,217,844,1061
NotApp :,24,*,*
AREA # 030352,Wawlaymyaing(ST),*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,62,515,577
 Rural,375,745,1120
 Total,437,1260,1697
NotApp :,44,*,*
AREA # 030401,Kawkareik,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,224,8258,8482
 Rural,4440,32576,37016
 Total,4664,40834,45498
NotApp :,393,*,*
AREA # 030402,Kyarinseikkyi,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,16,1801,1817
 Rural,672,19551,20223
 Total,688,21352,22040
NotApp :,270,*,*
AREA # 030451,Payarthonezu(ST),*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,18,6078,6096
 Rural,350,11349,11699
 Total,368,17427,17795
NotApp :,271,*,*
AREA # 030452,Kyaidon(ST),*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,50,630,680
 Rural,1777,8276,10053
 Total,1827,8906,10733
NotApp :,114,*,*
AREA # 040101,HaKa,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,24,5197,5221
 Rural,17,4679,4696
 Total,41,9876,9917
NotApp :,107,*,*
AREA # 040102,Thantlang,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,14,1493,1507
 Rural,46,8229,8275
 Total,60,9722,9782
NotApp :,38,*,*
AREA # 040201,Falam,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,10,1992,2002
 Rural,11,6415,6426
 Total,21,8407,8428
NotApp :,60,*,*
AREA # 040202,Tedim,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,12,2238,2250
 Rural,62,12371,12433
 Total,74,14609,14683
NotApp :,65,*,*
AREA # 040203,Tonzaung,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,2,638,640
 Rural,3,2768,2771
 Total,5,3406,3411
NotApp :,37,*,*
AREA # 040251,Rihkhuadal(ST),*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,3,667,670
 Rural,-,528,528
 Total,3,1195,1198
NotApp :,12,*,*
AREA # 040252,Cikha(ST),*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,1,214,215
 Rural,-,1315,1315
 Total,1,1529,1530
NotApp :,6,*,*
AREA # 040301,Mindat,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,8,2335,2343
 Rural,3,6176,6179
 Total,11,8511,8522
NotApp :,95,*,*
AREA # 040302,Matupi,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,11,1659,1670
 Rural,9,5957,5966
 Total,20,7616,7636
NotApp :,43,*,*
AREA # 040303,Kanpalet,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,4,803,807
 Rural,-,3170,3170
 Total,4,3973,3977
NotApp :,66,*,*
AREA # 040304,Paletwat,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,-,1350,1350
 Rural,15,11928,11943
 Total,15,13278,13293
NotApp :,86,*,*
AREA # 040351,Reazu(ST),*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,-,462,462
 Rural,9,2050,2059
 Total,9,2512,2521
NotApp :,14,*,*
AREA # 040352,Sami(ST),*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,-,633,633
 Rural,2,5588,5590
 Total,2,6221,6223
NotApp :,100,*,*
AREA # 050101,Sagaing,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,182,16314,16496
 Rural,619,48028,48647
 Total,801,64342,65143
NotApp :,1842,*,*
AREA # 050102,Myinmu,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,90,3541,3631
 Rural,368,21305,21673
 Total,458,24846,25304
NotApp :,264,*,*
AREA # 050103,Myaung,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,28,1925,1953
 Rural,296,22013,22309
 Total,324,23938,24262
NotApp :,350,*,*
AREA # 050201,Shwebo,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,365,13166,13531
 Rural,1824,34892,36716
 Total,2189,48058,50247
NotApp :,467,*,*
AREA # 050202,Khin U,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,60,2231,2291
 Rural,495,29838,30333
 Total,555,32069,32624
NotApp :,271,*,*
AREA # 050203,Wetlet,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,71,2235,2306
 Rural,738,43668,44406
 Total,809,45903,46712
NotApp :,437,*,*
AREA # 050204,Kambalu,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,71,5112,5183
 Rural,483,55660,56143
 Total,554,60772,61326
NotApp :,537,*,*
AREA # 050205,Kyunhlau,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,35,2464,2499
 Rural,126,18238,18364
 Total,161,20702,20863
NotApp :,224,*,*
AREA # 050206,Ye U,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,105,3860,3965
 Rural,247,22161,22408
 Total,352,26021,26373
NotApp :,308,*,*
AREA # 050207,Depayin,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,20,935,955
 Rural,346,29044,29390
 Total,366,29979,30345
NotApp :,367,*,*
AREA # 050208,Tasei,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,71,2901,2972
 Rural,299,32666,32965
 Total,370,35567,35937
NotApp :,328,*,*
AREA # 050251,Kyaukmyaung(ST),*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,48,2258,2306
 Rural,36,4708,4744
 Total,84,6966,7050
NotApp :,65,*,*
AREA # 050301,Monywa,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,1022,39384,40406
 Rural,599,34957,35556
 Total,1621,74341,75962
NotApp :,1167,*,*
AREA # 050302,Butalin,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,7,1186,1193
 Rural,231,27192,27423
 Total,238,28378,28616
NotApp :,389,*,*
AREA # 050303,Ayartaw,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,44,2111,2155
 Rural,418,33018,33436
 Total,462,35129,35591
NotApp :,378,*,*
AREA # 050304,Chaung Oo,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,111,4970,5081
 Rural,660,17635,18295
 Total,771,22605,23376
NotApp :,254,*,*
AREA # 050401,Katha,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,154,5109,5263
 Rural,769,25929,26698
 Total,923,31038,31961
NotApp :,447,*,*
AREA # 050402,Indaw,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,63,1779,1842
 Rural,511,20877,21388
 Total,574,22656,23230
NotApp :,320,*,*
AREA # 050403,Tigyaing,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,88,2982,3070
 Rural,556,22763,23319
 Total,644,25745,26389
NotApp :,279,*,*
AREA # 050404,Banmauk,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,26,1186,1212
 Rural,194,17462,17656
 Total,220,18648,18868
NotApp :,678,*,*
AREA # 050405,Kawlin,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,144,4425,4569
 Rural,705,26129,26834
 Total,849,30554,31403
NotApp :,408,*,*
AREA # 050406,Wuntho,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,73,2517,2590
 Rural,195,11420,11615
 Total,268,13937,14205
NotApp :,321,*,*
AREA # 050407,Pinlebu,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,48,1421,1469
 Rural,333,20098,20431
 Total,381,21519,21900
NotApp :,382,*,*
AREA # 050501,Kalay,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,430,25291,25721
 Rural,588,46460,47048
 Total,1018,71751,72769
NotApp :,551,*,*
AREA # 050502,Kalewa,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,35,1918,1953
 Rural,33,9749,9782
 Total,68,11667,11735
NotApp :,183,*,*
AREA # 050503,Mingin,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,19,817,836
 Rural,83,21139,21222
 Total,102,21956,22058
NotApp :,359,*,*
AREA # 050601,Tamu,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,110,8879,8989
 Rural,28,2969,2997
 Total,138,11848,11986
NotApp :,97,*,*
AREA # 050651,Myothit(ST),*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,7,301,308
 Rural,35,2754,2789
 Total,42,3055,3097
NotApp :,38,*,*
AREA # 050652,Khampat(ST),*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,40,2798,2838
 Rural,54,4616,4670
 Total,94,7414,7508
NotApp :,25,*,*
AREA # 050701,Mawlaik,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,15,1809,1824
 Rural,67,8454,8521
 Total,82,10263,10345
NotApp :,173,*,*
AREA # 050702,Phaungpyin,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,89,1853,1942
 Rural,1092,17212,18304
 Total,1181,19065,20246
NotApp :,277,*,*
AREA # 050801,Hkamti,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,22,2161,2183
 Rural,22,5156,5178
 Total,44,7317,7361
NotApp :,521,*,*
AREA # 050802,Homalin,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,121,3454,3575
 Rural,1581,30587,32168
 Total,1702,34041,35743
NotApp :,1266,*,*
AREA # 050803,Leshi,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,4,249,253
 Rural,-,1403,1403
 Total,4,1652,1656
NotApp :,53,*,*
AREA # 050804,Lahe,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,5,533,538
 Rural,1,6438,6439
 Total,6,6971,6977
NotApp :,37,*,*
AREA # 050805,Nanyun,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,6,369,375
 Rural,2,1191,1193
 Total,8,1560,1568
NotApp :,17,*,*
AREA # 050851,Mobaingluk(ST),*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,1,209,210
 Rural,-,100,100
 Total,1,309,310
NotApp :,2,*,*
AREA # 050852,Sonemara(ST),*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,1,285,286
 Rural,-,908,908
 Total,1,1193,1194
NotApp :,10,*,*
AREA # 050853,Htanparkway(ST),*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,-,128,128
 Rural,-,633,633
 Total,-,761,761
NotApp :,9,*,*
AREA # 050854,Pansaung(ST),*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,8,330,338
 Rural,-,2011,2011
 Total,8,2341,2349
NotApp :,5,*,*
AREA # 050855,Donhee(ST),*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,-,169,169
 Rural,1,3753,3754
 Total,1,3922,3923
NotApp :,10,*,*
AREA # 050901,Yinmarpin,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,16,1061,1077
 Rural,480,27975,28455
 Total,496,29036,29532
NotApp :,265,*,*
AREA # 050902,Salingyi,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,5,1217,1222
 Rural,322,24923,25245
 Total,327,26140,26467
NotApp :,384,*,*
AREA # 050903,Palae,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,17,914,931
 Rural,228,31203,31431
 Total,245,32117,32362
NotApp :,338,*,*
AREA # 050904,Kani,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,12,1126,1138
 Rural,159,27926,28085
 Total,171,29052,29223
NotApp :,351,*,*
AREA # 060101,Dawei,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,356,15026,15382
 Rural,355,9206,9561
 Total,711,24232,24943
NotApp :,551,*,*
AREA # 060102,Lounglon,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,46,1194,1240
 Rural,1402,23093,24495
 Total,1448,24287,25735
NotApp :,291,*,*
AREA # 060103,Thayetchaung,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,90,2317,2407
 Rural,803,19664,20467
 Total,893,21981,22874
NotApp :,255,*,*
AREA # 060104,Yebyu,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,41,1036,1077
 Rural,557,20439,20996
 Total,598,21475,22073
NotApp :,316,*,*
AREA # 060151,Myitta(ST),*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,8,488,496
 Rural,29,3665,3694
 Total,37,4153,4190
NotApp :,72,*,*
AREA # 060152,Kaleinaung(ST),*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,8,616,624
 Rural,22,3631,3653
 Total,30,4247,4277
NotApp :,141,*,*
AREA # 060201,Myeik,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,115,21433,21548
 Rural,589,32212,32801
 Total,704,53645,54349
NotApp :,763,*,*
AREA # 060202,Kyunsu,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,6,1136,1142
 Rural,152,31694,31846
 Total,158,32830,32988
NotApp :,330,*,*
AREA # 060203,Palaw,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,124,3447,3571
 Rural,510,14444,14954
 Total,634,17891,18525
NotApp :,178,*,*
AREA # 060204,Tanintharyi,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,9,1117,1126
 Rural,153,18650,18803
 Total,162,19767,19929
NotApp :,325,*,*
AREA # 060251,Palauk(ST),*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,24,1187,1211
 Rural,117,5800,5917
 Total,141,6987,7128
NotApp :,45,*,*
AREA # 060301,Kawthoung,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,40,12540,12580
 Rural,74,12827,12901
 Total,114,25367,25481
NotApp :,367,*,*
AREA # 060302,Bokepyin,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,14,1033,1047
 Rural,8,7821,7829
 Total,22,8854,8876
NotApp :,187,*,*
AREA # 060351,Khamaukgyi,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,10,2345,2355
 Rural,31,2479,2510
 Total,41,4824,4865
NotApp :,126,*,*
AREA # 060352,Pyigyimandaing,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,3,712,715
 Rural,8,2381,2389
 Total,11,3093,3104
NotApp :,91,*,*
AREA # 060353,Karathuri(ST),*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,4,282,286
 Rural,1,3475,3476
 Total,5,3757,3762
NotApp :,102,*,*
AREA # 070101,Bago,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,408,54484,54892
 Rural,544,51696,52240
 Total,952,106180,107132
NotApp :,1161,*,*
AREA # 070102,Tanatpin,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,57,3572,3629
 Rural,833,28065,28898
 Total,890,31637,32527
NotApp :,222,*,*
AREA # 070103,Kawa,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,120,4134,4254
 Rural,1723,40098,41821
 Total,1843,44232,46075
NotApp :,248,*,*
AREA # 070104,Waw,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,83,4963,5046
 Rural,1523,30514,32037
 Total,1606,35477,37083
NotApp :,296,*,*
AREA # 070105,Nyaunglebin,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,359,12703,13062
 Rural,1471,30229,31700
 Total,1830,42932,44762
NotApp :,311,*,*
AREA # 070106,Kyauktaga,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,182,6691,6873
 Rural,1739,43036,44775
 Total,1921,49727,51648
NotApp :,363,*,*
AREA # 070107,Daik U,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,188,8552,8740
 Rural,922,36091,37013
 Total,1110,44643,45753
NotApp :,339,*,*
AREA # 070108,Shwegyin,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,47,4818,4865
 Rural,314,16603,16917
 Total,361,21421,21782
NotApp :,240,*,*
AREA # 070201,Toungoo,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,244,21656,21900
 Rural,594,34966,35560
 Total,838,56622,57460
NotApp :,871,*,*
AREA # 070202,Yaedashe,*,*
Urban/Rural,4-Wheel tractor,*,*
*,Yes,No,Total
 Urban,92,5863,5955
 Rural,373,44199,44572
 Total,465,50062,50527
