Urban_Rural,Internet_at_home_Yes,Internet_at_home_No,Internet_at_home_Total
 Urban,3197,25618,28815
 Rural,1659,28083,29742
 Total,4856,53701,58557
NotApp :,1014,*,*
AREA # 070302,Paukkhaung,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,337,3269,3606
 Rural,428,28313,28741
 Total,765,31582,32347
NotApp :,302,*,*
AREA # 070303,Padaung,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,500,3968,4468
 Rural,773,33651,34424
 Total,1273,37619,38892
NotApp :,412,*,*
AREA # 070304,Paunde,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,268,6213,6481
 Rural,295,29924,30219
 Total,563,36137,36700
NotApp :,296,*,*
AREA # 070305,Thegon,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,371,3895,4266
 Rural,856,30828,31684
 Total,1227,34723,35950
NotApp :,304,*,*
AREA # 070306,Shwedaung,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,511,4007,4518
 Rural,814,28232,29046
 Total,1325,32239,33564
NotApp :,368,*,*
AREA # 070401,Tharyarwaddy,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,756,7408,8164
 Rural,437,28025,28462
 Total,1193,35433,36626
NotApp :,285,*,*
AREA # 070402,Letpadan,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,394,5341,5735
 Rural,667,37082,37749
 Total,1061,42423,43484
NotApp :,336,*,*
AREA # 070403,Minhla,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,240,2462,2702
 Rural,425,27767,28192
 Total,665,30229,30894
NotApp :,231,*,*
AREA # 070404,Okpo,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,341,2459,2800
 Rural,830,28264,29094
 Total,1171,30723,31894
NotApp :,283,*,*
AREA # 070405,Zigon,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,258,3709,3967
 Rural,241,14002,14243
 Total,499,17711,18210
NotApp :,160,*,*
AREA # 070406,Nattalin,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,586,4056,4642
 Rural,589,40538,41127
 Total,1175,44594,45769
NotApp :,317,*,*
AREA # 070407,Monyo,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,25,2355,2380
 Rural,83,30824,30907
 Total,108,33179,33287
NotApp :,232,*,*
AREA # 070408,Gyobingauk,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,541,5043,5584
 Rural,508,24494,25002
 Total,1049,29537,30586
NotApp :,233,*,*
AREA # 080101,Magway,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,1515,18355,19870
 Rural,641,48166,48807
 Total,2156,66521,68677
NotApp :,1053,*,*
AREA # 080102,Yenangyoung,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,1035,9641,10676
 Rural,271,21553,21824
 Total,1306,31194,32500
NotApp :,490,*,*
AREA # 080103,Chauk,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,798,9603,10401
 Rural,590,33627,34217
 Total,1388,43230,44618
NotApp :,539,*,*
AREA # 080104,Taungdwingyi,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,851,9204,10055
 Rural,980,49228,50208
 Total,1831,58432,60263
NotApp :,426,*,*
AREA # 080105,Myothit,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,318,1428,1746
 Rural,610,34592,35202
 Total,928,36020,36948
NotApp :,339,*,*
AREA # 080106,Natmauk,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,424,2750,3174
 Rural,561,44691,45252
 Total,985,47441,48426
NotApp :,396,*,*
AREA # 080201,Minbu,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,609,8581,9190
 Rural,707,33920,34627
 Total,1316,42501,43817
NotApp :,551,*,*
AREA # 080202,Pwint Phyu,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,361,1093,1454
 Rural,1190,37120,38310
 Total,1551,38213,39764
NotApp :,475,*,*
AREA # 080203,Ngape,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,90,889,979
 Rural,288,11190,11478
 Total,378,12079,12457
NotApp :,159,*,*
AREA # 080204,Salin,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,483,2303,2786
 Rural,885,51934,52819
 Total,1368,54237,55605
NotApp :,631,*,*
AREA # 080205,Saytottara,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,14,1511,1525
 Rural,6,9249,9255
 Total,20,10760,10780
NotApp :,279,*,*
AREA # 080301,Thayet,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,649,3914,4563
 Rural,283,21126,21409
 Total,932,25040,25972
NotApp :,302,*,*
AREA # 080302,Minhla,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,454,2527,2981
 Rural,1044,27597,28641
 Total,1498,30124,31622
NotApp :,346,*,*
AREA # 080303,Mindon,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,276,994,1270
 Rural,380,15159,15539
 Total,656,16153,16809
NotApp :,207,*,*
AREA # 080304,Kamma,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,148,1146,1294
 Rural,241,17608,17849
 Total,389,18754,19143
NotApp :,208,*,*
AREA # 080305,Aunglan,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,1116,10509,11625
 Rural,1852,44132,45984
 Total,2968,54641,57609
NotApp :,479,*,*
AREA # 080306,Sinpaungwe`,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,146,1135,1281
 Rural,419,26984,27403
 Total,565,28119,28684
NotApp :,290,*,*
AREA # 080401,Pakokku,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,1967,17102,19069
 Rural,1807,45464,47271
 Total,3774,62566,66340
NotApp :,723,*,*
AREA # 080402,Yesagyo,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,631,4268,4899
 Rural,1660,40773,42433
 Total,2291,45041,47332
NotApp :,485,*,*
AREA # 080403,Myaing,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,355,1446,1801
 Rural,1299,50541,51840
 Total,1654,51987,53641
NotApp :,502,*,*
AREA # 080404,Pauk,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,168,1533,1701
 Rural,323,36941,37264
 Total,491,38474,38965
NotApp :,326,*,*
AREA # 080405,Seikphyu,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,158,1971,2129
 Rural,163,21135,21298
 Total,321,23106,23427
NotApp :,208,*,*
AREA # 080501,Gangaw,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,627,2631,3258
 Rural,1172,25482,26654
 Total,1799,28113,29912
NotApp :,303,*,*
AREA # 080502,Htilin,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,32,1091,1123
 Rural,52,9357,9409
 Total,84,10448,10532
NotApp :,182,*,*
AREA # 080503,Saw,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,44,1217,1261
 Rural,23,7041,7064
 Total,67,8258,8325
NotApp :,212,*,*
AREA # 080551,Kyaukhtu(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,141,999,1140
 Rural,215,6254,6469
 Total,356,7253,7609
NotApp :,103,*,*
AREA # 090101,Aungmyetharzan,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,9085,40646,49731
 Total,9085,40646,49731
NotApp :,971,*,*
AREA # 090102,Chanayeharzan,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,10962,22319,33281
 Total,10962,22319,33281
NotApp :,1883,*,*
AREA # 090103,Mahaaungmye,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,11079,30848,41927
 Total,11079,30848,41927
NotApp :,754,*,*
AREA # 090104,Chanmyatharzi,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,12587,40460,53047
 Total,12587,40460,53047
NotApp :,901,*,*
AREA # 090105,Pyigyidagun,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,8346,35529,43875
 Total,8346,35529,43875
NotApp :,1032,*,*
AREA # 090106,Amarapura,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,3021,13609,16630
 Rural,3038,29958,32996
 Total,6059,43567,49626
NotApp :,572,*,*
AREA # 090107,Patheingyi,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,863,1839,2702
 Rural,5345,44943,50288
 Total,6208,46782,52990
NotApp :,902,*,*
AREA # 090201,Pyin Oo Lwin,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,4200,27741,31941
 Rural,1527,19914,21441
 Total,5727,47655,53382
NotApp :,962,*,*
AREA # 090202,Madaya,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,679,4632,5311
 Rural,1422,51912,53334
 Total,2101,56544,58645
NotApp :,508,*,*
AREA # 090203,Sinku,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,205,1527,1732
 Rural,842,31959,32801
 Total,1047,33486,34533
NotApp :,281,*,*
AREA # 090204,Mogok,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,2733,13953,16686
 Rural,700,17861,18561
 Total,3433,31814,35247
NotApp :,586,*,*
AREA # 090205,Thabeikkyin,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,2,1186,1188
 Rural,93,24468,24561
 Total,95,25654,25749
NotApp :,297,*,*
AREA # 090251,Tagaung,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,21,1772,1793
 Rural,44,5555,5599
 Total,65,7327,7392
NotApp :,96,*,*
AREA # 090301,Kyaukse,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,1982,6509,8491
 Rural,2541,46733,49274
 Total,4523,53242,57765
NotApp :,526,*,*
AREA # 090302,Singaing,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,277,1503,1780
 Rural,1874,29925,31799
 Total,2151,31428,33579
NotApp :,464,*,*
AREA # 090303,Myitthar,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,476,3870,4346
 Rural,774,40897,41671
 Total,1250,44767,46017
NotApp :,399,*,*
AREA # 090304,Tada U,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,619,2033,2652
 Rural,1074,28901,29975
 Total,1693,30934,32627
NotApp :,340,*,*
AREA # 090401,Myingyan,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,767,18130,18897
 Rural,508,42935,43443
 Total,1275,61065,62340
NotApp :,622,*,*
AREA # 090402,Taungtha,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,178,3685,3863
 Rural,519,45470,45989
 Total,697,49155,49852
NotApp :,425,*,*
AREA # 090403,Natogyi,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,168,2674,2842
 Rural,294,37829,38123
 Total,462,40503,40965
NotApp :,349,*,*
AREA # 090404,Kyaukpadaung,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,854,8159,9013
 Rural,476,52472,52948
 Total,1330,60631,61961
NotApp :,497,*,*
AREA # 090405,Ngazun,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,131,1526,1657
 Rural,186,25995,26181
 Total,317,27521,27838
NotApp :,295,*,*
AREA # 090501,Nyaung U,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,977,8538,9515
 Rural,668,34479,35147
 Total,1645,43017,44662
NotApp :,603,*,*
AREA # 090551,Ngat,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,87,1352,1439
 Rural,187,8185,8372
 Total,274,9537,9811
NotApp :,69,*,*
AREA # 090601,Yame`thin,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,158,5169,5327
 Rural,518,51414,51932
 Total,676,56583,57259
NotApp :,559,*,*
AREA # 090602,Pyawbwe,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,639,6235,6874
 Rural,854,51135,51989
 Total,1493,57370,58863
NotApp :,497,*,*
AREA # 090701,Meiktila,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,2991,20972,23963
 Rural,1557,42919,44476
 Total,4548,63891,68439
NotApp :,998,*,*
AREA # 090702,MahlYaing,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,319,2792,3111
 Rural,317,29899,30216
 Total,636,32691,33327
NotApp :,382,*,*
AREA # 090703,Thazi,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,382,4338,4720
 Rural,982,39190,40172
 Total,1364,43528,44892
NotApp :,484,*,*
AREA # 090704,Wundwin,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,843,6457,7300
 Rural,1015,45254,46269
 Total,1858,51711,53569
NotApp :,474,*,*
AREA # 100101,Mawlamyine,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,6476,43258,49734
 Rural,743,6980,7723
 Total,7219,50238,57457
NotApp :,954,*,*
AREA # 100102,Kyaikemaraw,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,122,2054,2176
 Rural,675,36037,36712
 Total,797,38091,38888
NotApp :,478,*,*
AREA # 100103,Chaungzon,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,173,1571,1744
 Rural,737,25463,26200
 Total,910,27034,27944
NotApp :,292,*,*
AREA # 100104,Thanbyuzayat,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,983,10732,11715
 Rural,522,23997,24519
 Total,1505,34729,36234
NotApp :,470,*,*
AREA # 100105,Mudon,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,300,10492,10792
 Rural,305,28215,28520
 Total,605,38707,39312
NotApp :,541,*,*
AREA # 100106,Ye,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,219,5894,6113
 Rural,373,23505,23878
 Total,592,29399,29991
NotApp :,508,*,*
AREA # 100151,Lamine,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,10,2957,2967
 Rural,478,15194,15672
 Total,488,18151,18639
NotApp :,149,*,*
AREA # 100152,Khawzar,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,6,772,778
 Rural,27,4013,4040
 Total,33,4785,4818
NotApp :,70,*,*
AREA # 100201,Thaton,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,576,10130,10706
 Rural,808,36770,37578
 Total,1384,46900,48284
NotApp :,603,*,*
AREA # 100202,Paung,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,425,5477,5902
 Rural,1174,36650,37824
 Total,1599,42127,43726
NotApp :,460,*,*
AREA # 100203,Kyaikto,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,328,7188,7516
 Rural,394,30178,30572
 Total,722,37366,38088
NotApp :,848,*,*
AREA # 100204,Bilin,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,151,3893,4044
 Rural,441,34746,35187
 Total,592,38639,39231
NotApp :,544,*,*
AREA # 110101,Sittway,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,2434,16472,18906
 Rural,282,9848,10130
 Total,2716,26320,29036
NotApp :,377,*,*
AREA # 110102,Ponnagyun,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,137,2329,2466
 Rural,16,22853,22869
 Total,153,25182,25335
NotApp :,246,*,*
AREA # 110103,Pauktaw,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,89,2381,2470
 Rural,91,27983,28074
 Total,180,30364,30544
NotApp :,349,*,*
AREA # 110104,Yethedaung,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,163,1347,1510
 Rural,114,22717,22831
 Total,277,24064,24341
NotApp :,255,*,*
AREA # 110201,Myauk U,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,302,6972,7274
 Rural,179,34072,34251
 Total,481,41044,41525
NotApp :,517,*,*
AREA # 110202,Kyauktaw,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,359,3480,3839
 Rural,225,32431,32656
 Total,584,35911,36495
NotApp :,327,*,*
AREA # 110203,Minbya,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,272,4343,4615
 Rural,136,31877,32013
 Total,408,36220,36628
NotApp :,359,*,*
AREA # 110204,Myebon,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,180,2438,2618
 Rural,178,28543,28721
 Total,358,30981,31339
NotApp :,244,*,*
AREA # 110301,Maungtaw,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,291,2023,2314
 Rural,65,5011,5076
 Total,356,7034,7390
NotApp :,142,*,*
AREA # 110302,Buthidaung,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,299,1763,2062
 Rural,99,9103,9202
 Total,398,10866,11264
NotApp :,178,*,*
AREA # 110351,Taungpyoletwe(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,3,155,158
 Rural,2,346,348
 Total,5,501,506
NotApp :,17,*,*
AREA # 110401,Kyaukpyu,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,275,3979,4254
 Rural,117,32893,33010
 Total,392,36872,37264
NotApp :,491,*,*
AREA # 110402,Mannaung,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,73,1233,1306
 Rural,54,13375,13429
 Total,127,14608,14735
NotApp :,186,*,*
AREA # 110403,Yanbye,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,153,2095,2248
 Rural,20,20150,20170
 Total,173,22245,22418
NotApp :,325,*,*
AREA # 110404,An,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,71,1807,1878
 Rural,128,25353,25481
 Total,199,27160,27359
NotApp :,324,*,*
AREA # 110501,Thandwe,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,626,2724,3350
 Rural,1284,26441,27725
 Total,1910,29165,31075
NotApp :,580,*,*
AREA # 110502,Toungup,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,703,5475,6178
 Rural,132,18929,19061
 Total,835,24404,25239
NotApp :,343,*,*
AREA # 110503,Gwa,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,264,2224,2488
 Rural,61,8696,8757
 Total,325,10920,11245
NotApp :,115,*,*
AREA # 110551,Maei(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,10,1205,1215
 Rural,6,8732,8738
 Total,16,9937,9953
NotApp :,96,*,*
AREA # 110552,Kyeintali(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,135,1340,1475
 Rural,107,4499,4606
 Total,242,5839,6081
NotApp :,76,*,*
AREA # 120101,Insein,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,30123,31553,61676
 Total,30123,31553,61676
NotApp :,993,*,*
AREA # 120102,Mingaladon,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,7272,34369,41641
 Rural,2187,22475,24662
 Total,9459,56844,66303
NotApp :,1749,*,*
AREA # 120103,Hmawby,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,1202,4740,5942
 Rural,3997,46530,50527
 Total,5199,51270,56469
NotApp :,902,*,*
AREA # 120104,Hlegu,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,913,7836,8749
 Rural,2483,46791,49274
 Total,3396,54627,58023
NotApp :,1175,*,*
AREA # 120105,Taikkyi,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,1729,18630,20359
 Rural,992,45648,46640
 Total,2721,64278,66999
NotApp :,614,*,*
AREA # 120106,Htantabin,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,212,1844,2056
 Rural,1440,30715,32155
 Total,1652,32559,34211
NotApp :,229,*,*
AREA # 120107,Shwepyitha,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,15862,42649,58511
 Rural,1428,13836,15264
 Total,17290,56485,73775
NotApp :,834,*,*
AREA # 120108,Hlinethaya,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,10201,93606,103807
 Rural,2461,42443,44904
 Total,12662,136049,148711
NotApp :,1246,*,*
AREA # 120201,Thingangyun,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,14004,29316,43320
 Total,14004,29316,43320
NotApp :,265,*,*
AREA # 120202,Yankin,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,5663,8974,14637
 Total,5663,8974,14637
NotApp :,149,*,*
AREA # 120203,South Okkalapa,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,7948,24777,32725
 Total,7948,24777,32725
NotApp :,418,*,*
AREA # 120204,North Okkalapa,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,15195,49561,64756
 Total,15195,49561,64756
NotApp :,946,*,*
AREA # 120205,Thakayta,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,10812,34644,45456
 Total,10812,34644,45456
NotApp :,451,*,*
AREA # 120206,Dawbon,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,3178,11231,14409
 Total,3178,11231,14409
NotApp :,154,*,*
AREA # 120207,Tamway,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,13106,22254,35360
 Total,13106,22254,35360
NotApp :,633,*,*
AREA # 120208,Pazuntaung,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,4465,5841,10306
 Total,4465,5841,10306
NotApp :,215,*,*
AREA # 120209,Botahtaung,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,3723,4674,8397
 Total,3723,4674,8397
NotApp :,295,*,*
AREA # 120210,Dagon Myothit(South),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,9251,67733,76984
 Total,9251,67733,76984
NotApp :,751,*,*
AREA # 120211,Dagon Myothit(North),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,14303,28401,42704
 Total,14303,28401,42704
NotApp :,126,*,*
AREA # 120212,Dagon Myothit(East),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,5976,25919,31895
 Rural,161,1857,2018
 Total,6137,27776,33913
NotApp :,814,*,*
AREA # 120213,Dagon Myothit(Seik),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,4038,30134,34172
 Rural,127,3606,3733
 Total,4165,33740,37905
NotApp :,383,*,*
AREA # 120214,Mingala Taungnyunt,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,7141,18777,25918
 Total,7141,18777,25918
NotApp :,325,*,*
AREA # 120301,Thanlyin,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,3856,14853,18709
 Rural,2319,40569,42888
 Total,6175,55422,61597
NotApp :,594,*,*
AREA # 120302,Kyauktan,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,1341,8523,9864
 Rural,1173,21939,23112
 Total,2514,30462,32976
NotApp :,324,*,*
AREA # 120303,Thongwa,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,846,5910,6756
 Rural,939,32392,33331
 Total,1785,38302,40087
NotApp :,287,*,*
AREA # 120304,Khayan,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,556,7322,7878
 Rural,820,30616,31436
 Total,1376,37938,39314
NotApp :,203,*,*
AREA # 120305,Twantay,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,806,8391,9197
 Rural,1141,41264,42405
 Total,1947,49655,51602
NotApp :,365,*,*
AREA # 120306,Kawhmu,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,323,1908,2231
 Rural,437,27124,27561
 Total,760,29032,29792
NotApp :,220,*,*
AREA # 120307,Kungyangon,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,295,3663,3958
 Rural,543,23851,24394
 Total,838,27514,28352
NotApp :,207,*,*
AREA # 120308,Dala,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,2417,22914,25331
 Rural,532,12049,12581
 Total,2949,34963,37912
NotApp :,211,*,*
AREA # 120309,Seikkyi/Khanaungto,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,870,6859,7729
 Total,870,6859,7729
NotApp :,39,*,*
AREA # 120310,Cocogyun,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,8,343,351
 Total,8,343,351
NotApp :,8,*,*
AREA # 120351,Tada(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,40,2450,2490
 Rural,60,6943,7003
 Total,100,9393,9493
NotApp :,57,*,*
AREA # 120401,Kyauktada,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,2410,3710,6120
 Total,2410,3710,6120
NotApp :,412,*,*
AREA # 120402,Pabedan,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,2811,3752,6563
 Total,2811,3752,6563
NotApp :,145,*,*
AREA # 120403,Lanmadaw,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,4115,4484,8599
 Total,4115,4484,8599
NotApp :,607,*,*
AREA # 120404,Latha,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,1441,3032,4473
 Total,1441,3032,4473
NotApp :,510,*,*
AREA # 120405,Ahlon,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,4436,6507,10943
 Total,4436,6507,10943
NotApp :,503,*,*
AREA # 120406,Kyimyindine,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,7266,15796,23062
 Total,7266,15796,23062
NotApp :,182,*,*
AREA # 120407,Sangyoung,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,8668,11967,20635
 Total,8668,11967,20635
NotApp :,1228,*,*
AREA # 120408,Hline,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,17671,15166,32837
 Total,17671,15166,32837
NotApp :,851,*,*
AREA # 120409,Kamayut,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,9591,6708,16299
 Total,9591,6708,16299
NotApp :,1002,*,*
AREA # 120410,Mayangon,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,12528,26279,38807
 Total,12528,26279,38807
NotApp :,891,*,*
AREA # 120411,Dagon,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,2757,1851,4608
