Urban_Rural,Internet_at_home_Yes,Internet_at_home_No,Internet_at_home_Total
 Urban,-,336,336
 Rural,1,1069,1070
 Total,1,1405,1406
NotApp :,28,*,*
AREA # 020201,Bawlakhe,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,2,837,839
 Rural,-,750,750
 Total,2,1587,1589
NotApp :,81,*,*
AREA # 020202,Parsaung,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,1,593,594
 Rural,18,4121,4139
 Total,19,4714,4733
NotApp :,302,*,*
AREA # 020203,Meisi,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,-,195,195
 Rural,1,1106,1107
 Total,1,1301,1302
NotApp :,55,*,*
AREA # 020251,Ywathit(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,1,291,292
 Rural,-,200,200
 Total,1,491,492
NotApp :,30,*,*
AREA # 030101,Hpa-an,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,2217,12551,14768
 Rural,1923,72506,74429
 Total,4140,85057,89197
NotApp :,1176,*,*
AREA # 030102,Hlaingbwe,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,42,2237,2279
 Rural,63,29244,29307
 Total,105,31481,31586
NotApp :,379,*,*
AREA # 030103,Thandaunggyi,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,112,2950,3062
 Rural,6,2741,2747
 Total,118,5691,5809
NotApp :,36,*,*
AREA # 030151,Paingkyon(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,2,805,807
 Rural,44,16927,16971
 Total,46,17732,17778
NotApp :,210,*,*
AREA # 030152,Shan Ywathit(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,-,83,83
 Rural,-,3673,3673
 Total,-,3756,3756
NotApp :,29,*,*
AREA # 030153,Leiktho(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,4,603,607
 Rural,10,9309,9319
 Total,14,9912,9926
NotApp :,73,*,*
AREA # 030154,Bawgali(ST),*,*
