Highest_grade,Sex_Male,Sex_Female,Sex_Total
 Grade 1,126,130,256
 Grade 2,167,148,315
 Grade 3,138,135,273
 Grade 4,154,134,288
 Grade 5,154,122,276
 Grade 6,98,79,177
 Grade 7,92,73,165
 Grade 8,92,71,163
 Grade 9,95,80,175
 Grade 10,104,48,152
 Grade 11,26,8,34
 College,17,4,21
 Vocational training,-,1,1
 Undergraduate diploma,7,-,7
 Graduate,22,11,33
 Other,6,-,6
 Total,2376,2129,4505
NotApp :,830,*,*
AREA # 050854,Pansaung(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2263,3077,5340
 Grade 1,619,504,1123
 Grade 2,577,521,1098
 Grade 3,640,536,1176
 Grade 4,602,527,1129
 Grade 5,633,413,1046
 Grade 6,323,225,548
 Grade 7,288,177,465
 Grade 8,225,145,370
 Grade 9,287,163,450
 Grade 10,211,135,346
 Grade 11,256,187,443
 College,53,24,77
 Vocational training,8,6,14
 Undergraduate diploma,14,6,20
 Graduate,49,16,65
 Postgraduate diploma,5,1,6
 PhD,1,-,1
 Other,2,-,2
 Total,7056,6663,13719
NotApp :,1978,*,*
AREA # 050855,Donhee(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,6687,8408,15095
 Grade 1,923,761,1684
 Grade 2,714,524,1238
 Grade 3,677,472,1149
 Grade 4,560,328,888
 Grade 5,502,273,775
 Grade 6,185,92,277
 Grade 7,164,67,231
 Grade 8,141,55,196
 Grade 9,121,45,166
 Grade 10,98,15,113
 Grade 11,80,20,100
 College,20,3,23
 Vocational training,1,-,1
 Undergraduate diploma,11,7,18
 Graduate,29,23,52
 Master degree,-,1,1
 Total,10913,11094,22007
NotApp :,3762,*,*
AREA # 050901,Yinmarpin,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,7536,12640,20176
 Grade 1,2291,2776,5067
 Grade 2,2884,4051,6935
 Grade 3,3798,5685,9483
 Grade 4,5925,7564,13489
 Grade 5,15890,17660,33550
 Grade 6,3307,3337,6644
 Grade 7,3043,2651,5694
 Grade 8,3190,2539,5729
 Grade 9,3054,2473,5527
 Grade 10,3805,3042,6847
 Grade 11,1461,1088,2549
 College,1424,1135,2559
 Vocational training,91,60,151
 Undergraduate diploma,124,89,213
 Graduate,2115,2697,4812
 Postgraduate diploma,48,84,132
 Master degree,26,79,105
 PhD,4,-,4
 Other,161,143,304
 Total,60177,69793,129970
NotApp :,11510,*,*
AREA # 050902,Salingyi,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5035,8002,13037
 Grade 1,1501,1592,3093
 Grade 2,1875,2596,4471
 Grade 3,2705,4635,7340
 Grade 4,4348,6626,10974
 Grade 5,13647,17883,31530
 Grade 6,3040,3354,6394
 Grade 7,2497,2490,4987
 Grade 8,2591,2169,4760
 Grade 9,3080,2248,5328
 Grade 10,2462,1859,4321
 Grade 11,3381,2689,6070
 College,1168,991,2159
 Vocational training,173,47,220
 Undergraduate diploma,200,66,266
 Graduate,2611,3209,5820
 Postgraduate diploma,45,84,129
 Master degree,45,91,136
 PhD,2,4,6
 Other,773,905,1678
 Total,51179,61540,112719
NotApp :,9089,*,*
AREA # 050903,Palae,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,8513,14809,23322
 Grade 1,2387,2344,4731
 Grade 2,2648,3548,6196
 Grade 3,4373,6241,10614
 Grade 4,5300,6769,12069
 Grade 5,16172,17979,34151
 Grade 6,3726,3639,7365
 Grade 7,2900,2814,5714
 Grade 8,2838,2521,5359
 Grade 9,2956,2484,5440
 Grade 10,2167,1688,3855
 Grade 11,2700,2431,5131
 College,1168,862,2030
 Vocational training,113,61,174
 Undergraduate diploma,226,165,391
 Graduate,1796,2210,4006
 Postgraduate diploma,23,73,96
 Master degree,14,63,77
 PhD,-,2,2
 Other,562,411,973
 Total,60582,71114,131696
NotApp :,12310,*,*
AREA # 050904,Kani,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5131,7822,12953
 Grade 1,1993,2367,4360
 Grade 2,2333,3209,5542
 Grade 3,3508,5020,8528
 Grade 4,6778,8692,15470
 Grade 5,15329,18050,33379
 Grade 6,3640,3928,7568
 Grade 7,3313,3234,6547
 Grade 8,3662,3138,6800
 Grade 9,3113,2747,5860
 Grade 10,3764,3462,7226
 Grade 11,1134,991,2125
 College,969,997,1966
 Vocational training,56,54,110
 Undergraduate diploma,82,66,148
 Graduate,1476,2249,3725
 Postgraduate diploma,26,43,69
 Master degree,17,48,65
 PhD,1,2,3
 Other,367,343,710
 Total,56692,66462,123154
NotApp :,11387,*,*
AREA # 060101,Dawei,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,3616,4516,8132
 Grade 1,1769,2142,3911
 Grade 2,2324,3036,5360
 Grade 3,3341,4188,7529
 Grade 4,4669,6236,10905
 Grade 5,9809,11657,21466
 Grade 6,3835,3954,7789
 Grade 7,3396,2958,6354
 Grade 8,3726,2974,6700
 Grade 9,4095,3186,7281
 Grade 10,3111,2608,5719
 Grade 11,4923,4534,9457
 College,1492,1937,3429
 Vocational training,114,84,198
 Undergraduate diploma,198,153,351
 Graduate,3818,5858,9676
 Postgraduate diploma,85,273,358
 Master degree,77,172,249
 PhD,24,30,54
 Other,372,122,494
 Total,54794,60618,115412
NotApp :,10193,*,*
AREA # 060102,Lounglon,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5085,6004,11089
 Grade 1,3029,3438,6467
 Grade 2,3848,5136,8984
 Grade 3,5068,6395,11463
 Grade 4,6069,8148,14217
 Grade 5,10727,11516,22243
 Grade 6,3237,3541,6778
 Grade 7,2598,2554,5152
 Grade 8,2553,2460,5013
 Grade 9,2450,2077,4527
 Grade 10,1434,1492,2926
 Grade 11,1464,1441,2905
 College,551,741,1292
 Vocational training,22,20,42
 Undergraduate diploma,86,55,141
 Graduate,960,1876,2836
 Postgraduate diploma,35,62,97
 Master degree,18,66,84
 PhD,7,47,54
 Other,346,51,397
 Total,49587,57120,106707
NotApp :,11610,*,*
AREA # 060103,Thayetchaung,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2792,3594,6386
 Grade 1,2912,2888,5800
 Grade 2,3163,3711,6874
 Grade 3,4280,4981,9261
 Grade 4,5497,6724,12221
 Grade 5,10120,11105,21225
 Grade 6,3268,3325,6593
 Grade 7,2673,2493,5166
 Grade 8,2759,2455,5214
 Grade 9,2783,2509,5292
 Grade 10,1401,1422,2823
 Grade 11,1885,2282,4167
 College,437,637,1074
 Vocational training,37,23,60
 Undergraduate diploma,87,70,157
 Graduate,853,1797,2650
 Postgraduate diploma,25,120,145
 Master degree,25,16,41
 PhD,2,-,2
 Other,119,33,152
 Total,45118,50185,95303
NotApp :,10359,*,*
AREA # 060104,Yebyu,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,7692,8499,16191
 Grade 1,1994,2179,4173
 Grade 2,2861,3397,6258
 Grade 3,3731,4737,8468
 Grade 4,4597,5323,9920
 Grade 5,8295,8076,16371
 Grade 6,3010,2828,5838
 Grade 7,2317,1991,4308
 Grade 8,2377,1702,4079
 Grade 9,2213,1477,3690
 Grade 10,1519,1061,2580
 Grade 11,1881,1443,3324
 College,624,508,1132
 Vocational training,82,28,110
 Undergraduate diploma,119,38,157
 Graduate,1238,1200,2438
 Postgraduate diploma,27,18,45
 Master degree,38,6,44
 PhD,1,4,5
 Other,823,395,1218
 Total,45439,44910,90349
NotApp :,10419,*,*
AREA # 060151,Myitta(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,1146,1292,2438
 Grade 1,694,635,1329
 Grade 2,716,657,1373
 Grade 3,1044,986,2030
 Grade 4,933,1077,2010
 Grade 5,1700,1681,3381
 Grade 6,676,677,1353
 Grade 7,514,453,967
 Grade 8,403,440,843
 Grade 9,463,396,859
 Grade 10,257,302,559
 Grade 11,405,454,859
 College,76,97,173
 Vocational training,7,7,14
 Undergraduate diploma,7,12,19
 Graduate,123,197,320
 Postgraduate diploma,1,8,9
 Master degree,2,6,8
 Other,29,14,43
 Total,9196,9391,18587
NotApp :,2772,*,*
AREA # 060152,Kaleinaung(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,1627,1882,3509
 Grade 1,619,548,1167
 Grade 2,811,709,1520
 Grade 3,1097,1008,2105
 Grade 4,1229,1132,2361
 Grade 5,1663,1424,3087
 Grade 6,629,535,1164
 Grade 7,507,406,913
 Grade 8,563,355,918
 Grade 9,519,272,791
 Grade 10,365,243,608
 Grade 11,346,281,627
 College,106,98,204
 Vocational training,5,8,13
 Undergraduate diploma,8,5,13
 Graduate,236,178,414
 Postgraduate diploma,2,2,4
 Master degree,12,2,14
 PhD,-,1,1
 Other,86,26,112
 Total,10430,9115,19545
NotApp :,2320,*,*
AREA # 060201,Myeik,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,7572,9029,16601
 Grade 1,4762,4841,9603
 Grade 2,6071,6683,12754
 Grade 3,8903,10064,18967
 Grade 4,12117,13656,25773
 Grade 5,21513,22372,43885
 Grade 6,10579,10253,20832
 Grade 7,8765,7890,16655
 Grade 8,9116,7679,16795
 Grade 9,9959,8557,18516
 Grade 10,8137,7849,15986
 Grade 11,8457,9111,17568
 College,2785,2934,5719
 Vocational training,119,178,297
 Undergraduate diploma,291,208,499
 Graduate,5571,9276,14847
 Postgraduate diploma,101,243,344
 Master degree,116,191,307
 PhD,32,61,93
 Other,653,365,1018
 Total,125619,131440,257059
NotApp :,27430,*,*
AREA # 060202,Kyunsu,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,9672,9869,19541
 Grade 1,4883,4780,9663
 Grade 2,5655,5724,11379
 Grade 3,7876,7869,15745
 Grade 4,10186,9926,20112
 Grade 5,13476,12664,26140
 Grade 6,5482,4855,10337
 Grade 7,4164,3492,7656
 Grade 8,4122,3302,7424
 Grade 9,3891,3521,7412
 Grade 10,2530,2496,5026
 Grade 11,2014,2140,4154
 College,601,560,1161
 Vocational training,16,11,27
 Undergraduate diploma,66,42,108
 Graduate,850,1266,2116
 Postgraduate diploma,12,23,35
 Master degree,12,10,22
 PhD,2,-,2
 Other,1467,694,2161
 Total,76977,73244,150221
NotApp :,21532,*,*
AREA # 060203,Palaw,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,3424,3471,6895
 Grade 1,2064,1986,4050
 Grade 2,2331,2477,4808
 Grade 3,3345,3616,6961
 Grade 4,4910,5653,10563
 Grade 5,7133,7945,15078
 Grade 6,3325,3356,6681
 Grade 7,2646,2475,5121
 Grade 8,2578,2478,5056
 Grade 9,2442,2219,4661
 Grade 10,1830,2010,3840
 Grade 11,1715,2252,3967
 College,480,618,1098
 Vocational training,259,216,475
 Undergraduate diploma,92,94,186
 Graduate,915,1925,2840
 Postgraduate diploma,22,108,130
 Master degree,9,20,29
 PhD,1,-,1
 Other,859,338,1197
 Total,40380,43257,83637
NotApp :,9801,*,*
AREA # 060204,Tanintharyi,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5484,5522,11006
 Grade 1,2839,2512,5351
 Grade 2,3461,3466,6927
 Grade 3,4732,4712,9444
 Grade 4,5990,5801,11791
 Grade 5,7274,7054,14328
 Grade 6,3777,3332,7109
 Grade 7,2859,2375,5234
 Grade 8,2932,2345,5277
 Grade 9,2530,2277,4807
 Grade 10,2093,2156,4249
 Grade 11,1912,2061,3973
 College,530,536,1066
 Vocational training,17,15,32
 Undergraduate diploma,111,74,185
 Graduate,752,1098,1850
 Postgraduate diploma,19,43,62
 Master degree,19,7,26
 PhD,1,-,1
 Other,1001,509,1510
 Total,48333,45895,94228
NotApp :,12625,*,*
AREA # 060251,Palauk(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,1998,1910,3908
 Grade 1,1159,1184,2343
 Grade 2,1376,1338,2714
 Grade 3,1638,1731,3369
 Grade 4,1842,2116,3958
 Grade 5,2942,3000,5942
 Grade 6,1137,1121,2258
 Grade 7,842,760,1602
 Grade 8,776,691,1467
 Grade 9,777,745,1522
 Grade 10,481,516,997
 Grade 11,516,593,1109
 College,148,190,338
 Vocational training,5,2,7
 Undergraduate diploma,23,14,37
 Graduate,238,346,584
 Postgraduate diploma,6,40,46
 Master degree,21,1,22
 PhD,-,1,1
 Other,24,4,28
 Total,15949,16303,32252
NotApp :,4302,*,*
AREA # 060301,Kawthoung,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,4649,5489,10138
 Grade 1,2294,2359,4653
 Grade 2,3013,3449,6462
 Grade 3,4435,5120,9555
 Grade 4,5826,6188,12014
 Grade 5,8469,8104,16573
 Grade 6,4651,3952,8603
 Grade 7,3594,2791,6385
 Grade 8,3744,2847,6591
 Grade 9,3819,2843,6662
 Grade 10,2683,2171,4854
 Grade 11,3431,3182,6613
 College,836,754,1590
 Vocational training,40,17,57
 Undergraduate diploma,119,92,211
 Graduate,1621,1997,3618
 Postgraduate diploma,24,66,90
 Master degree,42,18,60
 PhD,10,2,12
 Other,275,154,429
 Total,53575,51595,105170
NotApp :,11810,*,*
AREA # 060302,Bokepyin,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2810,2773,5583
 Grade 1,1094,1011,2105
 Grade 2,1565,1416,2981
 Grade 3,2004,1986,3990
 Grade 4,2339,2169,4508
 Grade 5,3531,3050,6581
 Grade 6,1897,1486,3383
 Grade 7,1287,986,2273
 Grade 8,1247,877,2124
 Grade 9,1342,937,2279
 Grade 10,795,562,1357
 Grade 11,1117,917,2034
 College,310,216,526
 Vocational training,10,4,14
 Undergraduate diploma,57,17,74
 Graduate,454,390,844
 Postgraduate diploma,25,8,33
 Master degree,13,6,19
 PhD,1,1,2
 Other,224,204,428
 Total,22122,19016,41138
NotApp :,5683,*,*
AREA # 060351,Khamaukgyi,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,1405,1309,2714
 Grade 1,577,500,1077
 Grade 2,594,647,1241
 Grade 3,1072,1114,2186
 Grade 4,1125,1157,2282
 Grade 5,2199,1749,3948
 Grade 6,964,687,1651
 Grade 7,665,415,1080
 Grade 8,620,304,924
 Grade 9,700,347,1047
 Grade 10,395,180,575
 Grade 11,526,304,830
 College,120,65,185
 Vocational training,11,1,12
 Undergraduate diploma,36,11,47
 Graduate,288,171,459
 Postgraduate diploma,9,1,10
 Master degree,10,2,12
 Other,9,8,17
 Total,11325,8972,20297
NotApp :,2743,*,*
AREA # 060352,Pyigyimandaing,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,992,1088,2080
 Grade 1,430,355,785
 Grade 2,538,505,1043
 Grade 3,773,740,1513
 Grade 4,894,758,1652
 Grade 5,1380,1119,2499
 Grade 6,504,451,955
 Grade 7,436,330,766
 Grade 8,368,273,641
 Grade 9,472,354,826
 Grade 10,308,263,571
 Grade 11,348,308,656
 College,113,72,185
 Vocational training,4,6,10
 Undergraduate diploma,12,8,20
 Graduate,158,98,256
 Postgraduate diploma,4,8,12
 Master degree,5,2,7
 Other,11,3,14
 Total,7750,6741,14491
NotApp :,2113,*,*
AREA # 060353,Karathuri(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,656,722,1378
 Grade 1,400,421,821
 Grade 2,552,577,1129
 Grade 3,827,837,1664
 Grade 4,1205,1066,2271
 Grade 5,1683,1414,3097
 Grade 6,826,653,1479
 Grade 7,620,384,1004
 Grade 8,550,301,851
 Grade 9,510,318,828
 Grade 10,329,206,535
 Grade 11,316,213,529
 College,95,74,169
 Vocational training,1,-,1
 Undergraduate diploma,24,8,32
 Graduate,181,111,292
 Postgraduate diploma,5,4,9
 Master degree,10,1,11
 Other,65,22,87
 Total,8855,7332,16187
NotApp :,2106,*,*
AREA # 070101,Bago,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,22636,29611,52247
 Grade 1,7229,7502,14731
 Grade 2,10191,13122,23313
 Grade 3,14499,20274,34773
 Grade 4,19609,26981,46590
 Grade 5,35280,41677,76957
 Grade 6,14025,15309,29334
 Grade 7,12229,11419,23648
 Grade 8,13831,11347,25178
 Grade 9,15735,11136,26871
 Grade 10,15034,11408,26442
 Grade 11,15343,11972,27315
 College,5246,4723,9969
 Vocational training,214,139,353
 Undergraduate diploma,1086,436,1522
 Graduate,11206,16453,27659
 Postgraduate diploma,215,440,655
 Master degree,175,385,560
 PhD,44,63,107
 Other,274,197,471
 Total,214101,234594,448695
NotApp :,42739,*,*
AREA # 070102,Tanatpin,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5588,8964,14552
 Grade 1,3199,3382,6581
 Grade 2,4031,5312,9343
 Grade 3,5659,7949,13608
 Grade 4,6600,8689,15289
 Grade 5,12919,14659,27578
 Grade 6,3613,3645,7258
 Grade 7,2982,2590,5572
 Grade 8,2829,2334,5163
 Grade 9,2928,2152,5080
 Grade 10,1916,1403,3319
 Grade 11,2195,1887,4082
 College,722,630,1352
 Vocational training,37,24,61
 Undergraduate diploma,106,60,166
 Graduate,1061,1867,2928
 Postgraduate diploma,22,51,73
 Master degree,4,23,27
 PhD,1,4,5
 Other,4970,3059,8029
 Total,61382,68684,130066
NotApp :,15221,*,*
AREA # 070103,Kawa,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,9607,11195,20802
 Grade 1,3438,3341,6779
 Grade 2,4274,5417,9691
 Grade 3,6338,9188,15526
 Grade 4,8070,11354,19424
 Grade 5,20565,25630,46195
 Grade 6,5784,5941,11725
 Grade 7,4717,4279,8996
 Grade 8,4681,3592,8273
 Grade 9,4880,3358,8238
 Grade 10,3015,2267,5282
 Grade 11,4326,3671,7997
 College,1124,1019,2143
 Vocational training,41,39,80
 Undergraduate diploma,138,68,206
 Graduate,1587,2722,4309
 Postgraduate diploma,15,27,42
 Master degree,10,19,29
 PhD,-,1,1
 Other,1321,974,2295
 Total,83931,94102,178033
NotApp :,19330,*,*
AREA # 070104,Waw,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,4336,8227,12563
 Grade 1,3434,3539,6973
 Grade 2,4352,5843,10195
 Grade 3,6545,9893,16438
 Grade 4,7797,10845,18642
 Grade 5,16035,18168,34203
 Grade 6,5059,5376,10435
 Grade 7,4281,3851,8132
 Grade 8,4049,3247,7296
 Grade 9,4164,3086,7250
 Grade 10,2589,1868,4457
 Grade 11,3684,3038,6722
 College,1037,922,1959
 Vocational training,50,33,83
 Undergraduate diploma,137,81,218
 Graduate,1511,2469,3980
 Postgraduate diploma,33,54,87
 Master degree,13,33,46
 PhD,6,3,9
 Other,5072,2684,7756
 Total,74184,83260,157444
NotApp :,18570,*,*
AREA # 070105,Nyaunglebin,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5897,8322,14219
 Grade 1,3507,3512,7019
 Grade 2,4536,5669,10205
 Grade 3,6768,9424,16192
 Grade 4,8977,11679,20656
 Grade 5,17478,21810,39288
 Grade 6,5685,5864,11549
 Grade 7,5109,4756,9865
 Grade 8,5551,4313,9864
 Grade 9,5691,4174,9865
 Grade 10,4485,3535,8020
 Grade 11,6082,5347,11429
 College,1470,1545,3015
 Vocational training,88,72,160
 Undergraduate diploma,242,170,412
 Graduate,2649,4752,7401
 Postgraduate diploma,53,149,202
 Master degree,22,42,64
 PhD,2,4,6
 Other,715,726,1441
 Total,85007,95865,180872
NotApp :,18611,*,*
AREA # 070106,Kyauktaga,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,13106,20520,33626
 Grade 1,5250,5302,10552
 Grade 2,6584,7639,14223
 Grade 3,9316,11757,21073
 Grade 4,10676,12555,23231
 Grade 5,18783,21389,40172
 Grade 6,7948,7570,15518
 Grade 7,6575,5744,12319
 Grade 8,6628,5365,11993
 Grade 9,6640,5091,11731
 Grade 10,4587,3811,8398
 Grade 11,6411,5573,11984
 College,1336,1316,2652
 Vocational training,59,33,92
 Undergraduate diploma,197,142,339
 Graduate,2161,3763,5924
 Postgraduate diploma,39,89,128
 Master degree,13,23,36
 PhD,3,4,7
 Other,907,841,1748
 Total,107219,118527,225746
NotApp :,25466,*,*
AREA # 070107,Daik U,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,8643,12415,21058
 Grade 1,3508,3742,7250
 Grade 2,4363,5790,10153
 Grade 3,7162,9726,16888
 Grade 4,8670,11528,20198
 Grade 5,16344,19021,35365
 Grade 6,6115,6328,12443
 Grade 7,5369,4888,10257
 Grade 8,5286,4149,9435
 Grade 9,5466,4165,9631
 Grade 10,3820,2874,6694
 Grade 11,5125,4462,9587
 College,1275,1301,2576
 Vocational training,295,144,439
 Undergraduate diploma,252,153,405
 Graduate,2067,3631,5698
 Postgraduate diploma,23,50,73
 Master degree,14,34,48
 PhD,3,5,8
 Other,2584,1910,4494
 Total,86384,96316,182700
NotApp :,19830,*,*
AREA # 070108,Shwegyin,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,4812,5498,10310
 Grade 1,2464,2451,4915
 Grade 2,3089,3689,6778
 Grade 3,4636,5742,10378
 Grade 4,5454,6172,11626
 Grade 5,8198,8822,17020
 Grade 6,3281,3098,6379
 Grade 7,2549,2220,4769
 Grade 8,2613,1985,4598
 Grade 9,2658,1879,4537
 Grade 10,2096,1578,3674
 Grade 11,2708,2645,5353
 College,726,685,1411
 Vocational training,39,28,67
 Undergraduate diploma,87,104,191
 Graduate,997,1514,2511
 Postgraduate diploma,21,11,32
 Master degree,27,15,42
 PhD,21,10,31
 Other,417,199,616
 Total,46893,48345,95238
NotApp :,12224,*,*
AREA # 070201,Toungoo,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,9322,13431,22753
 Grade 1,3805,3927,7732
 Grade 2,5066,6292,11358
 Grade 3,7728,10023,17751
 Grade 4,9896,12932,22828
 Grade 5,20099,23285,43384
 Grade 6,7336,7674,15010
 Grade 7,6475,5950,12425
 Grade 8,7531,5886,13417
 Grade 9,8229,6248,14477
 Grade 10,7495,6469,13964
 Grade 11,9067,8707,17774
 College,4293,4105,8398
 Vocational training,260,391,651
 Undergraduate diploma,565,283,848
 Graduate,5894,9021,14915
 Postgraduate diploma,126,226,352
 Master degree,124,326,450
 PhD,22,62,84
 Other,259,166,425
 Total,113592,125404,238996
NotApp :,23060,*,*
AREA # 070202,Yaedashe,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,10316,14555,24871
 Grade 1,3552,3842,7394
 Grade 2,4613,6096,10709
 Grade 3,6796,9453,16249
 Grade 4,11008,12935,23943
 Grade 5,17134,18436,35570
 Grade 6,6672,6134,12806
 Grade 7,5877,4665,10542
 Grade 8,5971,4195,10166
 Grade 9,5641,4152,9793
 Grade 10,5476,4583,10059
 Grade 11,4466,4162,8628
 College,1594,1617,3211
 Vocational training,200,91,291
 Undergraduate diploma,323,188,511
 Graduate,2645,4542,7187
 Postgraduate diploma,49,103,152
 Master degree,41,42,83
 PhD,5,4,9
 Other,297,299,596
 Total,92676,100094,192770
NotApp :,20823,*,*
AREA # 070203,Kyaukkyi,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,6724,7858,14582
 Grade 1,2694,2673,5367
 Grade 2,3649,4065,7714
 Grade 3,4866,5855,10721
 Grade 4,5402,6394,11796
 Grade 5,8627,9770,18397
 Grade 6,3317,3516,6833
 Grade 7,2565,2488,5053
 Grade 8,2565,2174,4739
 Grade 9,2226,2051,4277
 Grade 10,1741,1743,3484
 Grade 11,1824,1983,3807
 College,484,591,1075
 Vocational training,13,11,24
 Undergraduate diploma,81,71,152
 Graduate,715,1265,1980
 Postgraduate diploma,19,14,33
 Master degree,15,14,29
 PhD,1,1,2
 Other,463,360,823
 Total,47991,52897,100888
NotApp :,12441,*,*
AREA # 070204,Pyu,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,11841,19770,31611
 Grade 1,4205,4387,8592
 Grade 2,5428,6657,12085
 Grade 3,7392,10141,17533
 Grade 4,10570,13901,24471
 Grade 5,18253,22315,40568
 Grade 6,8203,7979,16182
 Grade 7,7321,6485,13806
 Grade 8,7516,6096,13612
 Grade 9,7883,6472,14355
 Grade 10,6618,5138,11756
 Grade 11,6774,5772,12546
 College,1809,1828,3637
 Vocational training,140,81,221
 Undergraduate diploma,342,199,541
 Graduate,2963,5009,7972
 Postgraduate diploma,44,64,108
 Master degree,27,40,67
 PhD,2,2,4
 Other,1066,1304,2370
 Total,108397,123640,232037
NotApp :,25236,*,*
AREA # 070205,Oatwin,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,6287,10717,17004
 Grade 1,3233,3528,6761
 Grade 2,4361,5608,9969
 Grade 3,6384,8128,14512
 Grade 4,8617,10479,19096
 Grade 5,13164,14928,28092
 Grade 6,4171,4172,8343
 Grade 7,3749,3391,7140
 Grade 8,3944,3012,6956
 Grade 9,3656,2663,6319
 Grade 10,2953,2483,5436
 Grade 11,3400,3124,6524
 College,1055,1135,2190
 Vocational training,71,36,107
 Undergraduate diploma,157,104,261
 Graduate,1523,2632,4155
 Postgraduate diploma,44,99,143
 Master degree,45,39,84
 PhD,-,5,5
 Other,557,432,989
 Total,67371,76715,144086
NotApp :,15742,*,*
AREA # 070206,Htantapin,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5266,6892,12158
 Grade 1,2365,2388,4753
 Grade 2,3203,3755,6958
 Grade 3,4638,6025,10663
 Grade 4,5937,7345,13282
 Grade 5,9837,11355,21192
 Grade 6,3539,3745,7284
 Grade 7,2977,2929,5906
 Grade 8,2920,2488,5408
 Grade 9,2626,2404,5030
 Grade 10,1895,1777,3672
 Grade 11,2202,2305,4507
 College,562,685,1247
 Vocational training,22,18,40
 Undergraduate diploma,105,82,187
 Graduate,889,1631,2520
 Postgraduate diploma,12,36,48
 Master degree,12,20,32
 PhD,1,3,4
 Other,287,158,445
 Total,49295,56041,105336
NotApp :,11940,*,*
AREA # 070301,Pyay,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,6689,9732,16421
 Grade 1,2768,3520,6288
 Grade 2,4111,6121,10232
 Grade 3,5822,8394,14216
 Grade 4,15193,20166,35359
 Grade 5,19748,21996,41744
 Grade 6,6418,5936,12354
 Grade 7,7244,5772,13016
 Grade 8,8452,6748,15200
 Grade 9,8357,6258,14615
 Grade 10,11255,10013,21268
 Grade 11,2969,2335,5304
 College,3670,3915,7585
 Vocational training,459,233,692
 Undergraduate diploma,660,289,949
 Graduate,7291,11826,19117
 Postgraduate diploma,159,301,460
 Master degree,122,478,600
 PhD,42,105,147
 Other,172,161,333
 Total,111601,124299,235900
NotApp :,15743,*,*
AREA # 070302,Paukkhaung,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,3170,6023,9193
 Grade 1,1858,2196,4054
 Grade 2,3145,4020,7165
 Grade 3,5168,6025,11193
 Grade 4,7952,8458,16410
 Grade 5,19030,17877,36907
 Grade 6,3215,2774,5989
 Grade 7,2847,2275,5122
 Grade 8,2559,1884,4443
 Grade 9,2374,1961,4335
 Grade 10,2306,2220,4526
 Grade 11,759,723,1482
 College,609,645,1254
 Vocational training,67,51,118
 Undergraduate diploma,104,58,162
 Graduate,1013,1998,3011
 Postgraduate diploma,13,29,42
 Master degree,10,16,26
 PhD,-,3,3
 Other,62,42,104
 Total,56261,59278,115539
NotApp :,9317,*,*
AREA # 070303,Padaung,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,4721,6772,11493
 Grade 1,1946,2393,4339
 Grade 2,3334,4553,7887
 Grade 3,4764,6351,11115
 Grade 4,10864,13800,24664
 Grade 5,9561,10844,20405
 Grade 6,3522,3310,6832
 Grade 7,3660,3061,6721
 Grade 8,4511,3541,8052
 Grade 9,5137,3044,8181
 Grade 10,6753,5389,12142
 Grade 11,1530,1253,2783
