Highest_grade,Sex_Male,Sex_Female,Sex_Total
*,Male,Female,Total
 None,1179,1443,2622
 Grade 1,179,151,330
 Grade 2,182,144,326
 Grade 3,196,189,385
 Grade 4,243,179,422
 Grade 5,261,222,483
 Grade 6,132,110,242
 Grade 7,125,101,226
 Grade 8,90,46,136
 Grade 9,97,94,191
 Grade 10,48,66,114
 Grade 11,105,129,234
 College,33,38,71
 Vocational training,6,-,6
 Undergraduate diploma,2,5,7
 Graduate,47,41,88
 Postgraduate diploma,1,-,1
 Other,17,4,21
 Total,2943,2962,5905
NotApp :,837,*,*
AREA # 020201,Bawlakhe,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,383,481,864
 Grade 1,214,187,401
 Grade 2,266,203,469
 Grade 3,372,305,677
 Grade 4,411,312,723
 Grade 5,610,465,1075
 Grade 6,302,216,518
 Grade 7,277,176,453
 Grade 8,288,200,488
 Grade 9,295,174,469
 Grade 10,359,336,695
 Grade 11,127,104,231
 College,43,30,73
 Vocational training,14,2,16
 Undergraduate diploma,21,24,45
 Graduate,201,166,367
 Postgraduate diploma,2,3,5
 Master degree,17,1,18
 PhD,-,1,1
 Other,36,55,91
 Total,4238,3441,7679
NotApp :,801,*,*
AREA # 020202,Parsaung,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,1505,1381,2886
 Grade 1,626,576,1202
 Grade 2,722,649,1371
 Grade 3,1016,904,1920
 Grade 4,1105,846,1951
 Grade 5,1912,1418,3330
 Grade 6,1009,771,1780
 Grade 7,777,575,1352
 Grade 8,796,556,1352
 Grade 9,910,750,1660
 Grade 10,605,522,1127
 Grade 11,892,839,1731
 College,136,136,272
 Vocational training,16,14,30
 Undergraduate diploma,18,4,22
 Graduate,228,182,410
 Postgraduate diploma,5,4,9
 Master degree,12,-,12
 PhD,2,-,2
 Other,75,53,128
 Total,12367,10180,22547
NotApp :,3047,*,*
AREA # 020203,Meisi,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,354,341,695
 Grade 1,167,149,316
 Grade 2,187,152,339
 Grade 3,258,242,500
 Grade 4,270,238,508
 Grade 5,457,362,819
 Grade 6,221,169,390
 Grade 7,177,119,296
 Grade 8,164,108,272
 Grade 9,182,113,295
 Grade 10,91,110,201
 Grade 11,126,139,265
 College,22,24,46
 Vocational training,2,-,2
 Undergraduate diploma,8,10,18
 Graduate,69,62,131
 Postgraduate diploma,1,2,3
 PhD,-,1,1
 Other,262,231,493
 Total,3018,2572,5590
NotApp :,729,*,*
AREA # 020251,Ywathit(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,213,224,437
 Grade 1,38,24,62
 Grade 2,79,45,124
 Grade 3,153,88,241
 Grade 4,134,100,234
 Grade 5,194,132,326
 Grade 6,80,77,157
 Grade 7,79,58,137
 Grade 8,60,51,111
 Grade 9,70,33,103
 Grade 10,38,26,64
 Grade 11,94,58,152
 College,21,17,38
 Undergraduate diploma,2,4,6
 Graduate,40,28,68
 Postgraduate diploma,-,1,1
 Total,1295,966,2261
NotApp :,255,*,*
AREA # 030101,Hpa-an,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,32483,43434,75917
 Grade 1,10370,10234,20604
 Grade 2,12324,13015,25339
 Grade 3,15969,16949,32918
 Grade 4,15804,17266,33070
 Grade 5,23787,26518,50305
 Grade 6,13525,12113,25638
 Grade 7,8822,8853,17675
 Grade 8,9010,8319,17329
 Grade 9,9795,8178,17973
 Grade 10,7061,6261,13322
 Grade 11,9647,9545,19192
 College,2852,3412,6264
 Vocational training,233,149,382
 Undergraduate diploma,475,533,1008
 Graduate,5255,8314,13569
 Postgraduate diploma,173,456,629
 Master degree,142,257,399
 PhD,26,31,57
 Other,2461,954,3415
 Total,180214,194791,375005
NotApp :,46570,*,*
AREA # 030102,Hlaingbwe,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,21267,23581,44848
 Grade 1,3982,3752,7734
 Grade 2,4954,4880,9834
 Grade 3,6058,6033,12091
 Grade 4,5574,6057,11631
 Grade 5,7695,8625,16320
 Grade 6,4202,3876,8078
 Grade 7,2696,3056,5752
 Grade 8,2348,2417,4765
 Grade 9,2396,2293,4689
 Grade 10,1520,1740,3260
 Grade 11,1756,1824,3580
 College,420,559,979
 Vocational training,28,29,57
 Undergraduate diploma,47,83,130
 Graduate,724,1314,2038
 Postgraduate diploma,18,58,76
 Master degree,24,19,43
 PhD,1,2,3
 Other,453,94,547
 Total,66163,70292,136455
NotApp :,19089,*,*
AREA # 030103,Thandaunggyi,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,895,910,1805
 Grade 1,708,773,1481
 Grade 2,901,807,1708
 Grade 3,1216,1022,2238
 Grade 4,1355,1224,2579
 Grade 5,1966,1825,3791
 Grade 6,1132,964,2096
 Grade 7,929,804,1733
 Grade 8,962,895,1857
 Grade 9,1021,888,1909
 Grade 10,1281,1532,2813
 Grade 11,475,671,1146
 College,181,260,441
 Vocational training,48,28,76
 Undergraduate diploma,44,42,86
 Graduate,362,524,886
 Postgraduate diploma,10,10,20
 Master degree,48,3,51
 PhD,2,-,2
 Other,6,7,13
 Total,13542,13189,26731
NotApp :,3478,*,*
AREA # 030151,Paingkyon(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,19404,21603,41007
 Grade 1,2167,1906,4073
 Grade 2,2217,2142,4359
 Grade 3,2592,2605,5197
 Grade 4,2212,2622,4834
 Grade 5,2723,3282,6005
 Grade 6,2055,1648,3703
 Grade 7,817,1046,1863
 Grade 8,752,828,1580
 Grade 9,809,823,1632
 Grade 10,386,551,937
 Grade 11,582,619,1201
 College,108,155,263
 Vocational training,1,5,6
 Undergraduate diploma,21,11,32
 Graduate,163,273,436
 Postgraduate diploma,3,8,11
 Master degree,-,3,3
 Other,216,25,241
 Total,37228,40155,77383
NotApp :,11221,*,*
AREA # 030152,Shan Ywathit(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,6756,6537,13293
 Grade 1,386,388,774
 Grade 2,358,336,694
 Grade 3,395,344,739
 Grade 4,293,325,618
 Grade 5,397,467,864
 Grade 6,191,186,377
 Grade 7,116,126,242
 Grade 8,114,131,245
 Grade 9,94,85,179
 Grade 10,61,54,115
 Grade 11,57,55,112
 College,11,3,14
 Vocational training,-,1,1
 Undergraduate diploma,3,2,5
 Graduate,16,9,25
 Postgraduate diploma,1,-,1
 Master degree,1,1,2
 Other,235,145,380
 Total,9485,9195,18680
