Disability_seeing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,4045,3981,4374,4709,4957,4641,4620,5024,4510,4662,4978,5018,5281,5477,5301,5023,4307,4456,4785,3925,4814,4037,4095,4032,3845,4620,3789,4109,4315,4120,5079,3675,4129,4013,3504,4708,3497,3641,3849,3176,4136,2821,3707,3322,2797,4030,2838,2958,2827,2414,3032,2432,2526,2532,2325,2968,2067,2010,1975,1602,2148,1418,1564,1500,1298,1574,974,1191,869,639,1083,467,574,615,542,1048,461,489,494,313,451,273,298,285,251,282,150,121,108,56,283,252259,Taungdwingyi,MMR009004
 Yes - some difficulty,12,8,2,2,1,6,3,2,4,7,6,5,11,10,9,13,6,7,10,8,8,7,5,10,14,8,7,7,11,10,16,13,15,21,19,13,19,20,31,28,48,50,70,75,75,117,131,126,118,126,160,163,129,151,144,195,136,158,139,136,174,124,184,175,160,200,123,201,133,118,199,98,115,113,101,266,115,132,173,101,149,77,98,104,68,74,59,57,40,23,95,6710,Taungdwingyi,MMR009004
 Yes - a lot of difficulty,2,-,-,1,1,-,-,-,2,1,2,1,3,-,2,-,1,-,1,-,-,2,1,-,1,2,-,5,1,-,2,3,3,3,1,3,2,1,1,1,5,1,2,4,1,3,3,3,7,2,12,7,4,5,11,17,10,9,6,5,5,11,10,10,18,18,17,16,14,16,13,5,13,12,13,35,11,16,19,16,30,22,22,21,14,20,9,13,6,5,32,648,Taungdwingyi,MMR009004
 Yes - cannot see at all,3,1,1,-,2,1,-,-,1,-,-,-,1,1,1,-,-,1,5,-,1,1,3,-,-,-,-,1,1,-,-,2,1,2,1,1,1,-,2,1,1,-,-,3,-,2,1,2,2,-,2,-,2,3,-,3,1,1,4,1,4,1,2,1,4,7,5,5,5,-,9,2,4,2,6,11,3,4,7,3,10,5,10,11,9,8,4,6,4,6,21,243,Taungdwingyi,MMR009004
 Total,4062,3990,4377,4712,4961,4648,4623,5026,4517,4670,4986,5024,5296,5488,5313,5036,4314,4464,4801,3933,4823,4047,4104,4042,3860,4630,3796,4122,4328,4130,5097,3693,4148,4039,3525,4725,3519,3662,3883,3206,4190,2872,3779,3404,2873,4152,2973,3089,2954,2542,3206,2602,2661,2691,2480,3183,2214,2178,2124,1744,2331,1554,1760,1686,1480,1799,1119,1413,1021,773,1304,572,706,742,662,1360,590,641,693,433,640,377,428,421,342,384,222,197,158,90,431,259860,Taungdwingyi,MMR009004
