Disability_seeing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,3572,3523,3797,3716,3891,3747,4144,4342,3872,3929,4292,3986,4273,4291,4086,3675,3355,3575,3604,3062,4061,3029,2916,2982,2833,3707,2910,3062,3266,3087,3851,2882,3123,3249,2680,3834,2706,2974,3200,2804,3484,2384,3106,2762,2420,3541,2368,2597,2221,1973,2766,2094,2090,2359,1983,2495,1813,2001,1875,1631,2222,1565,1694,1656,1218,1542,947,1224,830,626,983,534,632,691,511,930,486,517,503,263,449,257,272,255,160,212,114,114,80,47,251,209636,Yesagyo,MMR009019
 Yes - some difficulty,5,-,2,2,6,3,2,2,8,3,3,4,4,8,2,6,7,4,4,4,9,7,6,7,1,9,5,6,6,4,14,8,12,11,7,14,12,9,9,14,26,23,23,33,36,47,56,60,65,61,72,54,54,73,74,91,73,104,98,83,144,99,119,146,100,149,101,150,108,77,162,84,133,123,108,174,116,110,119,60,127,71,84,71,56,77,50,41,19,15,73,4521,Yesagyo,MMR009019
 Yes - a lot of difficulty,1,-,1,1,-,1,1,-,1,-,1,-,1,2,1,2,4,1,1,-,-,1,-,-,4,1,2,2,-,-,1,-,1,1,1,2,1,1,-,-,5,2,2,3,2,6,4,5,3,3,1,4,6,6,2,9,6,4,9,8,20,13,12,12,9,18,16,22,10,11,18,11,19,15,16,37,13,20,18,11,29,10,17,8,15,22,9,12,10,1,30,611,Yesagyo,MMR009019
 Yes - cannot see at all,-,-,2,2,1,2,-,1,-,1,-,-,3,1,2,1,2,1,3,-,3,1,1,3,-,1,3,2,-,1,2,1,2,1,1,2,2,2,3,1,4,1,5,5,1,2,2,1,-,3,6,1,4,2,5,6,1,1,5,7,19,5,5,6,9,16,11,19,16,16,29,15,24,13,12,42,11,14,17,10,26,8,15,19,7,16,11,19,8,8,22,584,Yesagyo,MMR009019
 Total,3578,3523,3802,3721,3898,3753,4147,4345,3881,3933,4296,3990,4281,4302,4091,3684,3368,3581,3612,3066,4073,3038,2923,2992,2838,3718,2920,3072,3272,3092,3868,2891,3138,3262,2689,3852,2721,2986,3212,2819,3519,2410,3136,2803,2459,3596,2430,2663,2289,2040,2845,2153,2154,2440,2064,2601,1893,2110,1987,1729,2405,1682,1830,1820,1336,1725,1075,1415,964,730,1192,644,808,842,647,1183,626,661,657,344,631,346,388,353,238,327,184,186,117,71,376,215352,Yesagyo,MMR009019
