Disability_seeing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,877,764,800,896,907,845,806,790,791,827,914,714,835,752,696,748,635,654,757,527,856,507,593,576,510,633,413,388,541,407,680,326,380,341,332,574,353,353,422,293,643,261,382,389,267,569,331,291,364,226,574,230,265,301,249,365,280,221,218,132,378,104,112,97,121,156,67,76,57,26,113,22,48,45,30,76,39,23,41,9,50,11,17,8,10,20,14,6,11,4,28,33390,Maukme`,MMR014020
 Yes - some difficulty,1,-,1,-,-,-,-,-,1,1,2,1,1,1,1,-,-,-,-,-,1,-,1,1,-,-,1,-,1,2,-,-,-,-,-,1,-,-,6,-,6,3,2,1,4,6,6,-,6,2,10,6,3,2,8,8,11,4,9,5,20,5,3,5,6,15,2,7,1,4,22,5,7,5,5,10,6,4,7,2,14,2,5,4,6,6,2,1,-,-,11,318,Maukme`,MMR014020
 Yes - a lot of difficulty,-,-,-,1,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,2,-,-,-,-,1,1,-,-,2,6,-,1,1,2,2,1,-,4,2,8,1,1,1,-,1,1,1,1,1,5,57,Maukme`,MMR014020
 Yes - cannot see at all,-,-,1,-,-,-,-,-,-,1,-,2,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,1,1,1,-,-,1,-,-,1,2,-,-,-,-,1,-,-,-,-,2,-,-,1,1,1,-,1,-,-,1,-,-,2,-,-,-,-,-,1,7,-,-,-,1,2,1,1,-,-,3,-,-,-,2,1,1,-,-,-,1,45,Maukme`,MMR014020
 Total,878,764,802,897,908,845,806,790,792,829,917,717,837,753,697,749,635,654,757,527,858,507,595,578,510,633,414,388,542,409,680,327,381,342,332,576,354,353,428,294,653,264,384,390,272,576,337,291,370,228,586,236,268,304,258,374,292,226,228,137,401,109,115,104,127,172,70,83,58,33,148,27,56,51,38,90,47,28,52,13,75,14,23,13,18,28,18,8,12,5,45,33810,Maukme`,MMR014020
