Disability_seeing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,488,546,595,594,546,520,537,588,517,569,524,512,463,530,486,399,424,387,471,370,458,358,342,354,314,321,314,325,322,269,344,244,276,272,246,284,237,232,259,202,264,196,212,252,168,244,181,149,210,143,196,131,146,158,143,136,123,97,106,63,94,54,63,56,55,79,34,32,39,13,47,16,17,23,21,29,19,8,28,5,12,8,7,12,5,11,5,8,5,3,20,20185,Myitta(ST),MMR006001
 Yes - some difficulty,-,-,1,-,1,1,1,-,2,3,2,2,3,2,4,-,2,3,2,1,1,5,5,4,2,3,7,4,5,8,6,2,3,2,9,8,6,7,7,12,17,15,17,31,25,38,33,28,37,26,40,23,34,41,43,24,30,24,23,16,34,20,20,22,16,29,15,17,11,5,17,6,11,5,10,15,12,5,13,3,7,2,4,6,5,3,4,1,2,4,12,1037,Myitta(ST),MMR006001
 Yes - a lot of difficulty,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,1,-,2,1,-,-,1,-,-,-,3,-,2,-,-,1,1,-,-,-,1,2,2,3,1,2,1,4,4,3,4,5,2,3,1,2,2,4,4,6,2,3,-,4,-,4,2,3,4,2,4,2,-,5,-,3,1,2,1,-,1,2,1,1,-,3,124,Myitta(ST),MMR006001
 Yes - cannot see at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,1,-,1,-,-,-,-,1,-,-,1,-,1,-,1,13,Myitta(ST),MMR006001
 Total,488,546,596,595,547,521,538,588,521,572,526,514,466,532,490,399,427,391,473,372,459,363,347,358,316,325,321,331,328,277,350,247,279,274,256,295,243,241,266,214,282,212,229,283,193,283,216,180,250,171,238,156,184,203,189,164,158,123,132,80,130,76,87,82,77,110,52,49,54,19,70,24,31,32,33,48,34,13,47,8,22,11,13,20,10,15,12,10,9,7,36,21359,Myitta(ST),MMR006001
