Disability_seeing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,2392,2455,2194,2486,2454,2352,2369,2545,2420,2447,2474,2190,2489,2454,2398,2265,2103,2236,2212,1847,2060,1714,1743,1757,1771,2147,1682,1763,1809,1674,2051,1529,1673,1636,1447,1741,1505,1546,1690,1417,1550,1214,1432,1348,1150,1427,1091,1069,1140,1040,1231,1052,1037,1059,940,1057,817,734,688,596,721,495,537,588,491,551,437,377,301,289,354,210,264,267,252,302,174,166,186,136,154,91,100,118,68,87,46,46,30,27,68,110742,Pinlebu,MMR005026
 Yes - some difficulty,12,3,1,1,-,2,2,1,-,1,3,2,3,4,5,1,5,1,1,2,3,2,2,3,2,6,5,1,3,3,1,1,2,3,-,2,1,1,1,7,4,6,3,4,11,8,17,12,10,16,14,15,16,19,14,17,12,16,21,18,19,10,21,25,24,23,19,28,25,23,30,15,22,27,25,36,27,24,29,22,25,22,18,17,21,14,16,7,1,5,13,985,Pinlebu,MMR005026
 Yes - a lot of difficulty,2,-,2,1,-,2,1,-,-,-,-,2,-,1,-,1,-,1,-,-,-,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,1,-,-,1,-,-,1,1,-,-,-,1,1,2,3,1,3,4,1,2,2,3,2,2,3,1,1,2,2,3,1,2,3,-,4,3,2,3,2,5,2,1,4,3,10,3,3,3,3,4,2,-,2,5,4,134,Pinlebu,MMR005026
 Yes - cannot see at all,5,-,1,3,2,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,-,1,-,1,-,1,-,-,2,-,-,1,-,1,1,-,-,2,1,-,-,1,1,1,-,2,-,1,1,4,3,1,3,4,6,4,6,3,3,2,2,4,2,5,1,1,3,-,-,1,1,-,1,6,107,Pinlebu,MMR005026
 Total,2411,2458,2198,2491,2456,2357,2373,2546,2421,2449,2477,2194,2492,2459,2403,2267,2108,2238,2213,1849,2065,1718,1746,1760,1773,2154,1688,1765,1814,1677,2052,1531,1675,1639,1448,1743,1507,1547,1692,1425,1555,1220,1437,1353,1161,1437,1108,1082,1152,1058,1249,1069,1056,1082,957,1077,831,753,712,617,744,506,561,615,518,578,461,410,330,315,392,234,292,303,282,346,205,193,223,163,194,117,122,141,92,105,65,54,33,38,91,111968,Pinlebu,MMR005026
