Disability_seeing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,293,212,218,214,223,256,225,268,257,277,276,298,352,395,403,428,440,511,706,656,713,616,609,609,504,543,502,464,475,393,471,341,384,372,356,331,329,315,359,319,399,322,402,340,353,370,339,334,355,320,337,264,306,340,319,284,262,267,245,235,274,172,173,185,128,134,111,134,104,105,78,67,77,78,76,111,75,61,57,33,68,41,35,42,45,35,22,17,23,13,62,24942,Dagon,MMR013043
 Yes - some difficulty,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-,2,-,-,1,1,-,-,-,1,1,-,3,2,2,1,1,2,3,1,-,1,1,1,1,2,2,-,1,1,2,5,2,5,4,4,3,1,2,3,4,5,3,3,4,1,-,1,1,1,1,-,2,2,1,-,1,4,5,108,Dagon,MMR013043
 Yes - a lot of difficulty,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,2,-,-,1,-,-,2,1,-,-,-,2,5,16,Dagon,MMR013043
 Yes - cannot see at all,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,1,1,-,1,-,3,16,Dagon,MMR013043
 Total,293,213,218,215,224,256,226,269,257,277,277,298,352,395,403,428,440,512,706,656,714,616,609,609,505,543,502,465,476,394,472,341,384,374,356,331,330,316,359,319,399,323,403,340,356,372,341,335,356,322,340,265,306,341,320,285,263,269,247,235,276,173,175,190,130,139,115,138,108,106,81,70,81,83,79,114,80,62,60,34,69,44,36,43,49,39,24,17,25,19,75,25082,Dagon,MMR013043
