Disability_seeing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,1887,2271,2311,2449,2630,2584,2722,2605,2331,2578,2654,2561,2708,3069,2763,2741,2416,2660,2795,2453,3043,2499,2504,2488,2478,3098,2424,2642,2894,2457,3258,2627,2683,2893,2501,3440,2692,2647,2957,2534,3089,2241,2793,2468,2083,2681,2161,2269,2401,2031,2412,1975,2061,2312,1844,2178,1858,1610,1630,1457,1840,1252,1322,1279,1033,1393,870,883,684,406,748,407,579,532,437,840,490,346,445,273,434,265,268,276,191,235,141,95,77,68,186,167796,Nattalin,MMR008012
 Yes - some difficulty,-,2,2,6,5,2,4,2,3,3,4,5,1,6,6,5,5,8,2,8,5,5,3,4,4,6,1,6,8,11,3,4,5,8,9,8,14,15,18,14,31,35,34,46,52,59,51,55,70,55,71,57,77,79,79,102,79,69,73,81,139,84,89,86,91,128,78,108,67,40,94,47,93,86,89,163,75,81,93,40,108,77,66,58,44,62,30,25,27,11,55,3819,Nattalin,MMR008012
 Yes - a lot of difficulty,2,-,-,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-,2,1,-,-,-,1,-,1,-,2,1,1,1,2,-,4,1,1,-,1,-,3,2,2,1,1,5,6,1,2,2,5,3,1,4,1,3,7,5,2,7,3,10,4,7,10,7,16,10,9,13,2,8,8,10,6,11,20,11,9,16,7,9,6,7,7,5,11,7,7,2,5,18,368,Nattalin,MMR008012
 Yes - cannot see at all,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,1,2,-,-,-,-,-,1,-,-,-,-,-,-,1,-,1,-,-,1,1,-,-,1,-,-,1,-,2,1,1,1,2,1,-,2,2,-,1,2,2,6,6,1,1,2,6,2,2,6,2,10,2,7,3,1,6,-,5,2,6,5,2,5,5,5,6,3,3,4,1,11,158,Nattalin,MMR008012
 Total,1889,2273,2314,2456,2635,2586,2728,2607,2334,2581,2658,2566,2709,3077,2769,2746,2422,2668,2800,2463,3050,2504,2507,2493,2482,3105,2426,2650,2903,2469,3262,2633,2688,2906,2511,3450,2706,2663,2976,2552,3122,2278,2829,2515,2140,2747,2213,2328,2474,2092,2487,2035,2143,2392,1928,2289,1942,1682,1712,1543,1995,1346,1419,1376,1133,1543,960,1002,770,450,860,464,689,627,538,1029,576,441,556,326,556,350,346,346,245,314,181,130,110,85,270,172141,Nattalin,MMR008012
