Disability_seeing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,207,187,197,230,252,231,268,241,243,248,243,262,282,231,253,197,220,192,239,182,226,155,159,173,181,202,164,167,206,158,241,144,181,180,141,190,151,144,143,135,173,115,153,139,112,129,96,94,107,68,119,67,72,87,62,80,75,57,49,39,57,30,37,29,23,27,20,18,26,10,30,11,12,12,8,13,9,6,12,5,2,2,4,5,2,2,4,-,3,2,3,10363,Hsinbo(ST),MMR001001
 Yes - some difficulty,-,-,-,-,-,-,-,1,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,2,1,-,1,3,1,-,2,-,4,2,4,7,3,6,11,6,10,4,10,11,6,4,6,4,5,6,5,5,3,8,6,8,6,4,7,6,1,3,2,7,2,-,2,4,9,3,3,2,2,2,4,1,-,-,2,1,-,-,-,3,236,Hsinbo(ST),MMR001001
 Yes - a lot of difficulty,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,1,1,-,-,-,-,1,1,-,-,-,1,-,2,-,2,1,1,-,2,2,1,-,3,-,1,1,-,2,2,-,1,3,-,1,2,-,-,1,-,-,-,1,-,-,-,42,Hsinbo(ST),MMR001001
 Yes - cannot see at all,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,2,1,-,1,1,1,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,14,Hsinbo(ST),MMR001001
 Total,207,187,197,230,252,231,268,242,243,249,245,262,282,234,254,197,220,192,240,182,226,156,159,173,183,203,164,167,207,158,243,146,181,181,144,191,151,146,144,139,175,119,160,142,118,142,104,104,111,78,130,74,77,93,66,85,82,62,56,42,67,38,46,35,29,37,27,19,34,13,38,15,13,17,14,23,13,12,14,8,6,6,5,6,2,5,5,1,3,2,6,10655,Hsinbo(ST),MMR001001
