Disability_seeing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,5006,5392,5299,5470,5904,5832,6031,6127,5896,5971,6327,5798,6295,6743,6397,6064,5617,5671,5977,5277,6214,5134,5090,4840,4440,5473,4685,4852,5338,4720,5973,4680,5036,5172,4218,5606,4367,4267,4763,4361,4947,3700,4676,4092,3783,4794,4019,3606,3877,3398,4224,3383,3573,3766,3188,3830,3094,2779,2959,2332,3189,2082,2026,1995,1786,1924,1370,1304,955,717,1203,655,866,869,891,1313,724,648,750,412,698,393,425,408,313,366,217,170,152,87,329,319580,Hinthada,MMR017008
 Yes - some difficulty,26,5,4,7,6,9,13,9,14,13,16,12,17,28,20,16,20,18,25,11,28,18,21,22,11,21,22,27,31,23,23,31,35,42,33,67,56,48,78,82,119,122,221,199,235,294,311,318,356,325,449,367,448,420,381,496,442,385,399,380,543,364,395,411,409,449,308,326,274,246,402,244,315,349,363,531,328,295,312,204,364,222,194,214,179,191,140,90,68,43,200,16648,Hinthada,MMR017008
 Yes - a lot of difficulty,5,2,3,1,1,4,2,6,2,4,2,5,2,9,4,6,5,6,3,5,1,3,10,5,1,2,2,2,7,4,6,1,6,2,3,7,4,8,5,9,9,8,12,9,12,13,11,10,11,8,19,12,13,19,18,24,19,25,29,21,42,36,33,21,33,37,30,28,30,27,47,20,41,47,47,78,57,39,47,44,55,50,62,59,40,46,32,20,19,13,66,1713,Hinthada,MMR017008
 Yes - cannot see at all,-,3,2,2,5,1,4,2,1,1,1,2,7,4,6,5,-,3,2,1,3,3,3,-,-,1,-,2,-,1,3,1,2,1,-,1,-,3,2,1,-,1,6,3,1,2,-,3,2,4,4,4,5,6,6,4,6,7,2,8,10,6,8,7,7,10,11,10,6,5,12,8,10,5,13,18,9,11,19,22,13,10,9,17,13,20,12,7,1,3,29,494,Hinthada,MMR017008
 Total,5037,5402,5308,5480,5916,5846,6050,6144,5913,5989,6346,5817,6321,6784,6427,6091,5642,5698,6007,5294,6246,5158,5124,4867,4452,5497,4709,4883,5376,4748,6005,4713,5079,5217,4254,5681,4427,4326,4848,4453,5075,3831,4915,4303,4031,5103,4341,3937,4246,3735,4696,3766,4039,4211,3593,4354,3561,3196,3389,2741,3784,2488,2462,2434,2235,2420,1719,1668,1265,995,1664,927,1232,1270,1314,1940,1118,993,1128,682,1130,675,690,698,545,623,401,287,240,146,624,338435,Hinthada,MMR017008
