Disability_seeing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,3601,3702,3780,3964,4224,3987,4061,4261,4100,4382,4409,4515,4925,5530,5593,5152,5565,5942,7010,6595,7511,6467,6337,6447,6220,6244,5698,5523,6068,5310,6664,4979,5467,5193,4739,5216,4565,4215,5070,4191,4978,3652,4667,4234,3790,4591,3790,3706,3982,3276,3745,2795,3284,3293,2819,3005,2626,2335,2413,2056,2630,1585,1753,1714,1449,1794,1233,1422,1143,778,1107,646,757,764,713,956,655,479,557,353,472,339,308,319,273,277,222,151,129,87,402,301926,Insein,MMR013001
 Yes - some difficulty,-,1,2,1,2,-,3,5,3,5,4,4,9,7,4,3,7,11,8,10,11,7,13,12,8,17,17,10,19,12,26,14,23,9,10,22,15,16,16,19,30,19,40,43,41,58,50,50,62,57,67,51,56,69,60,58,49,52,54,56,64,48,59,62,59,71,43,56,65,34,77,35,49,51,53,90,58,41,46,31,58,36,37,41,35,44,33,16,23,14,80,2916,Insein,MMR013001
 Yes - a lot of difficulty,-,-,1,1,-,2,-,2,-,-,2,2,1,2,1,-,1,2,-,2,-,-,1,3,1,1,2,1,1,1,-,-,2,1,2,4,2,1,3,2,3,3,3,1,3,1,1,1,3,2,13,3,5,3,7,8,4,4,2,2,1,3,8,4,6,10,3,9,5,3,5,3,4,4,2,6,5,2,8,4,8,5,6,6,5,5,7,3,5,1,18,283,Insein,MMR013001
 Yes - cannot see at all,-,-,1,1,1,-,-,1,-,2,1,1,1,1,-,1,2,1,-,-,2,1,1,-,-,1,2,1,1,-,-,-,1,-,1,-,-,1,3,-,2,-,1,5,4,-,3,4,2,2,3,-,4,1,2,-,2,1,2,3,3,1,1,1,1,1,2,4,2,4,1,3,3,2,2,6,4,2,3,4,-,3,1,2,3,4,3,2,4,4,12,158,Insein,MMR013001
 Total,3601,3703,3784,3967,4227,3989,4064,4269,4103,4389,4416,4522,4936,5540,5598,5156,5575,5956,7018,6607,7524,6475,6352,6462,6229,6263,5719,5535,6089,5323,6690,4993,5493,5203,4752,5242,4582,4233,5092,4212,5013,3674,4711,4283,3838,4650,3844,3761,4049,3337,3828,2849,3349,3366,2888,3071,2681,2392,2471,2117,2698,1637,1821,1781,1515,1876,1281,1491,1215,819,1190,687,813,821,770,1058,722,524,614,392,538,383,352,368,316,330,265,172,161,106,512,305283,Insein,MMR013001
