Disability_seeing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,4272,4294,4434,4754,4530,4403,4342,4168,4091,3866,4197,3877,4241,4394,3934,3468,3352,3300,3867,3329,3965,3123,3399,3351,3116,3662,3053,3119,3546,2974,4425,2685,3393,3327,2718,3807,2851,2634,3437,2490,3608,2015,2912,2557,2104,3078,1973,1761,2149,1479,2409,1221,1561,1474,1265,1704,1313,1006,1130,742,1495,537,650,637,481,868,372,462,357,184,517,131,183,174,140,271,136,94,134,57,154,32,59,59,51,78,49,41,19,29,116,192216,Myawady,MMR003005
 Yes - some difficulty,17,7,6,3,8,7,7,9,6,6,9,9,7,5,11,9,9,7,12,9,14,12,6,10,3,8,8,13,9,10,17,8,15,12,16,27,18,16,27,14,52,36,41,52,77,97,74,83,81,86,116,100,86,92,84,110,94,82,90,60,113,74,71,59,52,79,37,55,37,18,94,16,31,29,21,66,20,14,29,12,31,12,13,8,6,19,10,5,4,9,36,3099,Myawady,MMR003005
 Yes - a lot of difficulty,-,-,-,-,2,-,1,1,1,1,-,1,2,-,1,-,1,-,-,1,-,-,-,-,-,2,1,1,1,1,2,1,3,1,2,2,1,1,3,2,2,4,4,1,5,4,2,-,5,2,5,2,2,8,3,5,4,1,2,3,11,4,3,4,3,12,6,6,4,3,7,2,2,4,7,6,2,2,5,-,6,1,-,2,1,1,2,2,1,4,4,217,Myawady,MMR003005
 Yes - cannot see at all,-,-,-,-,-,1,1,-,2,-,-,-,1,-,4,2,1,-,2,1,-,1,1,2,-,2,-,-,-,2,-,-,-,2,1,1,-,-,3,1,1,-,2,2,-,3,-,-,1,-,3,1,-,1,-,1,2,2,-,-,1,1,3,-,1,2,1,1,1,-,5,-,2,4,1,2,1,2,1,-,4,-,-,1,-,1,-,-,1,-,6,92,Myawady,MMR003005
 Total,4289,4301,4440,4757,4540,4411,4351,4178,4100,3873,4206,3887,4251,4399,3950,3479,3363,3307,3881,3340,3979,3136,3406,3363,3119,3674,3062,3133,3556,2987,4444,2694,3411,3342,2737,3837,2870,2651,3470,2507,3663,2055,2959,2612,2186,3182,2049,1844,2236,1567,2533,1324,1649,1575,1352,1820,1413,1091,1222,805,1620,616,727,700,537,961,416,524,399,205,623,149,218,211,169,345,159,112,169,69,195,45,72,70,58,99,61,48,25,42,162,195624,Myawady,MMR003005
