Disability_seeing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,4078,4061,4287,4522,4735,4562,4617,4874,4592,4762,4754,4735,5200,5694,5614,5163,4850,5237,5889,5190,6177,5090,4911,4675,4544,5397,4543,4588,5200,4659,6036,4372,4741,4255,3911,4669,3789,3635,4520,3636,4552,3092,4253,3706,3164,3967,3350,3238,3685,2820,3738,2717,3083,3013,2671,3101,2559,2152,2350,1945,2665,1536,1641,1330,1092,1433,898,926,771,486,823,455,490,540,545,825,481,374,465,213,420,244,255,219,193,226,129,107,92,57,246,274097,Pathein,MMR017001
 Yes - some difficulty,20,6,7,8,8,5,8,9,8,7,17,19,18,26,29,26,32,29,39,31,19,29,26,33,29,32,22,33,39,38,51,43,39,57,39,47,46,56,64,75,123,106,194,206,180,228,235,218,282,263,366,284,317,334,309,339,321,297,336,289,416,253,322,236,239,300,203,220,187,126,234,107,163,184,165,299,168,139,169,120,185,100,111,112,89,90,66,41,41,21,120,11622,Pathein,MMR017001
 Yes - a lot of difficulty,6,1,1,2,3,2,1,3,2,3,3,1,-,3,6,3,2,1,-,1,4,5,4,1,5,1,1,2,7,3,3,1,4,3,5,6,4,5,5,5,10,2,11,7,8,10,7,7,13,9,9,7,19,21,13,22,12,19,22,13,23,11,22,16,21,28,19,22,18,13,29,16,24,23,16,46,27,21,29,16,45,20,19,19,16,24,15,12,15,9,49,1042,Pathein,MMR017001
 Yes - cannot see at all,2,2,3,-,4,5,-,2,2,2,3,1,1,2,2,-,3,1,4,3,-,1,-,1,-,2,1,1,1,2,-,2,3,2,1,-,-,-,1,1,-,1,2,4,3,2,5,5,2,4,6,3,4,2,4,7,4,5,5,3,8,4,6,3,4,6,7,6,8,5,6,3,2,4,9,11,7,2,5,6,11,1,7,4,4,6,6,4,5,1,17,310,Pathein,MMR017001
 Total,4106,4070,4298,4532,4750,4574,4626,4888,4604,4774,4777,4756,5219,5725,5651,5192,4887,5268,5932,5225,6200,5125,4941,4710,4578,5432,4567,4624,5247,4702,6090,4418,4787,4317,3956,4722,3839,3696,4590,3717,4685,3201,4460,3923,3355,4207,3597,3468,3982,3096,4119,3011,3423,3370,2997,3469,2896,2473,2713,2250,3112,1804,1991,1585,1356,1767,1127,1174,984,630,1092,581,679,751,735,1181,683,536,668,355,661,365,392,354,302,346,216,164,153,88,432,287071,Pathein,MMR017001
