Disability_seeing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,938,1000,991,1028,1084,1036,1214,1189,1036,1131,1186,1178,1135,1214,1105,1038,1036,1087,1082,974,1105,959,903,950,926,1003,849,997,1009,928,1105,832,934,972,753,973,759,845,771,703,821,682,759,688,621,776,596,669,611,573,704,556,566,540,495,570,461,438,438,377,422,295,279,303,253,314,209,206,147,136,148,118,127,116,107,145,90,95,113,60,72,49,46,51,30,36,19,17,12,7,35,55956,Kalewa,MMR005028
 Yes - some difficulty,1,-,-,1,1,-,-,1,1,1,1,-,2,-,-,1,-,-,-,1,1,-,1,-,-,-,-,-,1,-,2,2,1,-,1,3,2,3,4,3,3,7,2,8,3,13,5,5,10,11,9,6,13,8,7,14,6,5,6,6,10,7,7,7,5,11,9,12,12,4,8,6,9,10,9,11,7,6,7,7,4,6,6,5,9,7,2,2,-,1,4,392,Kalewa,MMR005028
 Yes - a lot of difficulty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,2,-,1,-,-,2,-,-,1,-,3,1,-,1,4,-,1,2,1,-,3,32,Kalewa,MMR005028
 Yes - cannot see at all,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,-,1,-,-,2,-,1,1,-,-,1,-,1,1,-,-,-,-,-,1,-,-,2,1,3,1,-,3,4,1,-,3,1,2,-,2,1,2,1,-,1,1,-,-,3,2,1,-,1,-,1,52,Kalewa,MMR005028
 Total,939,1000,991,1029,1085,1036,1215,1190,1037,1132,1187,1178,1137,1214,1105,1039,1036,1087,1082,975,1107,959,904,951,926,1003,849,998,1011,928,1108,834,935,973,754,976,761,848,775,706,825,690,761,696,626,790,602,678,621,584,714,563,580,549,502,584,467,443,444,384,432,302,289,311,262,326,219,221,163,141,158,127,138,128,116,160,98,103,122,67,80,57,52,57,46,45,23,21,14,8,43,56432,Kalewa,MMR005028
