Sex,Industry_Not_stated,"Industry_Crop_and_animal_production,_hunting_and_related_service_activities",Industry_Forestry_and_logging,Industry_Fishing_and_aquaculture,Industry_Mining_of_coal_and_lignite,Industry_Extraction_of_crude_petroleum_and_natural_gas,Industry_Mining_of_metal_ores,Industry_Other_mining_and_quarrying,Industry_Mining_support_service_activities,Industry_Manufacture_of_food_products,Industry_Manufacture_of_beverages,Industry_Manufacture_of_tobacco_products,Industry_Manufacture_of_textiles,Industry_Manufacture_of_wearing_apparel,Industry_Manufacture_of_leather_and_related_products,"Industry_Manufacture_of_wood_and_of_products_of_wood_and_cork,_except_furniture;_manufacture_of_articles_of_straw_and_plaiting_materials",Industry_Manufacture_of_paper_and_paper_products,Industry_Printing_and_reproduction_of_recorded_media,Industry_Manufacture_of_coke_and_refined_petroleum_products,Industry_Manufacture_of_chemicals_and_chemical_products,Industry_Manufacture_of_basic_pharmaceutical_products_and_pharmaceutical_preparations,Industry_Manufacture_of_rubber_and_plastics_products,Industry_Manufacture_of_other_non-metallic_mineral_products,Industry_Manufacture_of_basic_metals,"Industry_Manufacture_of_fabricated_metal_products,_except_machinery_and_equipment","Industry_Manufacture_of_computer,_electronic_and_optical_products",Industry_Manufacture_of_electrical_equipment,Industry_Manufacture_of_machinery_and_equipment_n.e.c.,"Industry_Manufacture_of_motor_vehicles,_trailers_and_semi-trailers",Industry_Manufacture_of_other_transport_equipment,Industry_Manufacture_of_furniture,Industry_Other_manufacturing,Industry_Repair_and_installation_of_machinery_and_equipment,Industry_Making_jewellery,"Industry_Electricity,_gas,_steam_and_air_conditioning_supply","Industry_Water_collection,_treatment_and_supply",Industry_Sewerage,"Industry_Waste_collection,_treatment_and_disposal_activities;_materials_recovery",Industry_Remediation_activities_and_other_waste_management_services,Industry_Construction_of_buildings,Industry_Civil_engineering,Industry_Specialized_construction_activities,Industry_Wholesale_and_retail_trade_and_repair_of_motor_vehicles_and_motorcycles,"Industry_Wholesale_trade,_except_of_motor_vehicles_and_motorcycles","Industry_Retail_trade,_except_of_motor_vehicles_and_motorcycles",Industry_Land_transport_and_transport_via_pipelines,Industry_Water_transport,Industry_Air_transport,Industry_Warehousing_and_support_activities_for_transportation,Industry_Postal_and_courier_activities,Industry_Accommodation,Industry_Food_and_beverage_service_activities,Industry_Publishing_activities,"Industry_Motion_picture,_video_and_television_programme_production,_sound_recording_and_music_publishing_activities",Industry_Programming_and_broadcasting_activities,Industry_Telecommunications,"Industry_Computer_programming,_consultancy_and_related_activities",Industry_Information_service_activities,"Industry_Financial_service_activities,_except_insurance_and_pension_funding","Industry_Insurance,_reinsurance_and_pension_funding,_except_compulsory_social_security",Industry_Activities_auxiliary_to_financial_service_and_insurance_activities,Industry_Real_estate_activities,Industry_Legal_and_accounting_activities,Industry_Activities_of_head_offices;_management_consultancy_activities,Industry_Architectural_and_engineering_activities;_technical_testing_and_analysis,Industry_Scientific_research_and_development,Industry_Advertising_and_market_research,"Industry_Other_professional,_scientific_and_technical_activities",Industry_Veterinary_activities,Industry_Rental_and_leasing_activities,Industry_Employment_activities,"Industry_Travel_agency,_tour_operator,_reservation_service_and_related_activities",Industry_Security_and_investigation_activities,Industry_Services_to_buildings_and_landscape_activities,"Industry_Office_administrative,_office_support_and_other_business_support_activities",Industry_Public_administration_and_defence;_compulsory_social_security,Industry_Education,Industry_Human_health_activities,Industry_Residential_care_activities,Industry_Social_work_activities_without_accommodation,"Industry_Creative,_arts_and_entertainment_activities","Industry_Libraries,_archives,_museums_and_other_cultural_activities",Industry_Gambling_and_betting_activities,Industry_Sports_activities_and_amusement_and_recreation_activities,Industry_Activities_of_membership_organizations,Industry_Repair_of_computers_and_personal_and_household_goods,Industry_Other_personal_service_activities,Industry_Activities_of_households_as_employers_of_domestic_personnel,Industry_Undifferentiated_goods-_and_services-producing_activities_of_private_households_for_own_use,Industry_Activities_of_extraterritorial_organizations_and_bodies,Industry_Total,Township,MIMU_code
 Male,9201,14803,680,149,2,6,7,1841,20,193,36,3,542,225,-,169,2,63,11,1,61,18,68,66,408,5,3,32,-,3,217,162,823,-,295,199,-,-,9,6450,28,563,1212,202,5740,5139,223,62,69,4,103,2674,72,30,6,79,14,15,43,4,43,52,66,2,6,1,3,90,7,48,-,21,83,120,379,4448,413,295,64,852,160,3,81,43,321,53,1539,1004,199,51,63502,Myitkyina,MMR001001
 Female,5916,5724,150,19,3,2,2,230,2,128,19,2,1780,1345,-,140,1,31,5,1,71,5,15,5,10,-,1,3,-,1,22,71,16,-,46,20,-,-,7,725,9,29,71,111,7150,99,13,14,1,1,84,4497,18,4,4,71,7,8,66,2,84,38,75,-,1,-,-,30,2,31,-,11,11,14,295,1370,2980,720,78,446,29,1,23,48,244,4,989,668,117,41,37127,Myitkyina,MMR001001
 Total,15117,20527,830,168,5,8,9,2071,22,321,55,5,2322,1570,-,309,3,94,16,2,132,23,83,71,418,5,4,35,-,4,239,233,839,-,341,219,-,-,16,7175,37,592,1283,313,12890,5238,236,76,70,5,187,7171,90,34,10,150,21,23,109,6,127,90,141,2,7,1,3,120,9,79,-,32,94,134,674,5818,3393,1015,142,1298,189,4,104,91,565,57,2528,1672,316,92,100629,Myitkyina,MMR001001
 Male,2797,16368,102,44,-,-,1,512,1,96,9,-,20,11,-,39,-,4,-,-,3,1,25,16,60,-,2,5,-,5,41,33,112,-,20,24,1,-,-,895,2,17,144,40,669,572,9,-,-,-,1,191,11,-,-,7,1,4,1,1,-,2,9,-,-,1,-,7,1,3,-,4,11,1,107,468,103,26,14,178,4,-,3,1,75,5,391,465,26,6,24828,Waingmaw,MMR001002
 Female,1870,7988,8,13,-,-,2,110,-,26,3,-,91,139,-,30,-,2,-,-,2,-,5,2,2,-,-,-,-,-,-,15,5,-,5,4,-,1,-,119,2,1,10,48,1620,7,-,-,-,-,2,674,3,-,-,6,-,-,1,-,5,6,5,-,-,-,-,3,1,5,-,-,2,1,78,115,668,102,13,117,1,1,2,-,50,-,191,217,17,4,14420,Waingmaw,MMR001002
 Total,4667,24356,110,57,-,-,3,622,1,122,12,-,111,150,-,69,-,6,-,-,5,1,30,18,62,-,2,5,-,5,41,48,117,-,25,28,1,1,-,1014,4,18,154,88,2289,579,9,-,-,-,3,865,14,-,-,13,1,4,2,1,5,8,14,-,-,1,-,10,2,8,-,4,13,2,185,583,771,128,27,295,5,1,5,1,125,5,582,682,43,10,39248,Waingmaw,MMR001002
 Male,24,261,-,-,-,-,1,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,1,-,12,9,-,-,-,-,-,3,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,1,1,-,1,-,-,-,-,-,-,-,-,-,1,362,Ingyanyan,MMR001003
 Female,14,270,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,23,1,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4,3,-,-,-,-,-,-,-,-,-,1,-,-,331,Ingyanyan,MMR001003
 Total,38,531,-,-,-,-,1,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,1,-,35,10,-,-,-,-,-,9,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,5,4,-,1,-,-,-,-,-,-,-,1,-,1,693,Ingyanyan,MMR001003
 Male,1403,5847,52,77,-,-,1,791,2,17,5,-,1,6,-,11,-,4,-,-,-,-,10,-,7,-,-,-,-,-,5,6,30,-,11,9,-,-,-,353,1,6,68,25,617,521,155,-,7,-,4,81,1,1,-,3,-,-,1,-,-,3,1,-,-,-,-,3,1,1,-,-,1,-,11,416,27,10,4,58,1,-,2,1,12,-,38,6,9,1,10745,Tanaing,MMR001004
