Sex,Industry_Not_stated,"Industry_Crop_and_animal_production,_hunting_and_related_service_activities",Industry_Forestry_and_logging,Industry_Fishing_and_aquaculture,Industry_Mining_of_coal_and_lignite,Industry_Extraction_of_crude_petroleum_and_natural_gas,Industry_Mining_of_metal_ores,Industry_Other_mining_and_quarrying,Industry_Mining_support_service_activities,Industry_Manufacture_of_food_products,Industry_Manufacture_of_beverages,Industry_Manufacture_of_tobacco_products,Industry_Manufacture_of_textiles,Industry_Manufacture_of_wearing_apparel,Industry_Manufacture_of_leather_and_related_products,"Industry_Manufacture_of_wood_and_of_products_of_wood_and_cork,_except_furniture;_manufacture_of_articles_of_straw_and_plaiting_materials",Industry_Manufacture_of_paper_and_paper_products,Industry_Printing_and_reproduction_of_recorded_media,Industry_Manufacture_of_coke_and_refined_petroleum_products,Industry_Manufacture_of_chemicals_and_chemical_products,Industry_Manufacture_of_basic_pharmaceutical_products_and_pharmaceutical_preparations,Industry_Manufacture_of_rubber_and_plastics_products,Industry_Manufacture_of_other_non-metallic_mineral_products,Industry_Manufacture_of_basic_metals,"Industry_Manufacture_of_fabricated_metal_products,_except_machinery_and_equipment","Industry_Manufacture_of_computer,_electronic_and_optical_products",Industry_Manufacture_of_electrical_equipment,Industry_Manufacture_of_machinery_and_equipment_n.e.c.,"Industry_Manufacture_of_motor_vehicles,_trailers_and_semi-trailers",Industry_Manufacture_of_other_transport_equipment,Industry_Manufacture_of_furniture,Industry_Other_manufacturing,Industry_Repair_and_installation_of_machinery_and_equipment,Industry_Making_jewellery,"Industry_Electricity,_gas,_steam_and_air_conditioning_supply","Industry_Water_collection,_treatment_and_supply",Industry_Sewerage,"Industry_Waste_collection,_treatment_and_disposal_activities;_materials_recovery",Industry_Remediation_activities_and_other_waste_management_services,Industry_Construction_of_buildings,Industry_Civil_engineering,Industry_Specialized_construction_activities,Industry_Wholesale_and_retail_trade_and_repair_of_motor_vehicles_and_motorcycles,"Industry_Wholesale_trade,_except_of_motor_vehicles_and_motorcycles","Industry_Retail_trade,_except_of_motor_vehicles_and_motorcycles",Industry_Land_transport_and_transport_via_pipelines,Industry_Water_transport,Industry_Air_transport,Industry_Warehousing_and_support_activities_for_transportation,Industry_Postal_and_courier_activities,Industry_Accommodation,Industry_Food_and_beverage_service_activities,Industry_Publishing_activities,"Industry_Motion_picture,_video_and_television_programme_production,_sound_recording_and_music_publishing_activities",Industry_Programming_and_broadcasting_activities,Industry_Telecommunications,"Industry_Computer_programming,_consultancy_and_related_activities",Industry_Information_service_activities,"Industry_Financial_service_activities,_except_insurance_and_pension_funding","Industry_Insurance,_reinsurance_and_pension_funding,_except_compulsory_social_security",Industry_Activities_auxiliary_to_financial_service_and_insurance_activities,Industry_Real_estate_activities,Industry_Legal_and_accounting_activities,Industry_Activities_of_head_offices;_management_consultancy_activities,Industry_Architectural_and_engineering_activities;_technical_testing_and_analysis,Industry_Scientific_research_and_development,Industry_Advertising_and_market_research,"Industry_Other_professional,_scientific_and_technical_activities",Industry_Veterinary_activities,Industry_Rental_and_leasing_activities,Industry_Employment_activities,"Industry_Travel_agency,_tour_operator,_reservation_service_and_related_activities",Industry_Security_and_investigation_activities,Industry_Services_to_buildings_and_landscape_activities,"Industry_Office_administrative,_office_support_and_other_business_support_activities",Industry_Public_administration_and_defence;_compulsory_social_security,Industry_Education,Industry_Human_health_activities,Industry_Residential_care_activities,Industry_Social_work_activities_without_accommodation,"Industry_Creative,_arts_and_entertainment_activities","Industry_Libraries,_archives,_museums_and_other_cultural_activities",Industry_Gambling_and_betting_activities,Industry_Sports_activities_and_amusement_and_recreation_activities,Industry_Activities_of_membership_organizations,Industry_Repair_of_computers_and_personal_and_household_goods,Industry_Other_personal_service_activities,Industry_Activities_of_households_as_employers_of_domestic_personnel,Industry_Undifferentiated_goods-_and_services-producing_activities_of_private_households_for_own_use,Industry_Activities_of_extraterritorial_organizations_and_bodies,Industry_Total,Township,MIMU_code
 Male,12254,22930,1662,191,2,276,1,454,6,1331,114,76,934,443,162,626,6,84,176,5,66,118,164,347,1908,5,8,26,5,13,938,1081,1288,-,421,421,-,-,1,9895,58,576,2071,882,7319,7826,627,8,593,1,109,5350,153,22,1,112,8,7,160,4,40,44,73,-,1,-,1,174,9,124,-,4,66,10,983,4070,802,400,14,29,451,1,209,70,234,74,1625,2290,95,8,96226,Monywa,MMR005012
 Female,12776,20421,792,46,-,78,2,276,2,1033,57,599,4292,2938,25,1113,5,73,55,3,65,30,153,43,122,3,2,3,-,4,70,848,61,-,42,94,-,-,1,1742,56,32,71,254,11704,176,57,2,158,-,106,7748,71,7,1,61,4,3,237,1,55,9,65,-,-,-,1,60,2,122,-,3,8,10,552,2138,3289,637,8,10,110,2,41,31,169,-,1783,2162,120,10,80015,Monywa,MMR005012
 Total,25030,43351,2454,237,2,354,3,730,8,2364,171,675,5226,3381,187,1739,11,157,231,8,131,148,317,390,2030,8,10,29,5,17,1008,1929,1349,-,463,515,-,-,2,11637,114,608,2142,1136,19023,8002,684,10,751,1,215,13098,224,29,2,173,12,10,397,5,95,53,138,-,1,-,2,234,11,246,-,7,74,20,1535,6208,4091,1037,22,39,561,3,250,101,403,74,3408,4452,215,18,176241,Monywa,MMR005012
