Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1950,72,2022,Pan San(Pan Kham),MMR015005
 Rural,5166,8954,14120,Pan San(Pan Kham),MMR015005
 Total,7116,9026,16142,Pan San(Pan Kham),MMR015005
