Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,32722,6085,38807,Mayangon,MMR013042
 Total,32722,6085,38807,Mayangon,MMR013042
