Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,28208,5073,33281,Chanayeharzan,MMR010002
 Total,28208,5073,33281,Chanayeharzan,MMR010002
