Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,705,601,1306,Mannaung,MMR017011
 Rural,1700,11729,13429,Mannaung,MMR017011
 Total,2405,12330,14735,Mannaung,MMR017011
