Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,9539,4917,14456,Pyinmana,MMR018006
 Rural,9581,15626,25207,Pyinmana,MMR018006
 Total,19120,20543,39663,Pyinmana,MMR018006
