Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,3442,1399,4841,Nanhsam(South),MMR014013
 Rural,2493,11529,14022,Nanhsam(South),MMR014013
 Total,5935,12928,18863,Nanhsam(South),MMR014013
