Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,611,2646,3257,Namtu,MMR015015
 Rural,612,7772,8384,Namtu,MMR015015
 Total,1223,10418,11641,Namtu,MMR015015
