Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,70,431,501,Pyinsalu(ST),MMR017016
 Rural,1386,18550,19936,Pyinsalu(ST),MMR017016
 Total,1456,18981,20437,Pyinsalu(ST),MMR017016
