Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,2037,3269,5306,Kyangin,MMR017012
 Rural,3216,18335,21551,Kyangin,MMR017012
 Total,5253,21604,26857,Kyangin,MMR017012
