Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,959,371,1330,Le`char,MMR014012
 Rural,1339,6121,7460,Le`char,MMR014012
 Total,2298,6492,8790,Le`char,MMR014012
