Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,910,1631,2541,Ngaputaw,MMR017004
 Rural,3387,31448,34835,Ngaputaw,MMR017004
 Total,4297,33079,37376,Ngaputaw,MMR017004
