Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1104,457,1561,Minesat,MMR016006
 Rural,1911,12437,14348,Minesat,MMR016006
 Total,3015,12894,15909,Minesat,MMR016006
