Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1508,210,1718,Linkhe`,MMR014018
 Rural,1880,4790,6670,Linkhe`,MMR014018
 Total,3388,5000,8388,Linkhe`,MMR014018
