Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,2355,3644,5999,Kyonpyaw,MMR017005
 Rural,5744,47745,53489,Kyonpyaw,MMR017005
 Total,8099,51389,59488,Kyonpyaw,MMR017005
