Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,2107,1243,3350,Thandwe,MMR012015
 Rural,6598,21127,27725,Thandwe,MMR012015
 Total,8705,22370,31075,Thandwe,MMR012015
