Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,807,1811,2618,Myebon,MMR012006
 Rural,1689,27032,28721,Myebon,MMR012006
 Total,2496,28843,31339,Myebon,MMR012006
