Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,612,1607,2219,Mongkai,MMR014016
 Rural,217,13896,14113,Mongkai,MMR014016
 Total,829,15503,16332,Mongkai,MMR014016
