Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1099,779,1878,An,MMR012014
 Rural,2838,22643,25481,An,MMR012014
 Total,3937,23422,27359,An,MMR012014
