Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,5758,2895,8653,Kyukme,MMR015012
 Rural,4810,14908,19718,Kyukme,MMR015012
 Total,10568,17803,28371,Kyukme,MMR015012
