Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,6479,3769,10248,Pobbathiri,MMR018005
 Rural,7634,9734,17368,Pobbathiri,MMR018005
 Total,14113,13503,27616,Pobbathiri,MMR018005
