Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,7823,574,8397,Botahtaung,MMR013017
 Total,7823,574,8397,Botahtaung,MMR013017
