Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1097,651,1748,Kholan(ST),MMR014013
 Rural,667,1949,2616,Kholan(ST),MMR014013
 Total,1764,2600,4364,Kholan(ST),MMR014013
