Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1050,615,1665,Karli(ST),MMR014014
 Rural,574,4328,4902,Karli(ST),MMR014014
 Total,1624,4943,6567,Karli(ST),MMR014014
