Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,5177,5529,10706,Thaton,MMR011007
 Rural,9784,27794,37578,Thaton,MMR011007
 Total,14961,33323,48284,Thaton,MMR011007
