Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,252,567,819,Shwethaungyan(ST),MMR017001
 Rural,2812,6550,9362,Shwethaungyan(ST),MMR017001
 Total,3064,7117,10181,Shwethaungyan(ST),MMR017001
