Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,23591,2327,25918,Mingala Taungnyunt,MMR013022
 Total,23591,2327,25918,Mingala Taungnyunt,MMR013022
